lemma,poscode,surface
Agnelo Santos Queiros Filho,3,Agnelo Santos Queiros Filho
Agnus C. Simpson,3,Agnus C. Simpson
Agostinho Cesar Valente,3,Agostinho Cesar Valente
Agostinho Dias de Oliveira,3,Agostinho Dias de Oliveira
Agostinho Jose Rodrigues,3,Agostinho Jose Rodrigues
Agostinho Meneses Monteiro,3,Agostinho Meneses Monteiro
Agostinho Monteiro,3,Agostinho Monteiro
Agostinho Pereira Alves Filho,3,Agostinho Pereira Alves Filho
Agostinho Ribeiro da Costa,3,Agostinho Ribeiro da Costa
Agostinho Rodrigues,3,Agostinho Rodrigues
Agostinho Valente,3,Agostinho Valente
Agostinho de Oliveira ,3,Agostinho de Oliveira 
Agripa Faria,3,Agripa Faria
Agripa de Castro Faria,3,Agripa de Castro Faria
Agripino Abranches Viana,3,Agripino Abranches Viana
Agripino Lima,3,Agripino Lima
Agripino Ribeiro da Silva,3,Agripino Ribeiro da Silva
Agripino de Oliveira Lima Filho,3,Agripino de Oliveira Lima Filho
Agrícola Pais de Barros,3,Agrícola Pais de Barros
Aguinaldo Boulitreau Fragoso,3,Aguinaldo Boulitreau Fragoso
Aguinaldo Caiado de Castro,3,Aguinaldo Caiado de Castro
Aguinaldo Costa Pereira,3,Aguinaldo Costa Pereira
Aguinaldo Costa,3,Aguinaldo Costa
Aguinaldo Timoteo Pereira,3,Aguinaldo Timoteo Pereira
Aguinaldo Timoteo,3,Aguinaldo Timoteo
Aguirre Gonzalez,3,Aguirre Gonzalez
Agustin Pedro Justo,3,Agustin Pedro Justo
Agustín Lara,3,Agustín Lara
Ahmed Badawi ,3,Ahmed Badawi 
Ahmed Chezal,3,Ahmed Chezal
Aidano Do Couto Ferraz,3,Aidano Do Couto Ferraz
Aime Alcebiades Silveira Lamaison,3,Aime Alcebiades Silveira Lamaison
Aimé Lamaison,3,Aimé Lamaison
Aimée Simões Lopes,3,Aimée Simões Lopes
Aires Maciel,3,Aires Maciel
Aires da Cunha Marques,3,Aires da Cunha Marques
Aires da Cunha,3,Aires da Cunha
Aires da Mata Machado,3,Aires da Mata Machado
Airon Rios,3,Airon Rios
Airton Alvarenga Xerez,3,Airton Alvarenga Xerez
Airton Cordeiro,3,Airton Cordeiro
Airton Jardim,3,Airton Jardim
Airton Langaro Dipp,3,Airton Langaro Dipp
Airton Mendonça Teles,3,Airton Mendonça Teles
Airton Ravaglio Cordeiro,3,Airton Ravaglio Cordeiro
Airton Roveda,3,Airton Roveda
Airton Sandoval Santana,3,Airton Sandoval Santana
Airton Sandoval,3,Airton Sandoval
Airton Souto Maior Quaresma,3,Airton Souto Maior Quaresma
Ajalmar Magalhães,3,Ajalmar Magalhães
Ajalmar Vieira Mascarenhas,3,Ajalmar Vieira Mascarenhas
Ajax Ramos Bittencourt,3,Ajax Ramos Bittencourt
Ake Garz,3,Ake Garz
Alacid Nunes,3,Alacid Nunes
Alacid da Silva Nunes,3,Alacid da Silva Nunes
Alacir Frederico Werner,3,Alacir Frederico Werner
Aladino Neves,3,Aladino Neves
Alaim Melo,3,Alaim Melo
Alain Carneiro,3,Alain Carneiro
Alair Ferreira Filho,3,Alair Ferreira Filho
Alair Ferreira,3,Alair Ferreira
Alaistar William Gillespie,3,Alaistar William Gillespie
Alamir de Lemos Furtado ,3,Alamir de Lemos Furtado 
Alan Baron,3,Alan Baron
Alan Garcia,3,Alan Garcia
Alan Moreau,3,Alan Moreau
Alana Kusama,3,Alana Kusama
Alano de Freitas,3,Alano de Freitas
Alardo Pratts,3,Alardo Pratts
Alarico Abib,3,Alarico Abib
Alarico Franco Caiubi,3,Alarico Franco Caiubi
Alarico Lisboa,3,Alarico Lisboa
Alarico Maciel,3,Alarico Maciel
Alarico Nunes Pacheco,3,Alarico Nunes Pacheco
Alarico Pacheco,3,Alarico Pacheco
Alarico da Silveira,3,Alarico da Silveira
Alayde Braga Etchenique,3,Alayde Braga Etchenique
Alayde de Mello,3,Alayde de Mello
Alaíde Cristina Barbosa Ulson Quércia,3,Alaíde Cristina Barbosa Ulson Quércia
Alaísa Resende de Sá Freire Alvim,3,Alaísa Resende de Sá Freire Alvim
Alaôr Prata Soares,3,Alaôr Prata Soares
Albanir Leal,3,Albanir Leal
Albaniza Sarasate,3,Albaniza Sarasate
Albano Do Prado Pimentel Franco ,3,Albano Do Prado Pimentel Franco 
Albano Franco,3,Albano Franco
Albano de Morais,3,Albano de Morais
Albatenio Caiado de Godoi,3,Albatenio Caiado de Godoi
Alberico Antunes de Oliveira,3,Alberico Antunes de Oliveira
Alberico F. Do Prado,3,Alberico F. Do Prado
Alberico Pereira Fraga,3,Alberico Pereira Fraga
Alberico de Franca Ferreira Filho,3,Alberico de Franca Ferreira Filho
Albert D'elia,3,Albert D'elia
Albert Einstein,3,Albert Einstein
Albert Kammerer,3,Albert Kammerer
Albert Ledoux,3,Albert Ledoux
Albert Probst,3,Albert Probst
Albert S. Ávila,3,Albert S. Ávila
Albert Sabin,3,Albert Sabin
Alberto Aboud,3,Alberto Aboud
Alberto Alvares Fernandes Vieira,3,Alberto Alvares Fernandes Vieira
Alberto Alvares,3,Alberto Alvares
Alberto Andaló,3,Alberto Andaló
Alberto Andrade Queirós,3,Alberto Andrade Queirós
Alberto Augusto Diniz,3,Alberto Augusto Diniz
Alberto Barbosa Ferreira,3,Alberto Barbosa Ferreira
Alberto Bins,3,Alberto Bins
Alberto Bomilcar Besouchet,3,Alberto Bomilcar Besouchet
Alberto Borjeth,3,Alberto Borjeth
Alberto Botino,3,Alberto Botino
Alberto Campos,3,Alberto Campos
Alberto Capibaribe,3,Alberto Capibaribe
Alberto Cardoso,3,Alberto Cardoso
Alberto Cavalcanti,3,Alberto Cavalcanti
Alberto Costa E Silva,3,Alberto Costa E Silva
Alberto Costa,3,Alberto Costa
Alberto Deodato Maia Barreto,3,Alberto Deodato Maia Barreto
Alberto Deodato,3,Alberto Deodato
Alberto Dines,3,Alberto Dines
Alberto Do Amaral Ozório,3,Alberto Do Amaral Ozório
Alberto Emanuel Whitaker ,3,Alberto Emanuel Whitaker 
Alberto Engelhard,3,Alberto Engelhard
Alberto Epaminondas de Sousa,3,Alberto Epaminondas de Sousa
Alberto Faria Filho,3,Alberto Faria Filho
Alberto Felipe Haddad Filho,3,Alberto Felipe Haddad Filho
Alberto Fraga,3,Alberto Fraga
Alberto Francisco Torres,3,Alberto Francisco Torres
Alberto Franco Ferreira da Costa,3,Alberto Franco Ferreira da Costa
Alberto Fujimori,3,Alberto Fujimori
Alberto Gabbay Canen,3,Alberto Gabbay Canen
Alberto Gama,3,Alberto Gama
Alberto Gascue,3,Alberto Gascue
Alberto Goldman,3,Alberto Goldman
Alberto Gouveia,3,Alberto Gouveia
Alberto Guani,3,Alberto Guani
Alberto Guerin,3,Alberto Guerin
Alberto Guerreiro Ramos,3,Alberto Guerreiro Ramos
Alberto Haddad,3,Alberto Haddad
Alberto Hoffmann,3,Alberto Hoffmann
Alberto Jorge de Ipanema Moreira,3,Alberto Jorge de Ipanema Moreira
Alberto Lavenére Wanderley,3,Alberto Lavenére Wanderley
Alberto Lavinas,3,Alberto Lavinas
Alberto Lee,3,Alberto Lee
Alberto Luiz Galvão Coimbra,3,Alberto Luiz Galvão Coimbra
Alberto Marcelo Gato,3,Alberto Marcelo Gato
Alberto Martins da Silva,3,Alberto Martins da Silva
Alberto Mendes Cardoso,3,Alberto Mendes Cardoso
Alberto Moniz Rocha  Barros,3,Alberto Moniz Rocha  Barros
Alberto Montoya Corrêa,3,Alberto Montoya Corrêa
Alberto Mourão,3,Alberto Mourão
Alberto O. Freire,3,Alberto O. Freire
Alberto Oliveira Santos,3,Alberto Oliveira Santos
Alberto Oswaldo Continentino de Araújo,3,Alberto Oswaldo Continentino de Araújo
Alberto Pasqualini,3,Alberto Pasqualini
Alberto Passos Guimarães,3,Alberto Passos Guimarães
