lemma,poscode,surface
Revolta dos Malês,3,Revolta dos Malês
Revolta da Armada,3,Revolta da Armada
Revolta Praieira,3,Revolta Praieira
Revolta dos Mercenários,3,Revolta dos Mercenários
Sabinada,3,Sabinada
Revolta dos Alfaiates,3,Revolta dos Alfaiates
Tenentismo,3,Tenentismo
França Antártica,3,França Antártica
Confederação dos Tamoios,3,Confederação dos Tamoios
Guerra dos Aimorés,3,Guerra dos Aimorés
Guerra dos Potiguares,3,Guerra dos Potiguares
Guerra de Iguape,3,Guerra de Iguape
"Bandeirantes, bugreiros, entradas e bandeiras",3,"Bandeirantes, bugreiros, entradas e bandeiras"
Quilombos e Guerra dos Palmares,3,Quilombos e Guerra dos Palmares
França Equinocial,3,França Equinocial
Levante dos Tupinambás,3,Levante dos Tupinambás
Invasão holandesa,3,Invasão holandesa
Presença neerlandesa no Brasil,3,Presença neerlandesa no Brasil
Guerra Luso-Neerlandesa,3,Guerra Luso-Neerlandesa
Insurreição Pernambucana,3,Insurreição Pernambucana
Guerra da Luz Divina,3,Guerra da Luz Divina
Revolta de Amador Bueno,3,Revolta de Amador Bueno
Motim do Nosso Pai,3,Motim do Nosso Pai
Revolução de Beckman,3,Revolução de Beckman
Confederação dos Cariris,3,Confederação dos Cariris
Guerrilha dos Muras,3,Guerrilha dos Muras
Guerra dos Emboabas,3,Guerra dos Emboabas
Revolta do Sal,3,Revolta do Sal
Guerra dos Mascates,3,Guerra dos Mascates
Motins do Maneta,3,Motins do Maneta
Revolta de Felipe dos Santos,3,Revolta de Felipe dos Santos
Guerra dos Manaus,3,Guerra dos Manaus
Resistência Guaicuru,3,Resistência Guaicuru
Guerra Guaranítica,3,Guerra Guaranítica
Conspiração do Curvelo,3,Conspiração do Curvelo
Inconfidência Mineira,3,Inconfidência Mineira
Conjuração Carioca,3,Conjuração Carioca
Conjuração Baiana,3,Conjuração Baiana
Revolução dos Alfaiates,3,Revolução dos Alfaiates
Conspiração dos Suassunas,3,Conspiração dos Suassunas
Invasão da Guiana Francesa,3,Invasão da Guiana Francesa
