lemma,poscode,surface
Plano Rodoviário do Estado,3,Plano Rodoviário do Estado
Plano Rodoviário do Paraná,3,Plano Rodoviário do Paraná
Plano Rodoviário para a Interiorização do Desenvolvimento (Proinde),3,Plano Rodoviário para a Interiorização do Desenvolvimento (Proinde)
Plano Safra,3,Plano Safra
Plano Salte ,3,Plano Salte
Plano Siderúrgico Nacional,3,Plano Siderúrgico Nacional
Plano Sousa Costa,3,Plano Sousa Costa
Plano Tamura,3,Plano Tamura
Plano Trienal ,3,Plano Trienal
Plano Trienal de Desenvolvimento Econômico,3,Plano Trienal de Desenvolvimento Econômico
Plano Trienal de Desenvolvimento Econômico e Social,3,Plano Trienal de Desenvolvimento Econômico e Social
Plano Trienal do Ministério do Planejamento,3,Plano Trienal do Ministério do Planejamento
Plano Urbanístico Básico e do Plano Metropolitano de Desenvolvimento,3,Plano Urbanístico Básico e do Plano Metropolitano de Desenvolvimento
Plano Urbanístico Básico para São Paulo,3,Plano Urbanístico Básico para São Paulo
Plano Verão,3,Plano Verão
Plano Verão,3,Plano Verão
Plano da Casa Própria Popular,3,Plano da Casa Própria Popular
Plano da Cidade ,3,Plano da Cidade
Plano da Cidade de Recife,3,Plano da Cidade de Recife
Plano da Lavoura Cacaueira (CEPLAC),3,Plano da Lavoura Cacaueira (CEPLAC)
Plano da Pastoral de Conjunto,3,Plano da Pastoral de Conjunto
Plano da Universidade do Brasil,3,Plano da Universidade do Brasil
Plano das Capturas,3,Plano das Capturas
Plano de 1960,3,Plano de 1960
Plano de Aceleração do Crescimento (PAC),3,Plano de Aceleração do Crescimento (PAC)
Plano de Amparo ao Servidor Público (Pasep),3,Plano de Amparo ao Servidor Público (Pasep)
Plano de Aperfeiçoamento de Pessoal de Nível Superior,3,Plano de Aperfeiçoamento de Pessoal de Nível Superior
Plano de Aplicação,3,Plano de Aplicação
Plano de Aplicação dos Recursos Orçamentários na Região Geoeconômica,3,Plano de Aplicação dos Recursos Orçamentários na Região Geoeconômica
Plano de Assistência Médica,3,Plano de Assistência Médica
Plano de Assistência ao Funcionário,3,Plano de Assistência ao Funcionário
Plano de Atendimento Médico para o Centro,3,Plano de Atendimento Médico para o Centro
Plano de Atendimento à Saúde (PAS),3,Plano de Atendimento à Saúde (PAS)
Plano de Ação,3,Plano de Ação
Plano de Ação Econômica do Governo (PAEG),3,Plano de Ação Econômica do Governo (PAEG)
Plano de Ação Governamental,3,Plano de Ação Governamental
Plano de Ação Imediata (PAI),3,Plano de Ação Imediata (PAI)
Plano de Ação Política,3,Plano de Ação Política
Plano de Ação de Governo (PAG),3,Plano de Ação de Governo (PAG)
Plano de Ação do BNDE,3,Plano de Ação do BNDE
Plano de Ação do Governo,3,Plano de Ação do Governo
Plano de Ação do Governo (Copag) ,3,Plano de Ação do Governo (Copag)
Plano de Ação do Governo do Estado (PAGE),3,Plano de Ação do Governo do Estado (PAGE)
Plano de Ação do Setor Petróleo,3,Plano de Ação do Setor Petróleo
Plano de Ação do Sistema CNI,3,Plano de Ação do Sistema CNI
Plano de Ação em Florestas Tropicais para América Latina,3,Plano de Ação em Florestas Tropicais para América Latina
Plano de Ação para a Prevenção e o Controle,3,Plano de Ação para a Prevenção e o Controle
Plano de Benefícios da Previdência Social,3,Plano de Benefícios da Previdência Social
Plano de Benefícios e Custeio da Previdência,3,Plano de Benefícios e Custeio da Previdência
Plano de Carreira e Cargos,3,Plano de Carreira e Cargos
Plano de Carvão Nacional,3,Plano de Carvão Nacional
Plano de Classificação,3,Plano de Classificação
Plano de Classificação de Cargos,3,Plano de Classificação de Cargos
Plano de Classificação de Cargos do Serviço Civil,3,Plano de Classificação de Cargos do Serviço Civil
Plano de Classificação de Cargos dos Servidores Públicos,3,Plano de Classificação de Cargos dos Servidores Públicos
Plano de Classificação de Cargos e Funções,3,Plano de Classificação de Cargos e Funções
Plano de Classificação de Cargos e Funções do Funcionalismo,3,Plano de Classificação de Cargos e Funções do Funcionalismo
Plano de Classificação de Cargos no Serviço Público Federal,3,Plano de Classificação de Cargos no Serviço Público Federal
Plano de Combate à Fome e à Miséria,3,Plano de Combate à Fome e à Miséria
Plano de Consistência Macroeconômica,3,Plano de Consistência Macroeconômica
Plano de Construção Naval,3,Plano de Construção Naval
Plano de Controle Macroeconômico,3,Plano de Controle Macroeconômico
Plano de Coordenação das Atividades Relacionadas com o Carvão,3,Plano de Coordenação das Atividades Relacionadas com o Carvão
Plano de Custeio e Benefícios da Previdência Social,3,Plano de Custeio e Benefícios da Previdência Social
Plano de Defesa ,3,Plano de Defesa
Plano de Demissão Voluntária (PDV),3,Plano de Demissão Voluntária (PDV)
Plano de Descentralização Regional da reforma administrativa,3,Plano de Descentralização Regional da reforma administrativa
Plano de Descentralização da Assistência ao Psicopata,3,Plano de Descentralização da Assistência ao Psicopata
Plano de Desenvolvimento Econômico,3,Plano de Desenvolvimento Econômico
Plano de Desenvolvimento Econômico do Estado do Paraná,3,Plano de Desenvolvimento Econômico do Estado do Paraná
Plano de Desenvolvimento Espírito Santo,3,Plano de Desenvolvimento Espírito Santo
Plano de Desenvolvimento Integrado na Região Metropolitana de Fortaleza,3,Plano de Desenvolvimento Integrado na Região Metropolitana de Fortaleza
Plano de Desenvolvimento Local (PDL),3,Plano de Desenvolvimento Local (PDL)
Plano de Desenvolvimento Urbanístico,3,Plano de Desenvolvimento Urbanístico
Plano de Desenvolvimento da Educação (PDE),3,Plano de Desenvolvimento da Educação (PDE)
Plano de Desenvolvimento da Nova República (I PND-NR),3,Plano de Desenvolvimento da Nova República (I PND-NR)
Plano de Desenvolvimento da Pesca,3,Plano de Desenvolvimento da Pesca
Plano de Desenvolvimento da Região Centro-Oeste (Prodoeste),3,Plano de Desenvolvimento da Região Centro-Oeste (Prodoeste)
Plano de Desenvolvimento do Estado da Paraíba (Suplan),3,Plano de Desenvolvimento do Estado da Paraíba (Suplan)
Plano de Desenvolvimento do Nordeste,3,Plano de Desenvolvimento do Nordeste
Plano de Dinamização Econômica,3,Plano de Dinamização Econômica
Plano de Diretrizes e Estratégias ,3,Plano de Diretrizes e Estratégias
Plano de Educação Nacional,3,Plano de Educação Nacional
Plano de Eletrificação,3,Plano de Eletrificação
Plano de Eletrificação de Minas,3,Plano de Eletrificação de Minas
Plano de Eletrificação do Rio Grande do Sul,3,Plano de Eletrificação do Rio Grande do Sul
Plano de Emergência,3,Plano de Emergência
Plano de Emergência da Conferência Nacional dos Bispos do Brasil,3,Plano de Emergência da Conferência Nacional dos Bispos do Brasil
Plano de Ensino para o Pessoal Subalterno da Armada,3,Plano de Ensino para o Pessoal Subalterno da Armada
Plano de Equivalência Salarial (PES),3,Plano de Equivalência Salarial (PES)
Plano de Erradicação do mosquito Aedes Aegypti,3,Plano de Erradicação do mosquito Aedes Aegypti
Plano de Estabilização,3,Plano de Estabilização
Plano de Estabilização Econômica ,3,Plano de Estabilização Econômica
Plano de Estabilização Monetária (PEM) ,3,Plano de Estabilização Monetária (PEM)
Plano de Estabilização da Economia,3,Plano de Estabilização da Economia
Plano de Expansão da Indústria Açucareira Nacional,3,Plano de Expansão da Indústria Açucareira Nacional
Plano de Habitação Popular,3,Plano de Habitação Popular
Plano de Integração Nacional (PIN),3,Plano de Integração Nacional (PIN)
Plano de Integração Social (PIS),3,Plano de Integração Social (PIS)
Plano de Melhoramento Logístico para a Marinha do Brasil,3,Plano de Melhoramento Logístico para a Marinha do Brasil
Plano de Metas,3,Plano de Metas
Plano de Metas Governamentais,3,Plano de Metas Governamentais
Plano de Metas de Juscelino Kubitschek,3,Plano de Metas de Juscelino Kubitschek
Plano de Metas do Governo (Plameg),3,Plano de Metas do Governo (Plameg)
Plano de Mobilização Nacional contra o Analfabetismo,3,Plano de Mobilização Nacional contra o Analfabetismo
Plano de Motomecanização do Exército,3,Plano de Motomecanização do Exército
Plano de Municipalização do Turismo,3,Plano de Municipalização do Turismo
Plano de Obras,3,Plano de Obras
Plano de Obras de Emergência,3,Plano de Obras de Emergência
Plano de Obras do Desenvolvimento do Estado de Goiás,3,Plano de Obras do Desenvolvimento do Estado de Goiás
Plano de Obras e Equipamentos,3,Plano de Obras e Equipamentos
Plano de Outorgas,3,Plano de Outorgas
Plano de Padronização da Contabilidade Bancária,3,Plano de Padronização da Contabilidade Bancária
Plano de Parcerias Público Privadas (PLP),3,Plano de Parcerias Público Privadas (PLP)
Plano de Paridade de Vencimentos entre civis e militares,3,Plano de Paridade de Vencimentos entre civis e militares
Plano de Pavimentação do Estado de São Paulo,3,Plano de Pavimentação do Estado de São Paulo
Plano de Planejamento Plurianual (PPA),3,Plano de Planejamento Plurianual (PPA)
Plano de Pronta Ação,3,Plano de Pronta Ação
Plano de Realização de Obras,3,Plano de Realização de Obras
Plano de Reaparelhamento,3,Plano de Reaparelhamento
Plano de Recuperação Econômica do Estado,3,Plano de Recuperação Econômica do Estado
