lemma,poscode,surface
Emenda Constitucional nº 22,3,Emenda Constitucional nº 22
Emenda Constitucional nº 23/91,3,Emenda Constitucional nº 23/91
Emenda Constitucional nº 24,3,Emenda Constitucional nº 24
Emenda Constitucional nº 25,3,Emenda Constitucional nº 25
Emenda Constitucional nº 26,3,Emenda Constitucional nº 26
Emenda Constitucional Nº 26/85,3,Emenda Constitucional Nº 26/85
Emenda Constitucional nº 29,3,Emenda Constitucional nº 29
Emenda Constitucional Nº 3/93,3,Emenda Constitucional Nº 3/93
Emenda Constitucional nº 31,3,Emenda Constitucional nº 31
Emenda Constitucional nº 36,3,Emenda Constitucional nº 36
Emenda Constitucional no 4,3,Emenda Constitucional no 4
Emenda Constitucional nº 4,3,Emenda Constitucional nº 4
Emenda Constitucional nº 41,3,Emenda Constitucional nº 41
Emenda Constitucional nº 45,3,Emenda Constitucional nº 45
Emenda Constitucional nº 5,3,Emenda Constitucional nº 5
Emenda Constitucional nº 51,3,Emenda Constitucional nº 51
Emenda Constitucional Nº 6,3,Emenda Constitucional Nº 6
Emenda Constitucional nº 6/76,3,Emenda Constitucional nº 6/76
Emenda Constitucional nº 67/2003,3,Emenda Constitucional nº 67/2003
Emenda Constitucional nº 7,3,Emenda Constitucional nº 7
Emenda Constitucional nº 7/77,3,Emenda Constitucional nº 7/77
Emenda Constitucional nº 8,3,Emenda Constitucional nº 8
Emenda Constitucional nº 8/77,3,Emenda Constitucional nº 8/77
Emenda Constitucional nº 9,3,Emenda Constitucional nº 9
Emenda Constitucional número 32,3,Emenda Constitucional número 32
Emenda Constitucional,3,Emenda Constitucional
Estatuto Internacional do Mestre,3,Estatuto Internacional do Mestre
Estatuto Nacional dos Partidos Políticos,3,Estatuto Nacional dos Partidos Políticos
Estatuto Racial,3,Estatuto Racial
Estatuto da Cidade,3,Estatuto da Cidade
Estatuto da Criança e do Adolescente,3,Estatuto da Criança e do Adolescente
Estatuto da Igualdade Racial,3,Estatuto da Igualdade Racial
Estatuto da Lavoura Canavieira,3,Estatuto da Lavoura Canavieira
Estatuto da Magistratura,3,Estatuto da Magistratura
Estatuto da Microempresa,3,Estatuto da Microempresa
Estatuto da Mulher,3,Estatuto da Mulher
Estatuto da Mulher Casada,3,Estatuto da Mulher Casada
Estatuto da Pessoa com Deficiência,3,Estatuto da Pessoa com Deficiência
Estatuto da Terra,3,Estatuto da Terra
Estatuto das Cidades,3,Estatuto das Cidades
Estatuto das Sociedades Indígenas,3,Estatuto das Sociedades Indígenas
Estatuto das Universidades Brasileiras,3,Estatuto das Universidades Brasileiras
Estatuto do Desarmamento,3,Estatuto do Desarmamento
Estatuto do Desporto e no Congresso Nacional,3,Estatuto do Desporto e no Congresso Nacional
Estatuto do Distrito Federal,3,Estatuto do Distrito Federal
Estatuto do Estrangeiro,3,Estatuto do Estrangeiro
Estatuto do Funcionalismo Municipal,3,Estatuto do Funcionalismo Municipal
Estatuto do Funcionalismo,3,Estatuto do Funcionalismo
Estatuto do Idoso,3,Estatuto do Idoso
Estatuto do Jornalista,3,Estatuto do Jornalista
Estatuto do Magistério Superior,3,Estatuto do Magistério Superior
Estatuto do Menor e do Adolescente,3,Estatuto do Menor e do Adolescente
Estatuto do Ministério Público da União,3,Estatuto do Ministério Público da União
Estatuto do Nascituro,3,Estatuto do Nascituro
Estatuto do PSOL,3,Estatuto do PSOL
Estatuto do Penitenciário,3,Estatuto do Penitenciário
Estatuto do Petróleo,3,Estatuto do Petróleo
Estatuto do Portador de Necessidades Especiais,3,Estatuto do Portador de Necessidades Especiais
Estatuto do Torcedor,3,Estatuto do Torcedor
Estatuto do Trabalhador Rural,3,Estatuto do Trabalhador Rural
Estatuto do Índio,3,Estatuto do Índio
Estatuto dos Cassados Políticos,3,Estatuto dos Cassados Políticos
Estatuto dos Cassados,3,Estatuto dos Cassados
Estatuto dos Estrangeiros,3,Estatuto dos Estrangeiros
Estatuto dos Funcionários,3,Estatuto dos Funcionários
Estatuto dos Funcionários Públicos,3,Estatuto dos Funcionários Públicos
Estatuto dos Militares,3,Estatuto dos Militares
Estatuto dos Portadores de Deficiência,3,Estatuto dos Portadores de Deficiência
Estatuto dos Portugueses no Brasil,3,Estatuto dos Portugueses no Brasil
Estatuto dos Servidores Judiciários,3,Estatuto dos Servidores Judiciários
Lei nº (num),3,Lei nº (num)
Lei Agrária,3,Lei Agrária
Lei Agrária Nacional,3,Lei Agrária Nacional
Lei Antigreve,3,Lei Antigreve
Lei Antitruste,3,Lei Antitruste
Lei Calógeras,3,Lei Calógeras
Lei Camata,3,Lei Camata
Lei Celerada,3,Lei Celerada
Lei Complementar nº,3,Lei Complementar nº
