<OUTPUT SRCFILE="10955.raw">
** ** Fz 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00321567/02051694-v:0.00186631/01955984-v:0.00173126/01995549-v:0.00168846/02072849-v:0.0016702/02009433-v:0.00156652/01904930-v:0.00155403/01935233-v:0.00152125/01957529-v:0.00149879/02102398-v:0.00146743/00341560-v:0.00144591/01882814-v:0.00136329/02058994-v:0.00135857/02685951-v:0.00135095/02102002-v:0.00134712/01846916-v:0.00134582/01849221-v:0.00133118/01841079-v:0.00128052/02686471-v:0.00124365/01839538-v:0.00121341/00343898-v:0.00119528
presidente presidente NCMS000 0.998938 10467395-n:0.00562656/10468962-n:0.00559317/10467179-n:0.00514586/10469346-n:0.00495646/10468750-n:0.00489451/10468559-n:0.00473013
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_de_Saúde comissão_de_saúde NP00O00 1 -
em em SP 1 -
os o DA0MP0 1 -
dois 2 Z 1 -
mandatos mandato NCMP000 1 06556481-n:0.00717859/06552984-n:0.00698652/01140658-n:0.00678038/06530789-n:0.00655479
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
início início NCMS000 1 07325190-n:0.00173993/00235435-n:0.00150312/07325990-n:0.00143047/15265518-n:0.00142799/00240184-n:0.00142625/07290905-n:0.00138836
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
ano ano NCMS000 1 15203791-n:0.00114224/15202634-n:0.00105752/15203565-n:0.00103512/15153787-n:0.00092788/08238660-n:0.000920129/15201505-n:0.000914699/15204297-n:0.000912269/15202806-n:0.000897389/15203229-n:0.000863985/15273626-n:0.000856606
de de SP 1 -
2004 2004 Z 1 -
, , Fc 1 -
sofrendo sofrer VMG0000 1 00065639-v:0.00221163/00065070-v:0.0021591/00065370-v:0.0015895/00078401-v:0.00157516/02108377-v:0.00140746/01794668-v:0.00137417
pressões pressão NCFP000 1 11429458-n:0.00137205/00113113-n:0.00137051/11495041-n:0.00132587/14451349-n:0.00124353/05195362-n:0.00124032/05724475-n:0.00122205/00356790-n:0.00118494
e e CC 0.999951 -
embates embate NCMP000 0.914011 -
dentro dentro RG 1 00110815-r:0.0118252
PT pt NP00O00 1 -
, , Fc 1 -
deixou deixar VMIS3S0 1 00120316-v:0.00288771/00800930-v:0.00182477/00802318-v:0.00172008/02310007-v:0.0016112/00771490-v:0.00155117
a o DA0FS0 0.675415 -
legenda legenda NCFS000 0.8193 06346891-n:0.00441794/06347588-n:0.00409854
para para SP 0.999444 -
se se PP3CN00 0.861659 -
candidatar candidatar VMN0000 0.529581 00869596-v:0.00820806
a o DA0FS0 0.675415 -
prefeito prefeito NCMS000 1 10303814-n:0.00501889/09880881-n:0.00296319/10304018-n:0.00283039
de de SP 1 -
João_Pessoa joão_pessoa NP00SP0 1 -
por por SP 1 -
o o DA0MS0 1 -
Partido_Socialista_Brasileiro partido_socialista_brasileiro NP00O00 1 -
( ( Fpa 1 -
PSB psb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
vencendo vencer VMG0000 1 01101913-v:0.00181859/01108148-v:0.00156259/01100145-v:0.00140844/02288295-v:0.00116434/01109259-v:0.00114493/01108627-v:0.00109709/01101734-v:0.00103946/01104018-v:0.00102312
as o DA0FP0 0.974798 -
eleições eleição NCFP000 1 00181781-n:0.002719/05790944-n:0.00232316/00183505-n:0.00220628/00180962-n:0.00207591
com com SP 1 -
cerca cerca RG 0.97774 00007015-r:0.00870185
de de SP 1 -
65_% 65/100 Zp 1 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
votos voto NCMP000 0.987805 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
eleitorado eleitorado NCMS000 1 08161068-n:0.00815632
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
cidade cidade NCFS000 1 08524735-n:0.00263955/08665504-n:0.00183278/08626283-n:0.0018226/08226699-n:0.00133941/08672738-n:0.00130825/08226335-n:0.00124011/08177958-n:0.00115157
. . Fp 1 -

Recebeu receber VMIS3S0 1 02210855-v:0.00218563/02288295-v:0.00209599/02290461-v:0.00190229/00522751-v:0.00189152/02108377-v:0.00184473
vários vários DI0MP0 0.984536 -
prêmios prêmio NCMP000 1 06696483-n:0.00945167
em em SP 1 -
o o DA0MS0 1 -
período período NCMS000 1 15113229-n:0.00209429/15144371-n:0.000854156/15248564-n:0.000851174/15247518-n:0.000830061/15254028-n:0.000782836/15236475-n:0.000781161/15290337-n:0.000764152/15248020-n:0.000736333/15122231-n:0.00073278/15248269-n:0.000704465/15224486-n:0.000691528/15249236-n:0.000675072/15120346-n:0.000643578/15134490-n:0.000630861
de de SP 1 -
sua seu DP3FSS 0.929764 -
gestão gestão NCFS000 1 01133281-n:0.0039211/01135952-n:0.00328943/01144876-n:0.0031273
como como CS 0.751351 -
prefeito prefeito NCMS000 1 10303814-n:0.00555664/09880881-n:0.00321321/10304018-n:0.00314347
, , Fc 1 -
a a SP 0.313151 -
saber saber VMN0000 0.323529 00594621-v:0.00545603/00595630-v:0.00461983
: : Fd 1 -
Título_de_Administrador_Público_do título_de_administrador_público_do NP00SP0 1 -
ano ano NCMS000 1 15203791-n:0.00123357/15202634-n:0.00117706/15203565-n:0.00117351/15153787-n:0.0010911/15201505-n:0.00103117/15204297-n:0.00102032/08238660-n:0.00100954/15202806-n:0.000998256/15203229-n:0.000967499/15273626-n:0.000956065
( ( Fpa 1 -
2005 2005 Z 1 -
e e CC 0.999951 -
2006 2006 Z 1 -
) ) Fpt 1 -
; ; Fx 1 -
Prefeito_Amigo_da_Criança prefeito_amigo_da_criança NP00SP0 1 -
( ( Fpa 1 -
2005-2006 2005-2006 Z 1 -
) ) Fpt 1 -
; ; Fx 1 -
Prêmio_Prefeito_Empreendedor prêmio_prefeito_empreendedor NP00SP0 1 -
( ( Fpa 1 -
2006 2006 Z 1 -
) ) Fpt 1 -
; ; Fx 1 -
Prêmio_Melhores_Práticas_de_Gestão_para_o_Desenvolvimento_Humano_na_América_Latina_e_Caribe prêmio_melhores_práticas_de_gestão_para_o_desenvolvimento_humano_na_américa_latina_e_caribe NP00V00 1 -
( ( Fpa 1 -
2007 2007 Z 1 -
) ) Fpt 1 -
; ; Fx 1 -
Prêmio_Excelência_Administrativa_do_Nordeste prêmio_excelência_administrativa_do_nordeste NP00SP0 1 -
( ( Fpa 1 -
2007 2007 Z 1 -
) ) Fpt 1 -
; ; Fx 1 -
Prêmio_Gestão prêmio_gestão NP00SP0 1 -
democrática democrático AQ0FS00 1 00715140-a:0.00315902/02710530-a:0.00297474/00486539-a:0.00295443
voltada voltar VMP00SF 0.99251 00959714-v:0.00986426
para para SP 0.999444 -
o o DA0MS0 0.950254 -
desenvolvimento desenvolvimento NCMS000 1 00948206-n:0.00463924/00250259-n:0.00458118
sustentável sustentável AQ0CS00 1 02806261-a:0.00968066
( ( Fpa 1 -
2007 2007 Z 1 -
) ) Fpt 1 -
; ; Fx 1 -
Prefeito_Amigo_da_Criança prefeito_amigo_da_criança NP00SP0 1 -
( ( Fpa 1 -
2007-2008 2007-2008 Z 1 -
