<OUTPUT SRCFILE="11099.raw">
** ** Fz 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00277914/02051694-v:0.00160022/01955984-v:0.00148649/01995549-v:0.00144808/02072849-v:0.00143442/02009433-v:0.00134556/01904930-v:0.001344/01935233-v:0.00130447/01957529-v:0.00128806/02102398-v:0.00125877/00341560-v:0.00124099/01882814-v:0.00116917/02058994-v:0.0011652/02685951-v:0.00115968/01846916-v:0.00115419/02102002-v:0.00115075/01849221-v:0.00114224/01841079-v:0.00109796/02686471-v:0.00106622/01839538-v:0.00104028/00343898-v:0.00102468
eleito eleito AQ0MS00 0.5 00846052-a:0.0138175/01294857-a:0.0118166
presidente presidente NCMS000 0.998938 10467395-n:0.00485324/10468962-n:0.00479913/10467179-n:0.00452634/10469346-n:0.00425122/10468750-n:0.00419854/10468559-n:0.00405657
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Regional_Sul regional_sul NP00O00 1 -
3 3 Z 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
CNBB cnbb NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
fevereiro_de_2001 [??:??/2/2001:??.??:??] W 1 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.00180624/00524682-v:0.00179357/02381726-v:0.0017742
a o DA0FS0 0.675415 -
direção direção NCFS000 1 01144876-n:0.00518694
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
arquidiocese arquidiocese NCFS000 1 -
de de SP 1 -
Porto_Alegre porto_alegre NP00G00 1 -
, , Fc 1 -
com com SP 1 -
a o DA0FS0 0.675415 -
renúncia renúncia NCFS000 1 07254594-n:0.000716542/07254267-n:0.000669326/00212808-n:0.000656987/07254836-n:0.000645606/00205079-n:0.000630996/07207410-n:0.000621307/00213694-n:0.000603156/06511560-n:0.000565331/14413411-n:0.000552135
de de SP 1 -
dom dom NCMS000 1 05624042-n:0.00267879/13265011-n:0.00182854/05624461-n:0.00182507
Altamiro_Rossato altamiro_rossato NP00SP0 1 -
por por SP 1 -
limite limite NCMS000 0.953125 08512259-n:0.000701819/13903079-n:0.000539532/08592656-n:0.000504171/13903387-n:0.000491882/05124057-n:0.00048356/03264542-n:0.000459781/08512736-n:0.000458833/05124928-n:0.000428758/13903576-n:0.000428508/08565701-n:0.00040843/13871452-n:0.000386785/13903738-n:0.000385898/08501114-n:0.000383814
de de SP 1 -
idade idade NCFS000 1 15145171-n:0.00101295/15254028-n:0.00096743/15153787-n:0.000967096/15242955-n:0.000966548/15248564-n:0.000897108/04924103-n:0.000891587
. . Fp 1 -
    Fz 1 -
Em em SP 1 -
o o DA0MS0 1 -
início início NCMS000 1 07325190-n:0.00109633/00235435-n:0.000950571/00240184-n:0.000905095/07325990-n:0.000902862/15265518-n:0.000899793/07290905-n:0.000872163
de de SP 1 -
2002 2002 Z 1 -
, , Fc 1 -
dom dom NCMS000 1 05624042-n:0.00267879/13265011-n:0.00182854/05624461-n:0.00182507
Dadeus_Grings dadeus_grings NP00SP0 1 -
lançou lançar VMIS3S0 1 01508368-v:0.00111963/01507143-v:0.000557009/01514655-v:0.000531904/01515196-v:0.000512964/01507792-v:0.000509695/01512465-v:0.000508009/01951480-v:0.000505088/02043190-v:0.000497535/01514525-v:0.000497013/01242689-v:0.000487241/01241614-v:0.000458059
uma um DI0FS0 0.903495 -
cartilha cartilha NCFS000 1 06414948-n:0.00549191
de de SP 1 -
orientação orientação NCFS000 1 00815320-n:0.00138582/06208021-n:0.00130261/13828075-n:0.00128982/01052372-n:0.00126943
a a SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
católicos católico NCMP000 0.332698 -
para para SP 0.999444 -
as o DA0FP0 0.974798 -
eleições eleição NCFP000 1 00181781-n:0.00160187/05790944-n:0.00145429/00183505-n:0.0013705/00180962-n:0.00130015
presidenciais presidencial AQ0CP00 1 00753504-a:0.00273306/02984104-a:0.00252654
em em SP 1 -
que que PR0CN00 0.584265 -
não não RN 0.99985 00118531-r:0.00534917
recomendava recomendar VMII3S0 0.533301 00875141-v:0.00276559/00882948-v:0.00254237
o o DA0MS0 0.950254 -
voto voto NCMS000 0.968254 -
em em SP 1 -
candidatos candidato NCMP000 0.987805 09889691-n:0.00148981/09607280-n:0.00138825/09890749-n:0.00131554/10001647-n:0.00123937
“ “ Fra 1 -
[ [ Fca 1 -
propagassem propagar VMSI3P0 1 00055871-v:0.00296048/00055539-v:0.00282269
] ] Fct 1 -
que que PR0CN00 0.584265 -
, , Fc 1 -
em em SP 1 -
matéria matéria NCFS000 1 05814291-n:0.00268518/00020827-n:0.00255915
de de SP 1 -
sexo sexo NCMS000 1 07999291-n:0.0010507/05006898-n:0.000947214/00844254-n:0.000941515/06328643-n:0.000892668/05514081-n:0.000892367/07487695-n:0.000847439
, , Fc 1 -
não não RN 0.99985 00118531-r:0.00534917
existe existir VMIP3S0 0.992958 02603699-v:0.00317063/02653381-v:0.00266677
certo certo AQ0MS00 0.404762 00914421-a:0.00271873/00631798-a:0.00248174
ou ou CC 1 -
errado errar VMP00SM 0.992518 01881180-v:0.00205028/01925694-v:0.00181112/02036397-a:0.00160014
” ” Frc 1 -
e e CC 0.999951 -
que que PR0CN00 0.584265 -
“ “ Fra 1 -
[ [ Fca 1 -
incentivassem incentivar VMSI3P0 1 02554422-v:0.00518085
] ] Fct 1 -
invasões invasão NCFP000 1 00976531-n:0.0015798/00733483-n:0.00115722/00975452-n:0.00112312/07429976-n:0.00101063/00977132-n:0.0010099
de de SP 1 -
propriedades propriedade NCFP000 1 00032613-n:0.0010477/13244109-n:0.00100107/13240514-n:0.000944606/13250930-n:0.000909987/00024264-n:0.000905469/05154517-n:0.000878388
legitimamente legitimamente RG 1 00363218-r:0.00293409/00362831-r:0.00273144
adquiridas adquirir VMP00PF 0.992497 02210855-v:0.000734383/02207206-v:0.000591807/02289295-v:0.000507555/02526085-v:0.000506969/02238085-v:0.000497516/02288295-v:0.00048718/00094460-v:0.000396343/02290461-v:0.000395102/02238770-v:0.000382929/02239261-v:0.000368243/01315670-a:0.000351194/02359340-v:0.000344688/02212103-v:0.000338608/00012267-v:0.000335445/02208265-v:0.000326819
” ” Frc 1 -
. . Fp 1 -

Em em SP 1 -
junho [??:??/6/??:??.??:??] W 1 -
, , Fc 1 -
em em SP 1 -
encontro encontro NCMS000 0.995868 01230965-n:0.00379598/01231548-n:0.00363908/08385717-n:0.00341021/08310389-n:0.00318574/07414922-n:0.00301489
com com SP 1 -
empresários empresário NCMP000 1 09882007-n:0.0043056/09882716-n:0.00410536/10060352-n:0.00392644/10054657-n:0.00388236
em em SP 1 -
a o DA0FS0 1 -
Federação_das_Associações_Empresariais_do_Rio_Grande_do_Sul federação_das_associações_empresariais_do_rio_grande_do_sul NP00O00 1 -
( ( Fpa 1 -
Federasul federasul NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
afirmou afirmar VMIS3S0 1 01011725-v:0.00325874/01017643-v:0.00325289/01016002-v:0.00315041/00758333-v:0.00300246/01019643-v:0.00288916
que que CS 0.398036 -
“ “ Fra 1 -
os o DA0MP0 0.958022 -
padres padre NCMP000 0.9832 10470779-n:0.00806792/10471250-n:0.00784681
que que PR0CN00 0.584265 -
[ [ Fca 1 -
simpatizavam simpatizar VMII3P0 1 01822724-v:0.0147497
] ] Fct 1 -
com com SP 1 -
o o DA0MS0 0.950254 -
PT pt NP00O00 1 -
não não RN 0.99985 00118531-r:0.0155346
representam representar VMIP3P0 1 01719302-v:0.00146997/00836236-v:0.00134706/01686132-v:0.00126497/02723733-v:0.00124199/00988028-v:0.00122004/01719921-v:0.00120373/02620587-v:0.00120281/02697725-v:0.00119143/02541509-v:0.00112344/02698443-v:0.0011231/02541921-v:0.00111869/02581675-v:0.00110837/02740352-v:0.00110306/01723690-v:0.0010913
a o DA0FS0 0.675415 -
Igreja igreja NP00O00 1 03028079-n:0.00506406/03953416-n:0.00350114/03007130-n:0.00334427/08081668-n:0.00302317/03618982-n:0.00281644
” ” Frc 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
final final NCFS000 0.422733 -
de de SP 1 -
2002 2002 Z 1 -
, , Fc 1 -
dom dom NCMS000 1 05624042-n:0.00778853/05624461-n:0.00530968/13265011-n:0.00521579
Dadeus dadeus NP00SP0 1 -
lançou lançar VMIS3S0 1 01508368-v:0.00324253/01507143-v:0.00159997/01507792-v:0.00148159/01512465-v:0.00147571/01514655-v:0.00147268/01951480-v:0.00144656/01514525-v:0.00144527/02043190-v:0.00143712/01515196-v:0.00142088/01242689-v:0.00141615/01241614-v:0.00132809
nova novo AQ0FS00 0.997925 01730444-a:0.00404349/01642477-a:0.00381929/01641648-a:0.00364719/01687167-a:0.00360345
