<OUTPUT SRCFILE="5150.raw">
** ** Fz 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00189843/02051694-v:0.000928679/01955984-v:0.000883715/01995549-v:0.000861535/02072849-v:0.000839539/01904930-v:0.000822624/02009433-v:0.000788879/01957529-v:0.000761764/01935233-v:0.000760954/02102398-v:0.00074559/00341560-v:0.000725569/02685951-v:0.000701355/01882814-v:0.000684836/02058994-v:0.000683791/01846916-v:0.000678152/02102002-v:0.000677948/01849221-v:0.00067032/01841079-v:0.000648167/02686471-v:0.000622421/01839538-v:0.000608417/00343898-v:0.000599252
promovido promover VMP00SM 0.992518 02554922-v:0.00699817/00875806-v:0.00693228
a o DA0FS0 0.675415 -
segundo-secretário segundo-secretário NCMS000 1 -
e e CC 0.999951 -
, , Fc 1 -
como como CS 0.751351 -
tal tal PD0CS00 0.232026 -
, , Fc 1 -
permaneceu permanecer VMIS3S0 1 02731024-v:0.00289346/00117985-v:0.00288727/01857392-v:0.00248754/02731242-v:0.00247532/02639075-v:0.00245735/02727462-v:0.00232176
em em SP 1 -
a o DA0FS0 1 -
capital capital NCFS000 0.498759 08524735-n:0.0088279/08518505-n:0.00708818
uruguaia uruguaio AQ0FS00 0.417354 02967333-a:0.0133164
até até SP 0.764262 -
1958 1958 Z 1 -
, , Fc 1 -
quando quando RG 0.998992 -
passou passar VMIS3S0 1 01212230-v:0.00461342/02709277-v:0.0043085/00106960-v:0.0042281
a a SP 0.313151 -
servir servir VMN0000 0.330909 01182709-v:0.0039/01095218-v:0.00371741/01180351-v:0.00354615/02670890-v:0.00351252
em em SP 1 -
a o DA0FS0 1 -
Divisão_Política_do_Itamarati divisão_política_do_itamarati NP00O00 1 -
. . Fp 1 -

Transferido transferir VMP00SM 0.992518 02293321-v:0.0165994
em em SP 1 -
1959 1959 Z 1 -
para para SP 0.999444 -
a o DA0FS0 0.675415 -
Divisão_Econômica divisão_econômica NP00O00 1 -
, , Fc 1 -
representou representar VMIS3S0 1 01719302-v:0.00161622/00836236-v:0.0014634/01686132-v:0.00138814/02723733-v:0.00136521/00988028-v:0.00133342/01719921-v:0.00132299/02697725-v:0.00130964/02620587-v:0.00129683/02698443-v:0.00123289/02541921-v:0.00122928/02541509-v:0.00122522/02581675-v:0.00121632/02740352-v:0.00120039/01723690-v:0.00119984
o o DA0MS0 0.950254 -
MRE mre NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
Comissão_de_Reparações_de_Guerra comissão_de_reparações_de_guerra NP00O00 1 -
e e CC 0.999951 -
foi ir VMIS3S0 0.5 01835496-v:0.00197477/02051694-v:0.00112098/01955984-v:0.0010458/01995549-v:0.00101791/02072849-v:0.00100529/01904930-v:0.000959569/02009433-v:0.000942345/01935233-v:0.000913777/01957529-v:0.000908088/02102398-v:0.000883889/00341560-v:0.000872245/02685951-v:0.000823466/01882814-v:0.00081931/02058994-v:0.000817618/01846916-v:0.000808823/02102002-v:0.000806617/01849221-v:0.000801327/01841079-v:0.000769661/02686471-v:0.000749589/01839538-v:0.00072863/00343898-v:0.000717851
membro membro NCMS000 1 10307234-n:0.00451624/05559908-n:0.00435187/05560244-n:0.00417514/13810615-n:0.00394113
efetivo efetivo AQ0MS00 0.542381 00834198-a:0.017247
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_de_Estudos_Relativos_à_Navegação_Aérea_Internacional comissão_de_estudos_relativos_à_navegação_aérea_internacional NP00O00 1 -
( ( Fpa 1 -
CERNAI cernai NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00162836/15203565-n:0.00158928/15203791-n:0.00155293/08238660-n:0.00143996/15153787-n:0.00140909/15204297-n:0.00140285/15201505-n:0.00139723/15202806-n:0.0013766/15203229-n:0.00132817/15273626-n:0.00131436
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00627894/00127815-a:0.00626056
integrou integrar VMIS3S0 1 00466651-v:0.00456329/00642980-v:0.00430249/00467451-v:0.00418759
a o DA0FS0 0.675415 -
delegação delegação NCFS000 1 08402442-n:0.00424509/01140839-n:0.0042391/01140471-n:0.00416303
brasileira brasileiro AQ0FS00 0.822581 02966829-a:0.0129957
a a SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
reuniões reunião NCFP000 1 07975026-n:0.00247739/01229938-n:0.0017976/08307589-n:0.00149021/07951464-n:0.00128449/01014066-n:0.001269/01230965-n:0.00120669/00382474-n:0.00114367/08310389-n:0.00114317/01231686-n:0.00112843/01014990-n:0.00111989/08478371-n:0.00107133/08415774-n:0.00100195
de de SP 1 -
consulta consulta NCFS000 0.458746 01264050-n:0.0066243/07143137-n:0.00636876
sobre sobre SP 0.997342 -
os o DA0MP0 0.958022 -
acordos acordo NCMP000 1 13971065-n:0.00223754/07175241-n:0.0019914/07176804-n:0.00185425/07180183-n:0.0015271/06520944-n:0.00138641/07176682-n:0.00137177/13969243-n:0.0013434/01205564-n:0.00127904/13971901-n:0.00125108/13971802-n:0.00124048
de de SP 1 -
transporte transporte NCMS000 0.959459 01105259-n:0.00656443/00315986-n:0.00655493
aéreo aéreo AQ0MS00 1 01380267-a:0.0159608
com com SP 1 -
Portugal portugal NP00G00 1 -
, , Fc 1 -
Inglaterra inglaterra NP00G00 1 -
e e CC 0.999951 -
França frança NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mesmo mesmo RG 0.820175 -
ano ano NCMS000 1 15202634-n:0.00175423/15203565-n:0.00171972/15203791-n:0.00166115/15153787-n:0.00152358/15204297-n:0.00151878/15201505-n:0.0015115/08238660-n:0.00151106/15202806-n:0.00149016/15203229-n:0.00143758/15273626-n:0.00142297
de de SP 1 -
1960 1960 Z 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00166233/02051694-v:0.000934618/01955984-v:0.00087383/01995549-v:0.000852248/02072849-v:0.000839046/01904930-v:0.000802726/02009433-v:0.000790211/01935233-v:0.000761928/01957529-v:0.000757238/02102398-v:0.000737319/00341560-v:0.000725458/01882814-v:0.000683206/02058994-v:0.000682205/02685951-v:0.000679437/02102002-v:0.00067501/01846916-v:0.00067494/01849221-v:0.000669052/01841079-v:0.000642003/02686471-v:0.00062198/01839538-v:0.000607315/00343898-v:0.000598188
transferido transferir VMP00SM 0.992518 02293321-v:0.0138354
para para SP 0.999444 -
a o DA0FS0 0.675415 -
embaixada embaixada NCFS000 1 08402442-n:0.00353533/08402828-n:0.00312824/08402693-n:0.00302709/03282295-n:0.00292633/00588780-n:0.00264565
em em SP 1 -
Bonn bonn NP00G00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
República_Federal_da_Alemanha república_federal_da_alemanha NP00G00 1 -
, , Fc 1 -
onde onde RG 0.980752 -
se se PP3CN00 0.861659 -
encontrava encontrar VMII3S0 0.533333 02285629-v:0.00796486/02286687-v:0.00737378
em em SP 1 -
1961 1961 Z 1 -
, , Fc 1 -
quando quando RG 0.998992 -
foi ir VMIS3S0 0.5 01835496-v:0.00166233/02051694-v:0.000934618/01955984-v:0.00087383/01995549-v:0.000852248/02072849-v:0.000839046/01904930-v:0.000802726/02009433-v:0.000790211/01935233-v:0.000761928/01957529-v:0.000757238/02102398-v:0.000737319/00341560-v:0.000725458/01882814-v:0.000683206/02058994-v:0.000682205/02685951-v:0.000679437/02102002-v:0.00067501/01846916-v:0.00067494/01849221-v:0.000669052/01841079-v:0.000642003/02686471-v:0.00062198/01839538-v:0.000607315/00343898-v:0.000598188
promovido promover VMP00SM 0.992518 02554922-v:0.00699161/00875806-v:0.00693624
a o DA0FS0 0.675415 -
primeiro-secretário primeiro-secretário NCMS000 1 -
. . Fp 1 -

Em em SP 1 -
1962 1962 Z 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
chefe chefe NCMS000 1 09623038-n:0.0340527
substituto substituto AQ0MS00 0.367364 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Serviço_de_Propaganda_e_Expansão_Comercial serviço_de_propaganda_e_expansão_comercial NP00O00 1 -
em em SP 1 -
Bonn bonn NP00G00 1 -
. . Fp 1 -

Integrou integrar VMIS3S0 1 00466651-v:0.00329709/00642980-v:0.00310798/00467451-v:0.00302432
a o DA0FS0 0.675415 -
delegação delegação NCFS000 1 08402442-n:0.00306669/01140839-n:0.00306507/01140471-n:0.00301278
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Brasil brasil NP00O00 1 12489524-n:0.00953969
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
reunião reunião NCFS000 1 07975026-n:0.00178854/01229938-n:0.00128807/08307589-n:0.00093611/01014066-n:0.000918647/07951464-n:0.000914509/01230965-n:0.000871002/00382474-n:0.000826272/08310389-n:0.000825177/01231686-n:0.000814524/01014990-n:0.0008094/08478371-n:0.000773884/08415774-n:0.000723636
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
subcomitês subcomitês NCMS000 0.569773 -
legal legal AQ0CS00 1 01400562-a:0.00494965/02499148-a:0.00442461
e e CC 0.999951 -
científico científico AQ0MS00 1 02084804-a:0.00479969/02793273-a:0.00470406
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Comitê_das_Nações_Unidas comitê_das_nações_unidas NP00O00 1 -
para para SP 0.999444 -
Usos_Pacíficos_do_Espaço_Extraterrestre usos_pacíficos_do_espaço_extraterrestre NP00G00 1 -
, , Fc 1 -
realizada realizar VMP00SF 0.986111 01617192-v:0.00139719/01640855-v:0.00125656/02526085-v:0.0011924/02561995-v:0.00110472/02671880-v:0.0010721/00486018-v:0.00107053/02560767-v:0.00104257/02244603-v:0.000961518/02226028-a:0.000934491
em em SP 1 -
Genebra genebra NP00G00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
Suíça suíça NP00G00 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00117717/15203565-n:0.0011486/15203791-n:0.00113052/08238660-n:0.00104054/15153787-n:0.0010195/15204297-n:0.00101355/15201505-n:0.00100978/15202806-n:0.000994631/15203229-n:0.000960066/15273626-n:0.000949977
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00453493/00127815-a:0.00452167
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
XVIII_Sessão_da xviii_sessão_da NP00O00 1 -
Assembléia_Geral_da_Organização_das_Nações_Unidas assembléia_geral_da_organização_das_nações_unidas NP00O00 1 -
( ( Fpa 1 -
ONU onu NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
Nova_Iorque nova_iorque NP00G00 1 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0409587
em em SP 1 -
1963 1963 Z 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00479437/02051694-v:0.00279862/01955984-v:0.00259157/01995549-v:0.00252016/02072849-v:0.00250441/02009433-v:0.00234163/01904930-v:0.0023237/01935233-v:0.00227994/01957529-v:0.00224191/02102398-v:0.00219901/00341560-v:0.00216606/01882814-v:0.00204392/02058994-v:0.00203609/02685951-v:0.00202406/01846916-v:0.00201745/02102002-v:0.00200695/01849221-v:0.00199632/01841079-v:0.0019203/02686471-v:0.00186437/01839538-v:0.00181971/00343898-v:0.00179267
transferido transferir VMP00SM 0.992518 02293321-v:0.0414899
para para SP 0.999444 -
Washington washington NP00G00 1 -
. . Fp 1 -

Assessor assessor NCMS000 0.632636 09774266-n:0.0132481
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
delegação delegação NCFS000 1 08402442-n:0.00425244/01140839-n:0.00423608/01140471-n:0.00416345
brasileira brasileiro AQ0FS00 0.822581 02966829-a:0.012999
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
III_Conferência_Interparlamentar_Americana iii_conferência_interparlamentar_americana NP00O00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
