<OUTPUT SRCFILE="5103.raw">
** ** Fz 1 -
Partido_Progressista_Brasileiro partido_progressista_brasileiro NP00O00 1 -
( ( Fpa 1 -
PPB ppb NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
as o DA0FP0 1 -
votações votação NCFP000 1 00183505-n:0.00334627/00182213-n:0.00316412
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
emendas emenda NCFP000 0.914011 01250101-n:0.00649264
constitucionais constitucional AQ0CP00 0.667364 00901345-a:0.00212464/00179925-a:0.00212353/02702332-a:0.00201335
propostas proposta NCFP000 0.454918 07162194-n:0.00363044/07162680-n:0.00351729
por por SP 1 -
o o DA0MS0 1 -
governo governo NCMS000 0.914011 08050678-n:0.00232634/01124794-n:0.00226781/00815173-n:0.00216143
Fernando_Henrique_Cardoso fernando_henrique_cardoso NP00SP0 1 -
em em SP 1 -
1995 1995 Z 1 -
, , Fc 1 -
pronunciou pronunciar VMIS3S0 1 -
se se PP3CN00 1 -
a o DA0FS0 0.675415 -
favor favor NCMS000 1 01226941-n:0.00335092/05156319-n:0.00317316
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
mudança mudança NCFS000 1 07296428-n:0.000760605/00191142-n:0.000716402/00331950-n:0.000519182/07415730-n:0.000502996/00260622-n:0.000488371/07359599-n:0.000438071/07337390-n:0.000416938/00196485-n:0.000403602/00196084-n:0.000403417/00199130-n:0.000399993/00168658-n:0.00039766/11412727-n:0.000395088/00400083-n:0.00038703/07355194-n:0.000374366/00195415-n:0.000356803/00351485-n:0.00035623/07297633-n:0.000348325
no_conceito_de no_conceito_de SP 1 -
empresa empresa NCFS000 0.994778 08056231-n:0.00655665
nacional nacional AQ0CS00 0.966867 01105840-a:0.00233435/01567862-a:0.00197495/02988060-a:0.00191569/02988402-a:0.00183233/02988281-a:0.00177503/01861776-a:0.00172136/01038332-a:0.00169137
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
quebra quebra NCCS000 0.554 00068333-n:0.00653137
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
