<OUTPUT SRCFILE="5139.raw">
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
vereador vereador NCMS000 1 09944763-n:0.00375067/09782397-n:0.0034529
em em SP 1 -
Jales jales NP00G00 1 -
em em SP 1 -
novembro_de_1968 [??:??/11/1968:??.??:??] W 1 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0273195
em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
ano ano NCMS000 1 15202634-n:0.00350419/15203565-n:0.00345064/15203791-n:0.0033337/15204297-n:0.00303734/15153787-n:0.00303499/08238660-n:0.00301935/15201505-n:0.00301844/15202806-n:0.00297744/15203229-n:0.00288559/15273626-n:0.00284158
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
presidente presidente NCMS000 0.998938 10468559-n:0.0115152/10467395-n:0.0059943/10468962-n:0.0057937/10467179-n:0.00543737/10468750-n:0.00515449/10469346-n:0.00510103
e e CC 0.999951 -
diretor diretor NCMS000 1 10468559-n:0.0115152/10014939-n:0.00790284/10474645-n:0.00739942/10015485-n:0.00698506
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Associação_Educacional_de_Jales associação_educacional_de_jales NP00O00 1 -
. . Fp 1 -

Reelegeu reeleger VMIS3S0 1 -
se se PP3CN00 1 -
vereador vereador NCMS000 1 09944763-n:0.0299875/09782397-n:0.0276048
em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0557983
de de SP 1 -
novembro_de_1972 [??:??/11/1972:??.??:??] W 1 -
. . Fp 1 -

Em em SP 1 -
1974 1974 Z 1 -
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
diretor diretor NCMS000 1 10014939-n:0.00522123/10474645-n:0.00485768/10015485-n:0.00465739/10468559-n:0.00452969
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Instituto_de_Educação_Dona_Leonor_Mendes_de_Barros instituto_de_educação_dona_leonor_mendes_de_barros NP00O00 1 -
, , Fc 1 -
nome nome NCMS000 1 06333653-n:0.00380344/06319293-n:0.00327954/06337307-n:0.00290957/06317862-n:0.00283662/06320004-n:0.00279637/06338908-n:0.00264316/06720964-n:0.00264163
adotado adotar VMP00SM 0.992515 02346724-v:0.00603189/01034296-a:0.00477872/00413195-v:0.00471243/02346895-v:0.00444337
por por SP 1 -
a o DA0FS0 1 -
antiga antigo AQ0FS00 1 00669138-a:0.0171369
Escola_Normal escola_normal NP00O00 1 -
após após SP 1 -
a o DA0FS0 0.675415 -
mudança mudança NCFS000 1 00191142-n:0.00195858/07296428-n:0.00193203/00331950-n:0.00126681/07359599-n:0.00123748/07415730-n:0.00123468/00196485-n:0.00115289/07337390-n:0.00114914/00168658-n:0.00113817/00260622-n:0.00113534/00196084-n:0.00113344/00400083-n:0.00110872/00199130-n:0.0011086/11412727-n:0.00110484/07355194-n:0.00107766/00351485-n:0.00102245/00195415-n:0.00101899/07297633-n:0.00100346
de de SP 1 -
estatuto estatuto NCMS000 1 06564387-n:0.00937794/06537951-n:0.008542
. . Fp 1 -

Eleito eleito NCMS000 0.5 -
em em SP 1 -
1975 1975 Z 1 -
presidente presidente NCMS000 0.998938 10468962-n:0.00487945/10467395-n:0.00487141/10467179-n:0.00450241/10469346-n:0.00428338/10468750-n:0.00420412/10468559-n:0.00406519
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Câmara_Municipal câmara_municipal NP00O00 1 -
, , Fc 1 -
deixou deixar VMIS3S0 1 00120316-v:0.00545971/00800930-v:0.00519125/00802318-v:0.00488194/02310007-v:0.00460073/00771490-v:0.0044271
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.0150234/13945102-n:0.0115235
que que PR0CN00 0.584265 -
ocupava ocupar VMII3S0 0.533333 00600370-v:0.00863068/01126360-v:0.0078023/02649042-v:0.00764409
em em SP 1 -
a o DA0FS0 1 -
Associação_Educacional_de_Jales associação_educacional_de_jales NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
as o DA0FP0 1 -
eleições eleição NCFP000 1 00181781-n:0.00605005/05790944-n:0.00579438/00183505-n:0.00539608/00180962-n:0.00517941
realizadas realizar VMP00PF 0.992518 01617192-v:0.00320267/01640855-v:0.00278056/02526085-v:0.00257388/02561995-v:0.00248149/02671880-v:0.00238803/00486018-v:0.00238286/02560767-v:0.00234311/02244603-v:0.00216179/02226028-a:0.00210226
em em SP 1 -
novembro_de_1976 [??:??/11/1976:??.??:??] W 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
novamente novamente RG 0.5 00040365-r:0.0083231/00112843-r:0.00815259/00112601-r:0.00736933
para para SP 0.999444 -
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.0135109/13945102-n:0.0100769
de de SP 1 -
vereador vereador NCMS000 1 09944763-n:0.0112753/09782397-n:0.0103539
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0110398/06347588-n:0.0102397
arenista arenista AQ0CS00 0.304336 -
. . Fp 1 -

Com com SP 1 -
o o DA0MS0 0.950254 -
fim fim NCMS000 1 15266911-n:0.00446602/07291794-n:0.00388414/07291312-n:0.00361873/05981230-n:0.0036162/15143477-n:0.00352784/15267536-n:0.0034729
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
bipartidarismo bipartidarismo NCMS000 1 -
em em SP 1 -
novembro_de_1979 [??:??/11/1979:??.??:??] W 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
consequente consequente AQ0CS00 0.667364 00464513-a:0.0208862
reformulação reformulação NCFS000 1 -
partidária partidário AQ0FS00 0.588046 00996343-a:0.0195111
, , Fc 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_do_Movimento_Democrático_Brasileiro partido_do_movimento_democrático_brasileiro NP00O00 1 -
( ( Fpa 1 -
PMDB pmdb NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
setembro_de_1980 [??:??/9/1980:??.??:??] W 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
Congresso_Nacional congresso_nacional NP00O00 1 -
