<OUTPUT SRCFILE="11650.raw">
** ** Fz 1 -
" " Fe 1 -
1990 1990 Z 1 -
" " Fe 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0110446/06347588-n:0.0102391
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PC_do_B pc_do_b NP00V00 1 -
, , Fc 1 -
e e CC 0.999951 -
reelegeu reeleger VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
[ [ Fca 1 -
1994 1994 Z 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/1994 http://pt.wikipedia.org/wiki/1994 Z 1 -
" " Fe 1 -
1994 1994 Z 1 -
" " Fe 1 -
) ) Fpt 1 -
e e CC 0.999951 -
em em SP 1 -
[ [ Fca 1 -
1998 1998 Z 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/1998 http://pt.wikipedia.org/wiki/1998 Z 1 -
" " Fe 1 -
1998 1998 Z 1 -
" " Fe 1 -
) ) Fpt 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.000897618/02051694-v:0.000465461/01955984-v:0.000461398/01995549-v:0.00045249/01904930-v:0.000434565/02009433-v:0.000428428/02072849-v:0.000423541/01957529-v:0.000392182/01935233-v:0.000382622/02102398-v:0.000381397/00341560-v:0.000367305/02685951-v:0.000345001/02058994-v:0.000344257/01882814-v:0.000343841/02102002-v:0.000343036/01849221-v:0.000340413/01846916-v:0.000339657/01841079-v:0.000324215/02686471-v:0.000311931/01839538-v:0.000304715/00343898-v:0.000300557
autor autor NCMS000 1 10794014-n:0.00419416/10126177-n:0.00236002/09824065-n:0.00209351
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
projeto projeto NCMS000 1 05898568-n:0.00193124/00795720-n:0.00169552/05902327-n:0.00142443/05891572-n:0.00141918/05910453-n:0.00139472
que que PR0CN00 0.584265 -
proibiu proibir VMIS3S0 1 00795863-v:0.00222962/02493666-v:0.00185533/00796588-v:0.00181291/00796392-v:0.00177053
as o DA0FP0 0.974798 -
bombas bomba NCFP000 1 04021798-n:0.00278565/02866578-n:0.00248602/03551582-n:0.00225428
de de SP 1 -
auto-serviço auto-serviço NCMS000 1 -
em em SP 1 -
os o DA0MP0 1 -
postos posto NCMP000 0.870968 14429985-n:0.00227098/13947415-n:0.0019087/04175859-n:0.00189909/14428160-n:0.00183166
de de SP 1 -
gasolina gasolina NCFS000 1 14686913-n:0.00310678/14685881-n:0.00233801/14967730-n:0.00218459
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
estado estado NCMS000 0.924757 00024720-n:0.0023617/13945919-n:0.00163559/13920835-n:0.00158732/13920429-n:0.00150815/14418395-n:0.00144649
de de SP 1 -
São_Paulo são_paulo NP00G00 1 -
– – Fz 1 -
visando visar VMG0000 1 00998182-v:0.00685256
a a SP 0.313151 -
impedir impedir VMN0000 0.529581 02450505-v:0.00367911/02452885-v:0.00361256
a o DA0FS0 0.675415 -
demissão demissão NCFS000 1 00216174-n:0.00356775/07254456-n:0.00337586
de de SP 1 -
trabalhadores trabalhador NCMP000 0.993827 10053808-n:0.00201113/10791221-n:0.00193962/10241300-n:0.00189255/10481711-n:0.00178612
de de SP 1 -
postos posto NCMP000 0.870968 14429985-n:0.00227098/13947415-n:0.0019087/04175859-n:0.00189909/14428160-n:0.00183166
de de SP 1 -
gasolina gasolina NCFS000 1 14686913-n:0.00310678/14685881-n:0.00233801/14967730-n:0.00218459
– – Fz 1 -
, , Fc 1 -
do_que do_que CS 1 -
garantiu garantir VMIS3S0 1 00890590-v:0.0024738/00889555-v:0.00237546/00891936-v:0.00235009
a o DA0FS0 0.675415 -
meia-entrada meia-entrada NCFS000 0.959912 -
em em SP 1 -
eventos evento NCMP000 1 00029378-n:0.00248554/07283608-n:0.00214467/07307477-n:0.00178946/07290761-n:0.00177602
culturais cultural AQ0CP00 1 02872501-a:0.0017853/02898922-a:0.00176055/02248693-a:0.00165831/02872362-a:0.00160521
e e CC 0.999951 -
esportivos esportivo AQ0MP00 1 02801749-a:0.00642797
para para SP 0.999444 -
os o DA0MP0 0.958022 -
estudantes estudante NCCP000 1 10665698-n:0.00210059/10016103-n:0.00112743/10251779-n:0.00105009/10559288-n:0.000988909/10767020-n:0.000973299/10558773-n:0.000965022/10059162-n:0.000926712
secundaristas secundaristas AQ0CP00 0.166694 -
e e CC 0.999951 -
universitários universitário AQ0MP00 0.667262 02699524-a:0.00670731
de de SP 1 -
São_Paulo são_paulo NP00G00 1 -
, , Fc 1 -
e e CC 0.999951 -
ainda ainda RG 1 00047534-r:0.00687171
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
projeto projeto NCMS000 1 05898568-n:0.00193124/00795720-n:0.00169552/05902327-n:0.00142443/05891572-n:0.00141918/05910453-n:0.00139472
SOS_Racismo sos_racismo NP00SP0 1 -
. . Fp 1 -

Durante durante SP 0.99651 -
a o DA0FS0 0.675415 -
legislatura legislatura NCFS000 1 15291498-n:0.0219381
1999-2003 1999-2003 Z 1 -
, , Fc 1 -
apresentou apresentar VMIS3S0 1 02137132-v:0.00264055/01714208-v:0.00241673/02140033-v:0.00238945/00901103-v:0.00238231/00772967-v:0.00229236/02374764-v:0.00223573/02425112-v:0.00222509/02310328-v:0.00219714/01025246-v:0.00214054
e e CC 0.999951 -
aprovou aprovar VMIS3S0 1 00806502-v:0.00457717/02453889-v:0.00448014/00861725-v:0.0044047/00673983-v:0.00423232/02447793-v:0.00419765
em em SP 1 -
plenário plenário NCMS000 0.632636 -
o o DA0MS0 0.950254 -
projeto projeto NCMS000 1 05898568-n:0.00565736/00795720-n:0.0049222/05902327-n:0.00427508/05891572-n:0.0042566/05910453-n:0.00417648
de de SP 1 -
lei lei NCFS000 1 08441203-n:0.00805695/06532330-n:0.00629575/05872982-n:0.00522394/08456347-n:0.00491154
que que PR0CN00 0.584265 -
criava criar VMII3S0 0.533313 01617192-v:0.00618299/01621555-v:0.00467376/01753788-v:0.00450058/01640207-v:0.00447725/01685313-v:0.00399791
a o DA0FS0 0.675415 -
Universidade_Pública_da_Zona_Leste universidade_pública_da_zona_leste NP00O00 1 -
. . Fp 1 -

O o DA0MS0 0.950254 -
projeto projeto NCMS000 1 05898568-n:0.00501134/00795720-n:0.00436114/05902327-n:0.00379844/05891572-n:0.00378195/05910453-n:0.00371194
foi ir VMIS3S0 0.5 01835496-v:0.00218221/02051694-v:0.00124529/01955984-v:0.00116051/01995549-v:0.00113712/02072849-v:0.00111565/01904930-v:0.00106077/02009433-v:0.00104661/01935233-v:0.00101551/01957529-v:0.00100549/02102398-v:0.000980926/00341560-v:0.000964817/02685951-v:0.000920331/01882814-v:0.000910309/02058994-v:0.000908312/01846916-v:0.000900471/02102002-v:0.000896008/01849221-v:0.000889811/01841079-v:0.000854668/02686471-v:0.000829061/01839538-v:0.000809578/00343898-v:0.000800672
vetado vetar VMP00SM 0.984411 02473431-v:0.0182122
em em SP 1 -
2001 2001 Z 1 -
por por SP 1 -
o o DA0MS0 1 -
então então RG 0.994792 -
governador governador NCMS000 0.980769 10140314-n:0.00982786/10541229-n:0.00961392
Geraldo_Alckmin geraldo_alckmin NP00SP0 1 -
, , Fc 1 -
e e CC 0.999951 -
