<OUTPUT SRCFILE="1326.raw">
Antônio_Aureliano_Chaves_de_Mendonça antônio_aureliano_chaves_de_mendonça NP00SP0 1 -
concluiu concluir VMIS3S0 1 00634472-v:0.0050462/00636574-v:0.00335832/00352826-v:0.00330948/01022420-v:0.00318295/00944924-v:0.00316959/00636441-v:0.00279464/00698855-v:0.0027935/00715074-v:0.00272605/00945125-v:0.00263727
um um DI0MS0 0.877848 -
curso curso NCMS000 0.980769 08679972-n:0.00269788/09387222-n:0.00266839/13827426-n:0.0026203/08377085-n:0.00257844/08238660-n:0.00240697/08680888-n:0.00238949/08238463-n:0.00235602/00884466-n:0.00234307/00038262-n:0.00225989/08681222-n:0.00222395/08461595-n:0.00209917
sobre sobre SP 0.997342 -
organização organização NCFS000 1 05726596-n:0.00292765/08008335-n:0.00281625/08049401-n:0.00281302/08435388-n:0.00280469/08164585-n:0.0027757/01136519-n:0.00273798/00237078-n:0.00265647/04768657-n:0.00263383/01008378-n:0.00260847
racional racional AQ0CS00 0.667361 01925372-a:0.0060455/02929901-a:0.00480511/01926089-a:0.00465832/01333118-a:0.00462039/01780343-a:0.00455291
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
trabalho trabalho NCMS000 0.997967 00575741-n:0.00401304/00584367-n:0.00311712/00582388-n:0.0029287/04602044-n:0.00256819/00576877-n:0.00250768/00796886-n:0.00248431/00581241-n:0.00245746/00621476-n:0.00241941/08137495-n:0.00232922/00576717-n:0.00228524
em em SP 1 -
a o DA0FS0 1 -
Faculdade_Fluminense_de_Engenharia faculdade_fluminense_de_engenharia NP00O00 1 -
, , Fc 1 -
em em SP 1 -
Niterói niterói NP00G00 1 -
. . Fp 1 -

# # Fz 1 -
# # Fz 1 -
Deputado deputado NCMS000 0.993827 09830400-n:0.00610802/10005934-n:0.00602818
estadual estadual AQ0CS00 1 -
e e CC 0.999951 -
secretário secretário NCMS000 1 10570019-n:0.00446925/10569744-n:0.00446774/01618503-n:0.00415741
de de SP 1 -
Estado_Em estado_em NP00SP0 1 -
outubro_de_1958 [??:??/10/1958:??.??:??] W 1 -
concorreu concorrer VMIS3S0 1 -
a a SP 0.313151 -
uma um DI0FS0 0.903495 -
cadeira cadeira NCFS000 1 04161981-n:0.00355184/04161358-n:0.00342424/04326896-n:0.00301071/03001627-n:0.0029239/08647616-n:0.00276892
em em SP 1 -
a o DA0FS0 1 -
Assembléia_Legislativa assembléia_legislativa NP00O00 1 -
mineira mineira NCFS000 0.37548 10319796-n:0.0135707
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0067946/06347588-n:0.00630284
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
UDN udn NP00O00 1 -
e e CC 0.999951 -
obteve obter VMIS3S0 1 02210855-v:0.00139415/02238085-v:0.00127628/02526085-v:0.00121368/02288295-v:0.00105984/02207206-v:0.00105139/02289295-v:0.00102936/02238770-v:0.000999672/02239261-v:0.000962338/02290461-v:0.000948614/02236124-v:0.000942434/00522751-v:0.000942025/00597915-v:0.000924591/02359340-v:0.000897973/02527431-v:0.000896981
a o DA0FS0 0.675415 -
quarta quarto AO0FS00 0.931818 -
suplência suplência NCFS000 1 -
. . Fp 1 -

Chegou chegar VMIS3S0 1 00208055-v:0.0128178/02015384-v:0.0112283/00634472-v:0.0110583
a a SP 0.313151 -
exercer exercer VMN0000 0.529581 02204564-v:0.00944123/01095218-v:0.0089331/02568672-v:0.00886684/01166093-v:0.00763601
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00861457/06552984-n:0.00836608/01140658-n:0.00813649/06530789-n:0.00786336
por por SP 1 -
