<OUTPUT SRCFILE="11357.raw">
** ** Fz 1 -
21_de_junho [??:21/6/??:??.??:??] W 1 -
e e CC 0.999951 -
20_de_outubro_de_2004 [??:20/10/2004:??.??:??] W 1 -
, , Fc 1 -
e e CC 0.999951 -
de de SP 1 -
1º 1º Z 1 -
de de SP 1 -
janeiro [??:??/1/??:??.??:??] W 1 -
a o DA0FS0 0.675415 -
14_de_julho_de_2005 [??:14/7/2005:??.??:??] W 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
exercício exercício NCMS000 1 00624738-n:0.00425504/00894552-n:0.00424571/15203120-n:0.00407628/00729919-n:0.00388617
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mandato mandato NCMS000 0.98913 06556481-n:0.00432141/06552984-n:0.00419537/01140658-n:0.00407342/06530789-n:0.00393781
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
membro membro NCMS000 1 10307234-n:0.00466901/05559908-n:0.00435204/05560244-n:0.0041756/13810615-n:0.00394135
titular titular AQ0CS00 0.655827 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
comissão comissão NCFS000 1 08324514-n:0.00374281/08402442-n:0.00331114/00773235-n:0.00318412/13320860-n:0.00311267/06478988-n:0.0030982
permanente permanente AQ0CS00 0.97619 01754421-a:0.00845826/01759527-a:0.00779178
de de SP 1 -
Seguridade_Social seguridade_social NP00SP0 1 -
e e CC 0.999951 -
Família família NP00SP0 1 07970721-n:0.00341006/07969695-n:0.00197741/07997703-n:0.00189768/08101937-n:0.00189054/08078020-n:0.00185621/08107499-n:0.00177297/05838765-n:0.00176955/07970406-n:0.00176779/10236304-n:0.00168776/07971141-n:0.00155675
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
comissão comissão NCFS000 1 08324514-n:0.00374281/08402442-n:0.00331114/00773235-n:0.00318412/13320860-n:0.00311267/06478988-n:0.0030982
de de SP 1 -
Viação_e_Transportes viação_e_transportes NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
último último AO0MS00 0.866379 01010271-a:0.01808
ano ano NCMS000 1 15203565-n:0.0023564/15202634-n:0.0023414/15203791-n:0.0022217/15204297-n:0.00202982/15153787-n:0.00202717/15201505-n:0.00201392/08238660-n:0.00201171/15202806-n:0.00198571/15203229-n:0.0019173/15273626-n:0.00189508
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_do_Movimento_Democrático_Brasileiro partido_do_movimento_democrático_brasileiro NP00O00 1 -
( ( Fpa 1 -
PMDB pmdb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
mas mas CC 0.999313 -
logo logo RG 0.994911 00061203-r:0.0180689
em em SP 1 -
seguida seguida NCFS000 0.488372 -
retornaria retornar VMIC3S0 0.627782 02004874-v:0.0132265/02004528-v:0.0102663
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PL pl NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0239406
de de SP 1 -
2006 2006 Z 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
deputada deputar VMP00SF 0.347863 02395395-v:0.0233572
federal federal AQ0CS00 1 01606214-a:0.00573994/01107206-a:0.0055871/02725829-a:0.0055574/01106129-a:0.00542707
por por SP 1 -
o o DA0MS0 1 -
PL pl NP00O00 1 -
, , Fc 1 -
tomando tomar VMG0000 1 01170052-v:0.00487192/01171183-v:0.00440736/01156834-v:0.00376943/01202068-v:0.00366444/02205272-v:0.00348288/01172275-v:0.00346928/02248299-v:0.00310849
posse posse NCFS000 1 00032613-n:0.011993/00809702-n:0.011388
em em SP 1 -
1º 1º Z 1 -
de de SP 1 -
fevereiro_de_2007 [??:??/2/2007:??.??:??] W 1 -
. . Fp 1 -

Em em SP 1 -
este este DD0MS0 0.843484 - este PD0MS00 0.156516 -
mesmo mesmo RG 0.820175 -
ano ano NCMS000 1 15202634-n:0.00150445/15203565-n:0.00147429/15203791-n:0.00143595/15153787-n:0.00131028/15204297-n:0.00130203/15201505-n:0.00129699/08238660-n:0.00129591/15202806-n:0.00127764/15203229-n:0.00123231/15273626-n:0.0012199
com com SP 1 -
a o DA0FS0 0.675415 -
fusão fusão NCFS000 1 13566535-n:0.00180545/00380568-n:0.00178531/01238424-n:0.00173006/13485525-n:0.00170096/07373602-n:0.00169849/14418662-n:0.00163341/13485767-n:0.00159521
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PL pl NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Reedificação_da_Ordem_Nacional partido_da_reedificação_da_ordem_nacional NP00O00 1 -
( ( Fpa 1 -
PRONA prona NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
que que PR0CN00 0.584265 -
deu dar VMIS3S0 1 02199590-v:0.00166498/02327200-v:0.000856047/02230772-v:0.000853436/02200686-v:0.000791542/02339413-v:0.000686942/00056930-v:0.000658187/02262278-v:0.000627693/02229055-v:0.000626956/02358327-v:0.000626699/02235229-v:0.000624624/02308741-v:0.000602289/02293321-v:0.000568787/02296153-v:0.000567598/02255462-v:0.000567338/02316649-v:0.00055504/02263027-v:0.000542508/02310007-v:0.00052482/02357873-v:0.000507669/02336483-v:0.000504943/02310328-v:0.000503605/01180351-v:0.000496023/02316868-v:0.000489452/02200498-v:0.000483899/01233027-v:0.000472085
origem origem NCFS000 1 04922787-n:0.0129421
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_República partido_da_república NP00O00 1 -
( ( Fpa 1 -
PR pr NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Gorete_Pereira gorete_pereira NP00SP0 1 -
ingressou ingressar VMIS3S0 1 02310855-v:0.0117067
em em SP 1 -
a o DA0FS0 1 -
nova novo AQ0FS00 0.997925 01730444-a:0.00317713/01642477-a:0.00300164/01641648-a:0.00286827/01687167-a:0.00283104
agremiação agremiação NCFS000 1 -
. . Fp 1 -

Tendo ter VMG0000 0.996894 00065639-v:0.00536517/00065370-v:0.00373942/02204692-v:0.00368406/02632167-v:0.00353539
assumido assumir VMP00SM 0.842617 00524682-v:0.00357832/00632236-v:0.00356355/02381726-v:0.00351194/01116857-a:0.00338069
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00360541/06552984-n:0.003511/01140658-n:0.00340918/06530789-n:0.00328647
de de SP 1 -
deputada deputado NCFS000 0.652137 09830400-n:0.00660695/10005934-n:0.00653379
federal federal AQ0CS00 1 01606214-a:0.0033506/01107206-a:0.00334714/02725829-a:0.00325136/01106129-a:0.00317037
em em SP 1 -
1º 1º Z 1 -
de de SP 1 -
janeiro_de_2007 [??:??/1/2007:??.??:??] W 1 -
, , Fc 1 -
passou passar VMIS3S0 1 01212230-v:0.00461424/02709277-v:0.00430715/00106960-v:0.00422969
a a SP 0.313151 -
atuar atuar VMN0000 0.529581 00010435-v:0.0148637
como como CS 0.751351 -
titular titular NCCS000 0.344173 -
em em SP 1 -
comissões comissão NCFP000 1 08324514-n:0.00316758/08402442-n:0.00275607/00773235-n:0.00265467/13320860-n:0.00259779/06478988-n:0.00259189
como como CS 0.751351 -
as o PD0FP00 0.0142702 -
de de SP 1 -
Trabalho trabalho NP00O00 1 00575741-n:0.00233935/00584367-n:0.0018373/00582388-n:0.00176606/04602044-n:0.00152333/00576877-n:0.00146538/00796886-n:0.00146293/00581241-n:0.00143476/00621476-n:0.00141217/08137495-n:0.00136573/00576717-n:0.00133319
, , Fc 1 -
Administração administração NCFS000 1 01124794-n:0.00286261/01133281-n:0.00284878/08164585-n:0.00282967/01135952-n:0.00247694/08381165-n:0.00246869/08357784-n:0.00238157
e e CC 0.999951 -
Serviço_Público serviço_público NP00SP0 1 -
. . Fp 1 -

Participou participar VMIS3S0 1 02450256-v:0.0157397
ainda ainda RG 1 00047534-r:0.0149107
de de SP 1 -
comissões comissão NCFP000 1 08324514-n:0.0032863/08402442-n:0.00298538/00773235-n:0.00289316/13320860-n:0.00283432/06478988-n:0.00280149
especiais especial AQ0CP00 1 01104026-a:0.00317697/01853228-a:0.00309466/02278011-a:0.00304383/00488187-a:0.00299712/01678729-a:0.00299382
como como CS 0.751351 -
as o PD0FP00 0.0142702 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Crise_Econômico-Financeira crise_econômico-financeira NP00O00 1 -
, , Fc 1 -
Serviços_e_Emprego serviços_e_emprego NP00SP0 1 -
, , Fc 1 -
    Fz 1 -
de de SP 1 -
Proteção proteção NP00V00 1 00817680-n:0.00509699/00954311-n:0.00499016/01213886-n:0.00480059
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
    Fz 1 -
Menor menor AQ0CS00 0.98913 01393681-a:0.0136694
, , Fc 1 -
de de SP 1 -
Recenseamento_Escolar recenseamento_escolar NP00SP0 1 -
, , Fc 1 -
de de SP 1 -
Jornada_Máxima_de_Trabalho jornada_máxima_de_trabalho NP00SP0 1 -
, , Fc 1 -
e e CC 0.999951 -
de de SP 1 -
Menores_Desaparecidos menores_desaparecidos NP00SP0 1 -
. . Fp 1 -

Integrou integrar VMIS3S0 1 00466651-v:0.00296973/00642980-v:0.00279574/00467451-v:0.00272162
também também RG 0.998533 00047534-r:0.00821541
diversos diverso AQ0MP00 1 02507772-a:0.00295635/02067491-a:0.0028526/02067719-a:0.00274773
conselhos conselho NCMP000 1 06671484-n:0.00872209
, , Fc 1 -
frentes frente NCFP000 1 08573674-n:0.00825694
e e CC 0.999951 -
grupos grupo NCMP000 1 07951464-n:0.00141907/00031264-n:0.00129213/07965085-n:0.00115498/07996689-n:0.000755296/07997703-n:0.000726751/07961480-n:0.000688499/07961016-n:0.000668253/08400452-n:0.000665103/06016853-n:0.000659566/08240169-n:0.000647901/07954731-n:0.000639726/08400772-n:0.000598827/07954014-n:0.000586532
parlamentares parlamentar AQ0CP00 0.570698 02774411-a:0.00276453/00715830-a:0.00263673/00716056-a:0.00260316
, , Fc 1 -
como como CS 0.751351 -
os o PD0MP00 0.021587 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Saúde saúde NP00O00 1 14447525-n:0.00287971/14447908-n:0.00285619/13923779-n:0.00278258
, , Fc 1 -
Segurança_Pública segurança_pública NP00SP0 1 -
, , Fc 1 -
Defesa_da_Criança_e_Adolescente defesa_da_criança_e_adolescente NP00SP0 1 -
, , Fc 1 -
Defesa_do_Projeto_de_Integração_do_Rio_São_Francisco defesa_do_projeto_de_integração_do_rio_são_francisco NP00G00 1 -
, , Fc 1 -
Defesa_dos_Portadores_de_Necessidades_Especiais defesa_dos_portadores_de_necessidades_especiais NP00SP0 1 -
, , Fc 1 -
Defesa_das_Santas_Casas_de_Misericórdia_Piso_Salarial defesa_das_santas_casas_de_misericórdia_piso_salarial NP00SP0 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
