<OUTPUT SRCFILE="1032.raw">
Antônio_Mendes_Canale antônio_mendes_canale NP00SP0 1 -
Comissão_de_Orçamento_da_Assembléia_mato-grossense comissão_de_orçamento_da_assembléia_mato-grossense NP00O00 1 -
e e CC 0.999951 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0104958
de de SP 1 -
outubro_de_1958 [??:??/10/1958:??.??:??] W 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
suplente suplente AQ0CS00 0.624504 -
de de SP 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00495625/10005934-n:0.00489898
federal federal AQ0CS00 1 01606214-a:0.00251259/01107206-a:0.00244617/02725829-a:0.00243277/01106129-a:0.00237781
por por SP 1 -
seu seu DP3MSS 0.957305 -
estado estado NCMS000 0.924757 00024720-n:0.00313203/13920835-n:0.00234263/13945919-n:0.00225279/13920429-n:0.00223494/14418395-n:0.00216859
, , Fc 1 -
sempre sempre RG 1 00227968-r:0.00214346/00088931-r:0.00212511/00019339-r:0.00208725/00020280-r:0.00207974/00020476-r:0.00201539
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00552113/06347588-n:0.00512254
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PSD psd NP00O00 1 -
. . Fp 1 -

Deixando deixar VMG0000 1 00120316-v:0.00550146/00800930-v:0.00519182/00802318-v:0.00488151/02310007-v:0.00460073/00771490-v:0.00442793
o o DA0MS0 0.950254 -
Legislativo_de_Mato_Grosso legislativo_de_mato_grosso NP00O00 1 -
em em SP 1 -
janeiro_de_1959 [??:??/1/1959:??.??:??] W 1 -
, , Fc 1 -
ocupou ocupar VMIS3S0 1 00600370-v:0.00862953/01126360-v:0.00780685/02649042-v:0.00765009
uma um DI0FS0 0.903495 -
cadeira cadeira NCFS000 1 04161981-n:0.00656599/04161358-n:0.00590698/04326896-n:0.00558762/03001627-n:0.00541121/08647616-n:0.00512634
em em SP 1 -
a o DA0FS0 1 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
de de SP 1 -
julho [??:??/7/??:??.??:??] W 1 -
a o DA0FS0 0.675415 -
outubro [??:??/10/??:??.??:??] W 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
ano ano NCMS000 1 15202634-n:0.00300493/15203565-n:0.0029476/15203791-n:0.00283679/15204297-n:0.00260978/15153787-n:0.00260546/15201505-n:0.0025891/08238660-n:0.00258501/15202806-n:0.00255253/15203229-n:0.00246304/15273626-n:0.00243802
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0116605/00127815-a:0.0116261
, , Fc 1 -
de de SP 1 -
julho [??:??/7/??:??.??:??] W 1 -
a o DA0FS0 0.675415 -
outubro_de_1961 [??:??/10/1961:??.??:??] W 1 -
, , Fc 1 -
de de SP 1 -
março [??:??/3/??:??.??:??] W 1 -
a o DA0FS0 0.675415 -
junho [??:??/6/??:??.??:??] W 1 -
e e CC 0.999951 -
de de SP 1 -
julho [??:??/7/??:??.??:??] W 1 -
a o DA0FS0 0.675415 -
setembro_de_1962 [??:??/9/1962:??.??:??] W 1 -
. . Fp 1 -

De de SP 1 -
1963 1963 Z 1 -
a a SP 0.313151 -
1967 1967 Z 1 -
foi ir VMIS3S0 0.5 01935233-v:0.00245382/01835496-v:0.00138512/01995549-v:0.000868206/02051694-v:0.000743137/01955984-v:0.000710935/02072849-v:0.000676821/01904930-v:0.000676425/02009433-v:0.000643757/01957529-v:0.000611372/02102398-v:0.000594687/00341560-v:0.000583051/02102002-v:0.000550368/02685951-v:0.000550268/01882814-v:0.000550055/02058994-v:0.00054779/01846916-v:0.000541898/01849221-v:0.000541157/01841079-v:0.000515028/02686471-v:0.000498216/01839538-v:0.000486522/00343898-v:0.000480482
prefeito prefeito NCMS000 1 10303814-n:0.00666607/09880881-n:0.00385561/10304018-n:0.00377118
de de SP 1 -
Campo_Grande campo_grande NP00G00 1 -
, , Fc 1 -
atual atual AQ0CS00 1 00666610-a:0.00366288/00668208-a:0.00350224/00667079-a:0.00343402
capital capital NCFS000 0.498759 08524735-n:0.00778282/08518505-n:0.00567548
de de SP 1 -
Mato_Grosso_do_Sul mato_grosso_do_sul NP00G00 1 -
, , Fc 1 -
aí aí RG 0.99505 00082308-r:0.0106534
iniciando iniciar VMG0000 0.941667 00348746-v:0.00256151/00345761-v:0.00247805/02608347-v:0.00247364/01650610-v:0.00227313/00964911-v:0.00206791
a o DA0FS0 0.675415 -
construção construção NCFS000 1 00911048-n:0.004583/01104637-n:0.0038168/00912001-n:0.00368755
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
canal canal NCMS000 0.632636 03089014-n:0.00107004/03944672-n:0.00102686/04244379-n:0.000992638/09241247-n:0.000987702/04493505-n:0.000981562/02947212-n:0.000949767/05250659-n:0.000939469/09476331-n:0.000907468/05248181-n:0.000885506/06259898-n:0.000880387/03253398-n:0.000876748/06260121-n:0.000867699/09232317-n:0.00083444
de de SP 1 -
Maracaju maracaju NP00G00 1 -
, , Fc 1 -
