<OUTPUT SRCFILE="5108.raw">
acordo acordo NCMS000 0.998155 13971065-n:0.000230391/06520944-n:0.000212512/07175241-n:0.000192468/07176804-n:0.000168051/07180183-n:0.000138084/13969243-n:0.000132175/07176682-n:0.000118804/01205564-n:0.000113277/13971901-n:0.000109687/13971802-n:0.000107225
com com SP 1 -
o o DA0MS0 0.950254 -
partido partido NCMS000 0.98773 -
situacionista situacionista NCCS000 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
Aliança_Renovadora_Nacional aliança_renovadora_nacional NP00O00 1 -
( ( Fpa 1 -
Arena arena NP00O00 1 02736511-n:0.0010738
) ) Fpt 1 -
. . Fp 1 -
Diante diante RG 1 00060632-r:0.00239587
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
recusa recusa NCFS000 0.488372 07205573-n:0.00113516
de de SP 1 -
esse esse DD0MS0 1 -
projeto projeto NCMS000 1 05898568-n:0.000574456/00795720-n:0.00051285/05891572-n:0.00035699/05902327-n:0.000353391/05910453-n:0.000346398
por por SP 1 -
o o DA0MS0 1 -
Legislativo legislativo NP00O00 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
governo governo NCMS000 0.914011 08050678-n:0.000829089/01124794-n:0.000816335/00815173-n:0.000693018
decretou decretar VMIS3S0 1 00715868-v:0.000661552/01027508-v:0.0006228
em em SP 1 -
abril [??:??/4/??:??.??:??] W 1 -
o o DA0MS0 0.950254 -
recesso recesso NCMS000 0.635075 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Congresso congresso NP00O00 1 08308800-n:0.000387985/08161757-n:0.000381534/08318691-n:0.000368703
, , Fc 1 -
durante durante SP 0.99651 -
o o PD0MS00 0.0313531 -
qual qual PR0CS00 0.715254 -
editou editar VMIS3S0 1 01745722-v:0.00113586
uma um DI0FS0 0.903495 -
série série NCFS000 1 08457976-n:0.000314124/05862721-n:0.000292263/08459648-n:0.000281757/07465781-n:0.000267156
de de SP 1 -
medidas medida NCFP000 0.982301 05098942-n:0.000314725/00996969-n:0.000296102/05098311-n:0.000244231/00033615-n:0.00023735/05093581-n:0.000227722
, , Fc 1 -
conhecidas conhecer VMP00PF 0.721918 00594621-v:0.000401198/02596113-v:0.000362083/00965894-a:0.000334049
como como CS 0.751351 -
o o DA0MS0 0.950254 -
" " Fe 1 -
pacote pacote NCMS000 1 03871083-n:0.00034974/08008017-n:0.000341077/02919414-n:0.000311764/03871628-n:0.000302102
de de SP 1 -
abril [??:??/4/??:??.??:??] W 1 -
" " Fe 1 -
. . Fp 1 -
Ainda ainda RG 1 00047534-r:0.00110968
em em SP 1 -
1977 1977 Z 1 -
, , Fc 1 -
apoiou apoiar VMIS3S0 1 02556126-v:0.000451419/02556817-v:0.00043371/02447793-v:0.000414764/01988458-v:0.000382442/01502946-v:0.000376493
a o DA0FS0 0.675415 -
greve greve NCFS000 1 01243674-n:0.000536735/01244341-n:0.000381698/01242962-n:0.000346807
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
estudantes estudante NCCP000 1 10665698-n:0.000396369/10016103-n:0.000205832/10251779-n:0.000171333/10559288-n:0.000162542/10767020-n:0.000157051/10558773-n:0.000153134/10059162-n:0.000147582
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Universidade_de_Brasília universidade_de_brasília NP00O00 1 -
( ( Fpa 1 -
UnB unb NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
foi ir VMIS3S0 0.5 01835496-v:0.000454404/01995549-v:0.000292676/01904930-v:0.00017701/01955984-v:0.000159623/02009433-v:0.000158355/02051694-v:0.000148748/02072849-v:0.000140306/01957529-v:0.000139412/01935233-v:0.00012776/02685951-v:0.00012684/02102398-v:0.000125016/00341560-v:0.000121624/02058994-v:0.00011458/01849221-v:0.000113959/02102002-v:0.000112692/01882814-v:0.000111276/01846916-v:0.000110718/02686471-v:0.000105575/01841079-v:0.000104188/01839538-v:9.71532e-05/00343898-v:9.60091e-05
delegado delegar VMP00SM 0.521997 02395395-v:0.00107753
brasileiro brasileiro NCMS000 0.788462 09694894-n:0.00106586
em em SP 1 -
a o DA0FS0 1 -
Conferência_Mundial conferência_mundial NP00O00 1 -
contra contra SP 0.996248 -
o o DA0MS0 0.950254 -
Apartheid apartheid NP00G00 1 06659168-n:0.00106863
, , Fc 1 -
i ir VMN0000 0.219811 01835496-v:0.000454404/01995549-v:0.000292676/01904930-v:0.00017701/01955984-v:0.000159623/02009433-v:0.000158355/02051694-v:0.000148748/02072849-v:0.000140306/01957529-v:0.000139412/01935233-v:0.00012776/02685951-v:0.00012684/02102398-v:0.000125016/00341560-v:0.000121624/02058994-v:0.00011458/01849221-v:0.000113959/02102002-v:0.000112692/01882814-v:0.000111276/01846916-v:0.000110718/02686471-v:0.000105575/01841079-v:0.000104188/01839538-v:9.71532e-05/00343898-v:9.60091e-05
Racismo racismo NP00SP0 1 06203758-n:0.000569873/01155044-n:0.000564083
e e CC 0.999951 -
o o DA0MS0 0.950254 -
Colonialismo colonialismo NP00G00 1 00426526-n:0.00109724
, , Fc 1 -
realizada realizar VMP00SF 0.986111 01617192-v:0.000592117/02526085-v:0.000347454/01640855-v:0.000241039/00486018-v:0.000171821/02671880-v:0.000150684/02561995-v:0.000141223/02560767-v:0.000131683/02244603-v:0.000117046/02226028-a:0.000110359
em em SP 1 -
Lisboa lisboa NP00G00 1 -
. . Fp 1 -
Em em SP 1 -
discurso discurso NCMS000 0.987805 06282651-n:0.000569682/07238694-n:0.000329229/07066659-n:0.00028464/07138085-n:0.000247656/05650820-n:0.000221565
pronunciado pronunciar VMP00SM 0.992518 00978549-v:0.000571479/00971650-v:0.000402222/00989602-v:0.000395239
em em SP 1 -
a o DA0FS0 1 -
tribuna tribuna NCFS000 1 03159640-n:0.00104795
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Câmara câmara NP00O00 1 02942699-n:0.000456493/04404997-n:0.000420005/03789171-n:0.000381319
, , Fc 1 -
em em SP 1 -
março_de_1978 [??:??/3/1978:??.??:??] W 1 -
, , Fc 1 -
denunciou denunciar VMIS3S0 1 00841580-v:0.00109291
a o DA0FS0 0.675415 -
sofisticação sofisticação NCFS000 1 04880273-n:0.00114094
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
métodos método NCMP000 1 05660268-n:0.00120977
repressivos repressivo AQ0MP00 1 02004176-a:0.00217581
adotados adotar VMP00PM 0.992518 02346724-v:0.000362917/01034296-a:0.000282338/00413195-v:0.000280359/02346895-v:0.000279474
por por SP 1 -
os o DA0MP0 1 -
órgãos órgão NCMP000 1 05297523-n:0.000254944/03854065-n:0.000185475/03273551-n:0.00016475/13087625-n:0.000156837/06595056-n:0.000154793/03494537-n:0.000152874/08349350-n:0.000149955
de de SP 1 -
segurança segurança NCFS000 1 14538472-n:0.000189151/14539268-n:0.0001886/06685754-n:0.000172847/05697135-n:0.000167297/04856308-n:0.000164156/04778267-n:0.000162502/07526338-n:0.000161528
policial policial AQ0CS00 0.667364 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
governos governo NCMP000 1 08050678-n:0.000829089/01124794-n:0.000816335/00815173-n:0.000693018
militares militar AQ0CP00 0.586538 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
América_Latina américa_latina NP00G00 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
existência existência NCFS000 1 13954253-n:0.000522164/13959069-n:0.000399953/13961399-n:0.000353155
de de SP 1 -
um um DI0MS0 0.877848 -
pacto pacto NCMS000 1 06770275-n:0.00032885/06773434-n:0.000251605/06772260-n:0.000238124/06525588-n:0.000217704/06771159-n:0.00021626
de de SP 1 -
ação ação NCFS000 1 14006945-n:0.000905273/00037396-n:0.000676025/01080366-n:0.000340589/00030358-n:0.000320274/01168369-n:0.000231509
entre entre SP 0.987856 -
governos governo NCMP000 1 08050678-n:0.000829089/01124794-n:0.000816335/00815173-n:0.000693018
autoritários autoritário AQ0MP00 1 00787357-a:0.00115079
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Cone_Sul_do cone_sul_do NP00O00 1 -
continente continente NCMS000 0.983871 03094503-n:0.000376208/09254614-n:0.000345523/09346120-n:0.000286258/09335916-n:0.00026375
que que PR0CN00 0.584265 -
, , Fc 1 -
ameaçados ameaçar VMP00PM 0.992514 00871405-v:0.000311195/00871781-v:0.000287952/02697120-v:0.000280128/02524688-a:0.000250783
por por SP 1 -
a o DA0FS0 1 -
política política NCFS000 0.28594 06656408-n:0.000436846/05901508-n:0.00031815/06148148-n:0.000317458/00611972-n:0.000231128/13840719-n:0.000223999
de de SP 1 -
preservação preservação NCFS000 1 00819024-n:0.0011126
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
direitos direito NCMP000 0.991803 -
humanos humano AQ0MP00 0.738095 01258617-a:0.000356768/02743261-a:0.000323132/02743391-a:0.000283315/00412460-a:0.00025452
implementada implementar VMP00SF 0.992518 -
por por SP 1 -
o o DA0MS0 1 -
então então RG 0.994792 -
presidente presidente NCMS000 0.998938 10467395-n:0.000306515/10467179-n:0.000248503/10468962-n:0.000241415/10469346-n:0.000224713/10468559-n:0.000206484/10468750-n:0.000201003
norte-americano norte-americano AQ0MS00 0.571364 02928566-a:0.000700264/02927512-a:0.000631435
Jimmy_Carter jimmy_carter NP00SP0 1 -
( ( Fpa 1 -
1977-1981 1977-1981 Z 1 -
) ) Fpt 1 -
, , Fc 1 -
estariam estar VMIC3P0 1 02604760-v:0.00168457/01857392-v:0.000361543/02655135-v:0.000215308/00149583-v:0.000183853/02734338-v:0.00017291/02729963-v:0.000169661/00065495-v:0.000155988
articulados articular VMP00PM 0.721858 00978369-v:0.000669892/00153410-a:0.000534716
para para SP 0.999444 -
continuarem continuar VMN03P0 0.976071 00117985-v:0.0003792/01995549-v:0.000292676/00781000-v:0.000196849/02684924-v:0.000184327/02679899-v:0.000158755/02375131-v:0.00014034/00350104-v:0.000119068/02747709-v:0.000117064/02747922-v:0.000112109/02684644-v:0.00011061
em em SP 1 -
o o DA0MS0 1 -
poder poder VMN0000 0.160714 -
. . Fp 1 -
Em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
ocasião ocasião NCFS000 1 07308889-n:0.000629693/14485064-n:0.000532363
, , Fc 1 -
anunciou anunciar VMIS3S0 1 00965871-v:0.000507734/00873682-v:0.000300326/00976653-v:0.000293549/00975427-v:0.000255318
ainda_que ainda_que CS 1 -
iniciaria iniciar VMIC3S0 0.627782 00345761-v:0.000344563/00348746-v:0.000316544/01650610-v:0.000298051/02608347-v:0.000283522/00964911-v:0.000206248
por por SP 1 -
conta conta NCFS000 0.546326 06516955-n:0.000579054/13354985-n:0.000391208/06517942-n:0.000355703
própria próprio AQ0FS00 0.994186 01104026-a:0.000547472/01104889-a:0.000506123
uma um DI0FS0 0.903495 -
investigação investigação NCFS000 1 00633864-n:0.000279511/05800611-n:0.000264921/05797597-n:0.000254718/00636728-n:0.000231175/00945777-n:0.000220561
para para SP 0.999444 -
apurar apurar VMN0000 0.529581 00475183-v:0.00109738
possível possível AQ0CS00 0.995495 01821266-a:0.000726268/00044353-a:0.000617024
correlação correlação NCFS000 1 06032246-n:0.00056795/13841651-n:0.000557128
entre entre SP 0.987856 -
a o DA0FS0 0.675415 -
morte morte NCFS000 1 07355491-n:0.000309669/15143477-n:0.000167097/09994943-n:0.000136778/11444117-n:0.000134285/13962498-n:0.000124623/07332956-n:0.000118023/00219575-n:0.000113524/07333649-n:0.000112884/15143276-n:0.000111015/14562960-n:0.000110353
de de SP 1 -
