<OUTPUT SRCFILE="11222.raw">
pleito pleito NCMS000 1 01182654-n:0.018622
de de SP 1 -
1998 1998 Z 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00880615/10005934-n:0.0087071
federal federal AQ0CS00 1 01606214-a:0.00446488/01107206-a:0.00434593/02725829-a:0.00432277/01106129-a:0.00422158
por por SP 1 -
o o DA0MS0 1 -
Estado_do_Espírito_Santo estado_do_espírito_santo NP00O00 1 -
com com SP 1 -
54.754 54754 Z 1 -
votos voto NCMP000 0.987805 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00981316/06347588-n:0.00910144
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PTB ptb NP00O00 1 -
, , Fc 1 -
para para SP 0.999444 -
a o DA0FS0 0.675415 -
legislatura legislatura NCFS000 1 15291498-n:0.019501
1999-2003 1999-2003 Z 1 -
. . Fp 1 -

Em em SP 1 -
2001 2001 Z 1 -
, , Fc 1 -
transferiu transferir VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Partido_Liberal partido_liberal NP00O00 1 -
e e CC 0.999951 -
, , Fc 1 -
ainda ainda RG 1 00047534-r:0.0126175
em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mesmo mesmo PI0MS00 0.176901 -
ano ano NCMS000 1 15202634-n:0.00161971/15203565-n:0.0015894/15203791-n:0.00154457/15153787-n:0.00140701/08238660-n:0.00140274/15204297-n:0.00140258/15201505-n:0.00139561/15202806-n:0.0013754/15203229-n:0.00132782/15273626-n:0.00131417
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00152546/02051694-v:0.000862692/01955984-v:0.000807703/01995549-v:0.000786382/02072849-v:0.000774087/01904930-v:0.000743791/02009433-v:0.000726892/01935233-v:0.000703748/01957529-v:0.00070201/02102398-v:0.000681411/00341560-v:0.000669348/01882814-v:0.000631021/02685951-v:0.000629474/02058994-v:0.000629415/01846916-v:0.000622909/02102002-v:0.000620413/01849221-v:0.000617402/01841079-v:0.000592225/02686471-v:0.000574506/01839538-v:0.000560927/00343898-v:0.000552022
nomeado nomear VMP00SM 0.97619 02475922-v:0.00242313/02396205-v:0.00238005/02396716-v:0.00228057/01028748-v:0.00226864/02400760-v:0.00223432/02401523-v:0.00216573
vice vice AQ0CN00 1 -
líder líder NCCS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
bloco bloco NCMS000 1 02852523-n:0.0126104
parlamentar parlamentar AQ0CS00 0.938144 02774411-a:0.00425235/00715830-a:0.00405241/00716056-a:0.00400314
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Liberal partido_liberal NP00O00 1 -
( ( Fpa 1 -
PL pl NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Social_Liberal partido_social_liberal NP00O00 1 -
( ( Fpa 1 -
PSL psl NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Durante durante SP 0.99651 -
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00478819/06552984-n:0.00466252/01140658-n:0.00452131/06530789-n:0.00437129
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00217176/02051694-v:0.00124504/01955984-v:0.00115887/01995549-v:0.00113034/02072849-v:0.00111488/01904930-v:0.00104797/02009433-v:0.0010473/01935233-v:0.00101502/01957529-v:0.00100356/02102398-v:0.000980308/00341560-v:0.00096482/01882814-v:0.000909751/02058994-v:0.000908091/02685951-v:0.000902704/02102002-v:0.000899285/01846916-v:0.000898262/01849221-v:0.000888946/01841079-v:0.000854406/02686471-v:0.00082936/01839538-v:0.000809299/00343898-v:0.00079704
presidente presidente NCMS000 0.998938 10467395-n:0.0037606/10468962-n:0.00373215/10467179-n:0.00343781/10469346-n:0.0033054/10468750-n:0.0032644/10468559-n:0.00315445
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_Parlamentar_de_Inquérito comissão_parlamentar_de_inquérito NP00O00 1 -
( ( Fpa 1 -
CPI cpi NP00O00 1 -
) ) Fpt 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
[ [ Fca 1 -
Narcotráfico narcotráfico NCMS000 1 01114055-n:0.0176027
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Narcotr%C3%A1fico http://pt.wikipedia.org/wiki/Narcotr%C3%A1fico Z 1 -
" " Fe 1 -
Narcotráfico narcotráfico NCMS000 1 01114055-n:0.0176027
" " Fe 1 -
) ) Fpt 1 -
e e CC 0.999951 -
1º 1º Z 1 -
vice vice AQ0CN00 1 -
presidente presidente NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_de_Segurança_Pública_e_Combate comissão_de_segurança_pública_e_combate NP00O00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Crime_Organizado crime_organizado NP00G00 1 -
. . Fp 1 -

Participou participar VMIS3S0 1 02450256-v:0.0157388
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
comissões comissão NCFP000 1 08324514-n:0.00328183/08402442-n:0.00298511/00773235-n:0.00289375/13320860-n:0.00282885/06478988-n:0.00280003
de de SP 1 -
Ciência_e_Tecnologia_,_Comunicação_e_Informática ciência_e_tecnologia_,_comunicação_e_informática NP00O00 1 -
; ; Fx 1 -
Relações_Exteriores relações_exteriores NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
Defesa_Nacional defesa_nacional NP00SP0 1 -
; ; Fx 1 -
Seguridade_Social seguridade_social NP00SP0 1 -
e e CC 0.999951 -
Família família NP00SP0 1 07970721-n:0.00309745/07969695-n:0.00177365/08101937-n:0.00171595/07997703-n:0.00171109/08078020-n:0.00168082/05838765-n:0.00160781/08107499-n:0.00160616/07970406-n:0.00160458/10236304-n:0.0015339/07971141-n:0.00141519
; ; Fx 1 -
Fixação_do_Salário_Mínimo fixação_do_salário_mínimo NP00O00 1 -
; ; Fx 1 -
Obras_Inacabadas obras_inacabadas NP00SP0 1 -
; ; Fx 1 -
e e CC 0.999951 -
Tortura tortura NP00SP0 1 14333433-n:0.00512887/00421437-n:0.00510716/07495327-n:0.0050442
e e CC 0.999951 -
Maus-Tratos maus-tratos NP00V00 1 -
. . Fp 1 -

Como como RG 0.205121 00159040-r:0.0238724
suplente suplente AQ0CS00 0.624504 -
, , Fc 1 -
atuou atuar VMIS3S0 1 00010435-v:0.0254131
em em SP 1 -
a o DA0FS0 1 -
Comissão_de_Finanças comissão_de_finanças NP00O00 1 -
e e CC 0.999951 -
Tributação tributação NCFS000 1 -
; ; Fx 1 -
e e CC 0.999951 -
em em SP 1 -
a o DA0FS0 1 -
Área_de_Livre_Comércio_das_Américas área_de_livre_comércio_das_américas NP00O00 1 -
( ( Fpa 1 -
ALCA alca NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00210634/15203565-n:0.00206283/15203791-n:0.0019986/15153787-n:0.00182754/15204297-n:0.00182236/15201505-n:0.00181253/08238660-n:0.00181179/15202806-n:0.00178751/15203229-n:0.00172429/15273626-n:0.00170623
de de SP 1 -
2000 2000 Z 1 -
, , Fc 1 -
representou representar VMIS3S0 1 01719302-v:0.00161482/00836236-v:0.0014713/01686132-v:0.00138751/02723733-v:0.00136638/00988028-v:0.00133824/01719921-v:0.00132203/02697725-v:0.00130981/02620587-v:0.0013027/02698443-v:0.0012338/02541921-v:0.00122941/02541509-v:0.0012253/02581675-v:0.00122173/02740352-v:0.00120086/01723690-v:0.00119977
a o DA0FS0 0.675415 -
Câmara_dos_Deputados_na_Conferência_Política_de_Alto_Nível câmara_dos_deputados_na_conferência_política_de_alto_nível NP00O00 1 -
para para SP 0.999444 -
assinatura assinatura NCFS000 1 06404582-n:0.00922983/07179820-n:0.00767883
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Convenção_da_ONU convenção_da_onu NP00O00 1 -
contra contra SP 0.996248 -
a o DA0FS0 0.675415 -
Delinquência delinquência NCFS000 1 13990675-n:0.00865835/10000945-n:0.0080793
e e CC 0.999951 -
o o DA0MS0 0.950254 -
Crime_Organizado_Transnacional crime_organizado_transnacional NP00O00 1 -
e e CC 0.999951 -
seus seu DP3MPS 0.857735 -
Protocolos protocolo NCMP000 1 06665108-n:0.00572227/05668915-n:0.00526453/06664981-n:0.00515016
em em SP 1 -
Palermo palermo NP00G00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
Itália itália NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00420279/15203565-n:0.00412454/15203791-n:0.00392518/15204297-n:0.00364411/15153787-n:0.00364137/15201505-n:0.00362258/08238660-n:0.00362141/15202806-n:0.00357301/15203229-n:0.00344662/15273626-n:0.00341
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0163245/00127815-a:0.0162764
, , Fc 1 -
votou votar VMIS3S0 1 02461314-v:0.0154114/02400637-v:0.0107935/02462201-v:0.010532
contra contra SP 0.996248 -
a o DA0FS0 0.675415 -
instalação instalação NCFS000 1 03315023-n:0.011763/04516874-n:0.0109455/00240938-n:0.0108423
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
CPI_da_Corrupção cpi_da_corrupção NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
2002 2002 Z 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.0162286/13945102-n:0.0115147
de de SP 1 -
senador senador NCMS000 1 10578471-n:0.0263833
por por SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0126163/06347588-n:0.011701
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PL pl NP00O00 1 -
, , Fc 1 -
obtendo obter VMG0000 1 02210855-v:0.00257006/02238085-v:0.00238797/02526085-v:0.002199/02288295-v:0.00193624/02207206-v:0.00190872/02289295-v:0.00187723/02238770-v:0.00184615/02239261-v:0.00179202/02290461-v:0.00174788/02236124-v:0.00174739/00522751-v:0.00174586/00597915-v:0.00171479/02359340-v:0.00166643/02527431-v:0.00166463
867.434 867434 Z 1 -
votos voto NCMP000 0.987805 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00382213/15203565-n:0.00374888/15203791-n:0.00358459/15153787-n:0.00331293/15204297-n:0.00331265/15201505-n:0.00329453/08238660-n:0.00329333/15202806-n:0.0032487/15203229-n:0.00313412/15273626-n:0.00309979
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00742069/00127815-a:0.00739895
, , Fc 1 -
já já RG 0.999011 00033922-r:0.00787921/00031798-r:0.00774773
em em SP 1 -
o o DA0MS0 1 -
Senado senado NP00O00 1 08161477-n:0.0150329
, , Fc 1 -
defendeu defender VMIS3S0 1 01128193-v:0.00308383/01129876-v:0.0022474/00895304-v:0.00221582/01127795-v:0.00219769/02733122-v:0.00213821/01129337-v:0.00212026/01149138-v:0.0021186
a o DA0FS0 0.675415 -
redução redução NCFS000 1 00351638-n:0.00831984/14780267-n:0.00734659
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
maioridade maioridade NCFS000 1 05122557-n:0.015112
penal penal AQ0CS00 1 01902866-a:0.00493923/01404370-a:0.00461214/02779420-a:0.00459331
para para SP 0.999444 -
13 13 Z 1 -
anos ano NCMP000 1 15202634-n:0.00382213/15203565-n:0.00374888/15203791-n:0.00358459/15153787-n:0.00331293/15204297-n:0.00331265/15201505-n:0.00329453/08238660-n:0.00329333/15202806-n:0.0032487/15203229-n:0.00313412/15273626-n:0.00309979
no_caso_de no_caso_de SP 1 -
crime crime NCMS000 1 00766234-n:0.00609336/00767477-n:0.00514767/00768701-n:0.00512609
hediondo hediondo AQ0MS00 1 02514380-a:0.0157095
. . Fp 1 -

Em em SP 1 -
as o DA0FP0 1 -
votações votação NCFP000 1 00183505-n:0.00313756/00182213-n:0.0029456
mais mais RG 0.999721 00029367-r:0.0043207/00099712-r:0.00363829
importantes importante AQ0CP00 0.98913 01275562-a:0.00125/02161432-a:0.00116746/00655779-a:0.00112108/00579622-a:0.000953738/01830403-a:0.000950142/01539887-a:0.00093471
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Senado senado NP00O00 1 08161477-n:0.00591006
, , Fc 1 -
se se PP3CN00 0.861659 -
posicionou posicionar VMIS3S0 1 01987160-v:0.00588377
, , Fc 1 -
em em SP 1 -
2004 2004 Z 1 -
, , Fc 1 -
contra contra SP 0.996248 -
o o DA0MS0 0.950254 -
valor valor NCMS000 1 05159725-n:0.00311108/05138208-n:0.00304235
de de SP 1 -
R r NCMS000 1 06833004-n:0.00545471
\ \ Fh 1 -
$ $ Fz 1 -
260 260 Z 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
salário_mínimo salário_mínimo NCMS000 1 -
, , Fc 1 -
previsto prever VMP00SM 0.991071 00871942-v:0.00139173/00917772-v:0.00125762/00929815-a:0.00111137/00974173-v:0.00109389/00712135-v:0.00104099/00926472-v:0.00102197
em em SP 1 -
a o DA0FS0 1 -
medida medida NCFS000 0.934426 00996969-n:0.00137664/05098942-n:0.00134844/05098311-n:0.00131284/00033615-n:0.00120936/05093581-n:0.00119123
provisória provisório AQ0FS00 1 00556318-a:0.0060741
editada editar VMP00SF 0.97619 01745722-v:0.00608955
por por SP 1 -
o o DA0MS0 1 -
presidente presidente NCMS000 0.998938 10467395-n:0.00126297/10468962-n:0.00123015/10467179-n:0.00113283/10469346-n:0.00112111/10468559-n:0.00109231/10468750-n:0.00105625
Luiz_Inácio_Lula_da_Silva luiz_inácio_lula_da_silva NP00SP0 1 -
, , Fc 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
favor favor NCMS000 1 01226941-n:0.00312006/05156319-n:0.00298433
de de SP 1 -
