<OUTPUT SRCFILE="11408.raw">
** ** Fz 1 -
e e CC 0.999951 -
foi ir VMIS3S0 0.5 01835496-v:0.00249588/02051694-v:0.00140284/01955984-v:0.00130962/01995549-v:0.00127422/02072849-v:0.00125864/02009433-v:0.00118301/01904930-v:0.00118255/01935233-v:0.00114192/01957529-v:0.00113023/02102398-v:0.00110375/00341560-v:0.00108487/02058994-v:0.0010277/01882814-v:0.0010238/02685951-v:0.00101557/01846916-v:0.00101091/02102002-v:0.00100714/01849221-v:0.00100205/01841079-v:0.000961565/02686471-v:0.000933175/01839538-v:0.000910711/00343898-v:0.000897055
escolhido escolher VMP00SM 0.992518 00674607-v:0.00554561/00676450-v:0.0028779/02400760-v:0.00274007/00676864-v:0.00270462/00679239-v:0.00265934/00677683-v:0.00261906/01710481-v:0.00255934/00677203-v:0.00242761
vice vice AQ0CN00 1 -
líder líder NCCS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PPB ppb NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
2005 2005 Z 1 -
, , Fc 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Frente_Liberal partido_da_frente_liberal NP00O00 1 -
( ( Fpa 1 -
PFL pfl NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Participou participar VMIS3S0 1 02450256-v:0.0157433
como como RG 0.205121 00159040-r:0.0152801
titular titular AQ0CS00 0.655827 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_Permanente_de_Relações_Exteriores comissão_permanente_de_relações_exteriores NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
Defesa_Nacional defesa_nacional NP00SP0 1 -
; ; Fx 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Constituição constituição NP00V00 1 04933544-n:0.00511148/06533648-n:0.0049934/00237078-n:0.00492366
e e CC 0.999951 -
Justiça justiça NP00V00 1 00694681-n:0.00474883/00694866-n:0.00295549/04850117-n:0.0027221/04839154-n:0.0025045/04826235-n:0.00240311/04850341-n:0.00237074/08135342-n:0.002113
e e CC 0.999951 -
de de SP 1 -
Cidadania cidadania NP00G00 1 08160276-n:0.00521886/13953467-n:0.00506146/04898208-n:0.00487184
; ; Fx 1 -
de de SP 1 -
Segurança_Pública segurança_pública NP00V00 1 -
e e CC 0.999951 -
Combate combate NP00O00 1 01170962-n:0.00308972/00953559-n:0.00250775/00964343-n:0.00223492/00952963-n:0.00217592/01172441-n:0.00216201/00446493-n:0.0021221/01236296-n:0.00210207
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Crime_Organizado crime_organizado NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
as o DA0FP0 1 -
reformas reforma NCFP000 0.987805 00260622-n:0.0156438/00800940-n:0.0150956
