<OUTPUT SRCFILE="11496.raw">
cidade cidade NCFS000 1 08626283-n:0.00858554/08524735-n:0.00758705/08665504-n:0.00622023/08226699-n:0.004487/08226335-n:0.00439678/08672738-n:0.0043547/08177958-n:0.00383094
. . Fp 1 -

Em em SP 1 -
a o DA0FS0 1 -
eleição eleição NCFS000 1 00181781-n:0.0019315/05790944-n:0.0018593/00183505-n:0.00173082/00180962-n:0.00165884
de de SP 1 -
1992 1992 Z 1 -
, , Fc 1 -
integrou integrar VMIS3S0 1 00466651-v:0.00238058/00642980-v:0.00223788/00467451-v:0.00217769
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
condição condição NCFS000 1 00024720-n:0.00249383/13920835-n:0.00190407/13945919-n:0.0018118/13927383-n:0.00178495
de de SP 1 -
vice vice AQ0CN00 1 -
prefeito prefeito NCMS000 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
chapa chapa NCFS000 0.819323 04188643-n:0.00185443/04314216-n:0.00168362/04233405-n:0.00163159/03661180-n:0.00155553
vitoriosa vitorioso AQ0FS00 1 00695209-a:0.00240018/00704898-a:0.00233881/02333314-a:0.00203466
encabeçada encabeçar VMP00SF 0.992518 02694287-v:0.0034293/02440244-v:0.00335408
por por SP 1 -
Germano_Vieira germano_vieira NP00SP0 1 -
. . Fp 1 -
    Fz 1 -
Em em SP 1 -
junho_de_1994 [??:??/6/1994:??.??:??] W 1 -
, , Fc 1 -
Gervásio_Silva gervásio_silva NP00SP0 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.00228273/00524682-v:0.0022788/02381726-v:0.00226553
a o DA0FS0 0.675415 -
prefeitura prefeitura NCFS000 1 03036022-n:0.00637091
de de SP 1 -
São_José são_josé NP00SP0 1 -
em em SP 1 -
o o DA0MS0 1 -
lugar lugar NCMS000 1 00027167-n:0.00157177/08621598-n:0.000812082/08620061-n:0.000745092/00582388-n:0.000702577/13947415-n:0.000689163/08500433-n:0.000669097/08622950-n:0.000647679/08624385-n:0.000612623/08653706-n:0.000604506/08490039-n:0.000566501/08683383-n:0.000554732
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
titular titular NCCS000 0.344173 -
, , Fc 1 -
que que PR0CN00 0.584265 -
sofreu sofrer VMIS3S0 1 00065639-v:0.00176985/00065070-v:0.00172739/00065370-v:0.00127167/00078401-v:0.00126036/02108377-v:0.00112676/01794668-v:0.0010993
um um DI0MS0 0.877848 -
processo processo NCMS000 0.998008 01023820-n:0.00128957/01181902-n:0.00122296/01198307-n:0.00121597/01182654-n:0.00121581/01195867-n:0.00115624/01023636-n:0.00112494
de de SP 1 -
* * Fz 1 -
impeachment impeachment NCMS000 1 07235790-n:0.0064369
* * Fz 1 -
. . Fp 1 -
    Fz 1 -
Em em SP 1 -
1995 1995 Z 1 -
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
segundo-tesoureiro segundo-tesoureiro NCMS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
diretório diretório NCMS000 1 03376279-n:0.00398996/03337383-n:0.00378311
regional regional AQ0CS00 1 02871858-a:0.00331967/02408977-a:0.00329512
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
executiva executivo NCFS000 0.487794 09770472-n:0.0067195
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PFL pfl NP00O00 1 -
de de SP 1 -
Santa_Catarina santa_catarina NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
1996 1996 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00478698/02051694-v:0.0028005/01955984-v:0.00259038/01995549-v:0.00251939/02072849-v:0.00250789/02009433-v:0.00233927/01904930-v:0.0023106/01935233-v:0.00227997/01957529-v:0.00223991/02102398-v:0.00219918/00341560-v:0.00216575/01882814-v:0.00204362/02058994-v:0.00203588/02685951-v:0.00202182/01846916-v:0.00201736/02102002-v:0.00200602/01849221-v:0.00199335/01841079-v:0.00191955/02686471-v:0.00186397/01839538-v:0.00181953/00343898-v:0.00179251
vice vice AQ0CN00 1 -
presidente presidente NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Associação_dos_Municípios_da_Grande_Florianópolis associação_dos_municípios_da_grande_florianópolis NP00O00 1 -
. . Fp 1 -

Deixou deixar VMIS3S0 1 00120316-v:0.00776462/00800930-v:0.00726707/00802318-v:0.0068678/02310007-v:0.00644272/00771490-v:0.00619781
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.0211871/13945102-n:0.0161339
de de SP 1 -
prefeito prefeito NCMS000 1 10303814-n:0.0200709/09880881-n:0.0115684/10304018-n:0.0113199
em em SP 1 -
1 1 Z 1 -
° ° Fz 1 -
de de SP 1 -
janeiro_de_1997 [??:??/1/1997:??.??:??] W 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
fim fim NCMS000 1 15266911-n:0.00715491/07291794-n:0.00621414/07291312-n:0.00579745/05981230-n:0.00578217/15143477-n:0.00564556/15267536-n:0.00555674
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mandato mandato NCMS000 0.98913 06556481-n:0.00863139/06552984-n:0.00838839/01140658-n:0.00815385/06530789-n:0.0078689
. . Fp 1 -

Em em SP 1 -
outubro_de_1998 [??:??/10/1998:??.??:??] W 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.0132071/10005934-n:0.0130587
federal federal AQ0CS00 1 01606214-a:0.00669633/01107206-a:0.00651705/02725829-a:0.00648261/01106129-a:0.00633165
por por SP 1 -
Santa_Catarina santa_catarina NP00G00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0147185/06347588-n:0.0136505
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PFL pfl NP00O00 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00128594/02051694-v:0.000702093/01955984-v:0.000661638/01995549-v:0.000647114/02072849-v:0.000635362/01904930-v:0.000612778/02009433-v:0.000594131/01957529-v:0.000574214/01935233-v:0.000572831/02102398-v:0.000555556/00341560-v:0.000545883/02102002-v:0.000519564/02685951-v:0.000514091/01882814-v:0.000513378/02058994-v:0.000512816/01846916-v:0.000507062/01849221-v:0.000505178/01841079-v:0.000482011/02686471-v:0.00046737/01839538-v:0.000455879/00343898-v:0.000448752
o o DA0MS0 0.950254 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.00960606
representante representante NCCS000 0.97619 10522035-n:0.00210204/09774783-n:0.00176293/10638385-n:0.0017171/10000787-n:0.00164092/10052694-n:0.00152932/10486909-n:0.00138928/10002982-n:0.00138672
eleito eleito AQ0MS00 0.5 00846052-a:0.00612432/01294857-a:0.00517435
de de SP 1 -
São_José são_josé NP00SP0 1 -
. . Fp 1 -
    Fz 1 -
Assumiu assumir VMIS3S0 1 00632236-v:0.00355875/00524682-v:0.0035397/02381726-v:0.003516
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00270057/06552984-n:0.00263191/01140658-n:0.00255198/06530789-n:0.00247971
em em SP 1 -
fevereiro_de_1999 [??:??/2/1999:??.??:??] W 1 -
e e CC 0.999951 -
votou votar VMIS3S0 1 02461314-v:0.00484273/02400637-v:0.00338364/02462201-v:0.00329714
a o DA0FS0 0.675415 -
favor favor NCMS000 1 01226941-n:0.005439/05156319-n:0.0051215
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
criação criação NCFS000 1 00914929-n:0.00166553/09466280-n:0.0016293/00240184-n:0.00150795/00908492-n:0.00149612/03129123-n:0.00147149/07328942-n:0.00141887/03574004-n:0.00140827
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Lei_de_Responsabilidade_Fiscal lei_de_responsabilidade_fiscal NP00V00 1 -
em em SP 1 -
2000 2000 Z 1 -
, , Fc 1 -
assim_como assim_como RG 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
prorrogação prorrogação NCFS000 1 15233989-n:0.0104325
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Contribuição_Provisória contribuição_provisória NP00O00 1 -
sobre sobre SP 0.997342 -
Movimentação_Financeira movimentação_financeira NP00SP0 1 -
( ( Fpa 1 -
CPMF cpmf NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
2002 2002 Z 1 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0149185
em em SP 1 -
2002 2002 Z 1 -
, , Fc 1 -
reelegeu reeleger VMIS3S0 1 -
se se PP3CN00 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00720604/10005934-n:0.00712332
federal federal AQ0CS00 1 01606214-a:0.00365284/01107206-a:0.00355641/02725829-a:0.00353785/01106129-a:0.00345817
, , Fc 1 -
tendo ter VMG0000 0.996894 00065639-v:0.00583996/00065370-v:0.00407675/02204692-v:0.00398514/02632167-v:0.00387764
conquistado conquistar VMP00SM 0.992518 01114303-v:0.00760179/00012267-v:0.00704197
a o DA0FS0 0.675415 -
quarta quarto AO0FS00 0.931818 -
maior maior AQ0CS00 0.979323 01395330-a:0.00391261/01471002-a:0.00389943/01511520-a:0.00373477/01383756-a:0.00341059
votação votação NCFS000 1 00183505-n:0.00790099/00182213-n:0.0074509
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
estado estado NCMS000 0.924757 00024720-n:0.00445075/13920835-n:0.003331/13920429-n:0.00324356/13945919-n:0.00323151/14418395-n:0.00315101
, , Fc 1 -
com com SP 1 -
113.137 113137 Z 1 -
votos voto NCMP000 0.987805 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00126081/02051694-v:0.000592943/01955984-v:0.000564959/01995549-v:0.000560247/02072849-v:0.000542774/01904930-v:0.000527415/02009433-v:0.000505435/02685951-v:0.000497991/01935233-v:0.000494847/01957529-v:0.000487473/02102398-v:0.000470354/00341560-v:0.000464134/02686471-v:0.00044721/01882814-v:0.000436741/02058994-v:0.000434639/02102002-v:0.000432065/01846916-v:0.000431057/01849221-v:0.00042777/01841079-v:0.000407992/01839538-v:0.000385045/00343898-v:0.000379404
empossado empossar VMP00SM 0.992518 -
em em SP 1 -
o o DA0MS0 1 -
novo novo AQ0MS00 0.998311 01730444-a:0.00234237/01642477-a:0.00221171/01641648-a:0.00211453/01687167-a:0.00208724
mandato mandato NCMS000 0.98913 06556481-n:0.00227517/06552984-n:0.00221742/01140658-n:0.00215577/06530789-n:0.00207383
em em SP 1 -
fevereiro_de_2003 [??:??/2/2003:??.??:??] W 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
as o DA0FP0 1 -
votações votação NCFP000 1 00183505-n:0.00948425/00182213-n:0.00885297
encaminhadas encaminhar VMP00PF 0.992518 02439732-v:0.00849698
por por SP 1 -
o o DA0MS0 1 -
governo governo NCMS000 0.914011 08050678-n:0.00315646/01124794-n:0.00307701/00815173-n:0.00279526
de de SP 1 -
Luís_Inácio_Lula_da_Silva luís_inácio_lula_da_silva NP00SP0 1 -
, , Fc 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_dos_Trabalhadores partido_dos_trabalhadores NP00O00 1 -
( ( Fpa 1 -
PT pt NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
adversário adversário NCMS000 0.632636 10533013-n:0.00323519/09773245-n:0.00307503/10379620-n:0.00304934
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PFL pfl NP00O00 1 -
, , Fc 1 -
