<OUTPUT SRCFILE="10874.raw">
** ** Fz 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
capital capital NCFS000 0.498759 08524735-n:0.00652082/08518505-n:0.00473385
cearense cearense AQ0CS00 0.554884 -
, , Fc 1 -
a o DA0FS0 0.675415 -
convite convite NCMS000 1 07186148-n:0.00958314
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
então então RG 0.994792 -
prefeito prefeito NCMS000 1 10303814-n:0.00561606/09880881-n:0.00321804/10304018-n:0.00314746
Juraci_Magalhães juraci_magalhães NP00SP0 1 -
( ( Fpa 1 -
1990-1993 1990-1993 Z 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
1992 1992 Z 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_do_Movimento_Democrático_Brasileiro partido_do_movimento_democrático_brasileiro NP00O00 1 -
( ( Fpa 1 -
PMDB pmdb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
por por SP 1 -
o o DA0MS0 1 -
qual qual PR0CS00 0.715254 -
se se PP3CN00 0.861659 -
candidatou candidatar VMIS3S0 1 00869596-v:0.0163968
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
prefeitura prefeitura NCFS000 1 03036022-n:0.0159183
de de SP 1 -
Fortaleza fortaleza NP00G00 1 03385557-n:0.00638989/04340935-n:0.00617015/03386011-n:0.00605608
em em SP 1 -
as o DA0FP0 1 -
eleições eleição NCFP000 1 00181781-n:0.00501494/05790944-n:0.00463436/00183505-n:0.00431689/00180962-n:0.00413642
de de SP 1 -
outubro [??:??/10/??:??.??:??] W 1 -
, , Fc 1 -
sendo ser VMG0000 1 02604760-v:0.0190655
eleito eleito NCMS000 0.5 -
com com SP 1 -
374.600 374600 Z 1 -
votos voto NCMP000 0.987805 -
. . Fp 1 -

Tomou tomar VMIS3S0 1 01170052-v:0.00568164/01171183-v:0.0051409/01156834-v:0.00439467/01202068-v:0.00427483/02205272-v:0.00405985/01172275-v:0.00404675/02248299-v:0.00362636
posse posse NCFS000 1 00032613-n:0.0139883/00809702-n:0.013285
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
cargo cargo NCMS000 1 00586262-n:0.0176175/13945102-n:0.0134372
de de SP 1 -
prefeito prefeito NCMS000 1 10303814-n:0.0167421/09880881-n:0.00964439/10304018-n:0.00943444
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
capital capital NCFS000 0.498759 08524735-n:0.0189684/08518505-n:0.0141868
cearense cearense AQ0CS00 0.554884 -
em em SP 1 -
1993 1993 Z 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00300393/15203565-n:0.00294691/15203791-n:0.00281469/15153787-n:0.00260602/15204297-n:0.0026038/15201505-n:0.00258877/08238660-n:0.00258562/15202806-n:0.00255246/15203229-n:0.00246414/15273626-n:0.00243836
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0116605/00127815-a:0.0116261
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
coordenador-geral coordenador-geral NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Frente_Nacional_de_Prefeitos frente_nacional_de_prefeitos NP00O00 1 -
, , Fc 1 -
permanecendo permanecer VMG0000 1 00117985-v:0.00496851/02731024-v:0.00496026/01857392-v:0.00426147/02731242-v:0.00424258/02639075-v:0.00421313/02727462-v:0.00397964
em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
função função NCFS000 1 00582388-n:0.00624586/00720565-n:0.00621581/05149325-n:0.00598412/00722061-n:0.00585753
até até SP 0.764262 -
1996 1996 Z 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00525336/15203565-n:0.00515467/15203791-n:0.0048956/15204297-n:0.00455446/15153787-n:0.00454854/15201505-n:0.0045267/08238660-n:0.00452399/15202806-n:0.00446534/15203229-n:0.00430801/15273626-n:0.00426045
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0102036/00127815-a:0.0101732
foi ir VMIS3S0 0.5 01835496-v:0.00251024/02051694-v:0.00140119/01955984-v:0.00130534/01995549-v:0.00127518/02072849-v:0.00125906/01904930-v:0.00119217/02009433-v:0.00117969/01935233-v:0.00114252/01957529-v:0.00113155/02102398-v:0.00110368/00341560-v:0.00108891/01882814-v:0.0010239/02058994-v:0.00102077/02102002-v:0.00101954/02685951-v:0.00101845/01846916-v:0.00101128/01849221-v:0.00100369/01841079-v:0.000961538/02686471-v:0.000933657/01839538-v:0.000911091/00343898-v:0.000897083
escolhido escolher VMP00SM 0.992518 00674607-v:0.00557579/00676450-v:0.00287807/02400760-v:0.00280943/00676864-v:0.00271833/00679239-v:0.00265977/00677683-v:0.00262034/01710481-v:0.00256083/00677203-v:0.00242788
para para SP 0.999444 -
presidir presidir VMN0000 0.529581 02443609-v:0.0206862
o o DA0MS0 0.950254 -
Diretório_Municipal_do_PMDB diretório_municipal_do_pmdb NP00V00 1 -
em em SP 1 -
Fortaleza fortaleza NP00G00 1 03385557-n:0.00798567/04340935-n:0.00771129/03386011-n:0.00756911
, , Fc 1 -
por por SP 1 -
dois 2 Z 1 -
anos ano NCMP000 1 15202634-n:0.00525336/15203565-n:0.00515467/15203791-n:0.0048956/15204297-n:0.00455446/15153787-n:0.00454854/15201505-n:0.0045267/08238660-n:0.00452399/15202806-n:0.00446534/15203229-n:0.00430801/15273626-n:0.00426045
. . Fp 1 -

No_decorrer_de no_decorrer_de SP 1 -
1997 1997 Z 1 -
transferiu transferir VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
os o DA0MP0 0.958022 -
Estados_Unidos estados_unidos NP00G00 1 -
, , Fc 1 -
onde onde RG 0.980752 -
atuou atuar VMIS3S0 1 00010435-v:0.0254135
como como CS 0.751351 -
professor professor NCMS000 1 10694258-n:0.00407857/10560352-n:0.00390749/10480730-n:0.00353664/10559840-n:0.00316135/09759069-n:0.00309522/10298482-n:0.00302074/10252222-n:0.0029264/05854812-n:0.00277855
visitante visitante AQ0CS00 1 -
em em SP 1 -
a o DA0FS0 1 -
Universidade_de_IIlinois universidade_de_iilinois NP00O00 1 -
, , Fc 1 -
até até SP 0.764262 -
1998 1998 Z 1 -
. . Fp 1 -

De de SP 1 -
volta volta NCFS000 0.992095 00051192-n:0.0100871/07447022-n:0.00969776
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Brasil brasil NP00O00 1 12489524-n:0.0214632
, , Fc 1 -
concorreu concorrer VMIS3S0 1 -
em em SP 1 -
as o DA0FP0 1 -
eleições eleição NCFP000 1 00181781-n:0.00620862/05790944-n:0.00579575/00183505-n:0.00547717/00180962-n:0.00519111
gerais geral AQ0CP00 0.289449 00489108-a:0.021933
de de SP 1 -
outubro_de_1998 [??:??/10/1998:??.??:??] W 1 -
, , Fc 1 -
como como CS 0.751351 -
candidato candidato NCMS000 0.962264 09889691-n:0.00592386/09607280-n:0.00548611/09890749-n:0.0052061/10001647-n:0.00494857
a a SP 0.313151 -
deputado deputado NCMS000 0.993827 09830400-n:0.00991071/10005934-n:0.00979579
federal federal AQ0CS00 1 01606214-a:0.0050233/01107206-a:0.00488933/02725829-a:0.004863/01106129-a:0.00475019
. . Fp 1 -

Em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
ocasião ocasião NCFS000 1 07308889-n:0.00849193/14485064-n:0.00811672
foi ir VMIS3S0 0.5 01835496-v:0.00208689/02051694-v:0.00112149/01955984-v:0.00104716/01995549-v:0.00102259/02072849-v:0.00100551/01904930-v:0.000950921/02009433-v:0.000944202/01935233-v:0.000914145/01957529-v:0.000911675/02102398-v:0.00088429/00341560-v:0.000875533/01882814-v:0.000819925/02058994-v:0.000818383/02685951-v:0.000818015/01846916-v:0.000812972/02102002-v:0.000810076/01849221-v:0.000802348/01841079-v:0.000770106/02686471-v:0.00074689/01839538-v:0.000729109/00343898-v:0.000718345
votado votar VMP00SM 0.992515 02461314-v:0.0108957/02462201-v:0.00578775/02400637-v:0.0055606
por por SP 1 -
96.976 96976 Z 1 -
eleitores eleitor NCMP000 1 10760340-n:0.0197856
, , Fc 1 -
que que PR0CN00 0.584265 -
lhe lhe PP3CSD0 1 -
garantiram garantir VMIS3P0 0.65 00890590-v:0.00594534/00889555-v:0.00569496/00891936-v:0.00563306
a o DA0FS0 0.675415 -
quarta quarto AO0FS00 0.931818 -
melhor melhor AQ0CS00 0.724599 00230335-a:0.0168554
votação votação NCFS000 1 00183505-n:0.00962991/00182213-n:0.00877288
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Ceará ceará NP00G00 1 -
para para SP 0.999444 -
a o DA0FS0 0.675415 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
. . Fp 1 -

Tomou tomar VMIS3S0 1 01170052-v:0.00341708/01171183-v:0.00308883/01156834-v:0.00264487/01202068-v:0.00256636/02205272-v:0.00244106/01172275-v:0.00242924/02248299-v:0.00217664
posse posse NCFS000 1 00032613-n:0.00840108/00809702-n:0.00797257
de de SP 1 -
seu seu DP3MSS 0.957305 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.0153665
mandato mandato NCMS000 0.98913 06556481-n:0.00431044/06552984-n:0.0041924/01140658-n:0.00407043/06530789-n:0.00393389
como como RG 0.205121 00159040-r:0.0169491
parlamentar parlamentar AQ0CS00 0.938144 02774411-a:0.00552604/00715830-a:0.00526399/00716056-a:0.00520384
em em SP 1 -
fevereiro_de_1999 [??:??/2/1999:??.??:??] W 1 -
, , Fc 1 -
ano ano NCMS000 1 15202634-n:0.00210481/15203565-n:0.00206401/15203791-n:0.00199893/15201505-n:0.00185084/15153787-n:0.00182998/08238660-n:0.00182288/15204297-n:0.00182286/15202806-n:0.00179036/15203229-n:0.00172537/15273626-n:0.00170773
em em SP 1 -
que que PR0CN00 0.584265 -
se se PP3CN00 0.861659 -
filiou filiar VMIS3S0 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Social_Democracia_Brasileira partido_da_social_democracia_brasileira NP00O00 1 -
( ( Fpa 1 -
PSDB psdb NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

    Fz 1 -
Ao_longo_de ao_longo_de SP 1 -
2001 2001 Z 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00198003/02051694-v:0.00111241/01955984-v:0.00104662/01995549-v:0.00102123/02072849-v:0.00100377/01904930-v:0.000955133/02009433-v:0.000939608/01935233-v:0.00091238/01957529-v:0.000905794/02102398-v:0.000882467/00341560-v:0.000867391/01882814-v:0.000819176/02058994-v:0.000816808/02685951-v:0.000815495/01846916-v:0.000813756/02102002-v:0.000805102/01849221-v:0.000800998/01841079-v:0.000769557/02686471-v:0.00074994/01839538-v:0.000728814/00343898-v:0.000717817
membro membro NCMS000 1 10307234-n:0.00450935/05559908-n:0.00435052/05560244-n:0.00417486/13810615-n:0.00394057
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_Parlamentar_de_Inquérito comissão_parlamentar_de_inquérito NP00O00 1 -
( ( Fpa 1 -
CPI cpi NP00O00 1 -
) ) Fpt 1 -
que que PR0CN00 0.584265 -
investigou investigar VMIS3S0 1 00785962-v:0.00389783/00648224-v:0.00382115/00649481-v:0.00360804/00788564-v:0.00340388/00877327-v:0.0033223
a o DA0FS0 0.675415 -
aplicação aplicação NCFS000 1 00949134-n:0.0170165
irregular irregular AQ0CS00 0.667364 01596809-a:0.00540798/00594146-a:0.00524165/01971046-a:0.00524162
de de SP 1 -
recursos recurso NCMP000 1 05154676-n:0.00257316/13331778-n:0.00217692/13332009-n:0.00208573/05154908-n:0.00200516/05155123-n:0.00199802/00177448-n:0.00199136/05154517-n:0.00196974/01208597-n:0.00191059/07246932-n:0.00171423
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Fundo_de_Investimento_do_Nordeste fundo_de_investimento_do_nordeste NP00O00 1 -
( ( Fpa 1 -
FINOR finor NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mesmo mesmo DD0MS0 0.00146199 -
ano ano NCMS000 1 15202634-n:0.00105726/15203565-n:0.00103788/15203791-n:0.0010326/15153787-n:0.000919324/15204297-n:0.000916241/15201505-n:0.0009155/08238660-n:0.000906355/15202806-n:0.000895928/15203229-n:0.000868584/15273626-n:0.000860056
atuou atuar VMIS3S0 1 00010435-v:0.00889929
