<OUTPUT SRCFILE="11003.raw">
eleita eleito AQ0FS00 0.463795 00846052-a:0.00807175/01294857-a:0.00689444
vereadora vereador NCFS000 1 09944763-n:0.00750142/09782397-n:0.00698024
de de SP 1 -
Porto_Alegre porto_alegre NP00G00 1 -
, , Fc 1 -
tornando tornar VMG0000 1 -
se se PP3CN00 1 -
a o DA0FS0 0.675415 -
vereadora vereador NCFS000 1 09944763-n:0.00750142/09782397-n:0.00698024
mais mais RG 0.999721 00029367-r:0.0100674/00099712-r:0.00848634
jovem jovem AQ0CS00 0.336957 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
município município NCMS000 1 08524735-n:0.0069229/08626283-n:0.00494579/08225581-n:0.00467201
, , Fc 1 -
a a SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
vinte_e_três 23 Z 1 -
anos ano NCMP000 1 15153787-n:0.00557408/15202634-n:0.00350976/15203565-n:0.00349126/15203791-n:0.00345333/15204297-n:0.00304251/08238660-n:0.00303392/15201505-n:0.00302062/15202806-n:0.00297851/15203229-n:0.00287418/15273626-n:0.0028426
de de SP 1 -
idade idade NCFS000 1 15153787-n:0.00557408/15145171-n:0.00255628/15254028-n:0.00255409/15242955-n:0.00253879/15248564-n:0.00236645/04924103-n:0.00234122
. . Fp 1 -

Em em SP 1 -
a o DA0FS0 1 -
Câmara_Municipal câmara_municipal NP00O00 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00221573/02051694-v:0.00124568/01955984-v:0.00121451/01995549-v:0.00113335/02072849-v:0.00112136/01904930-v:0.00107417/02009433-v:0.00104966/01957529-v:0.00102275/01935233-v:0.00101675/02102398-v:0.00100276/00341560-v:0.000965667/01882814-v:0.000910456/02058994-v:0.000908036/02685951-v:0.000903662/01846916-v:0.000899737/02102002-v:0.000896269/01849221-v:0.000890494/01841079-v:0.000855956/02686471-v:0.000829452/01839538-v:0.000809581/00343898-v:0.000797261
presidente presidente NCMS000 0.998938 10467395-n:0.00378003/10468962-n:0.00373803/10467179-n:0.00352529/10469346-n:0.00330767/10468750-n:0.0032661/10468559-n:0.00315579
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_de_Educação comissão_de_educação NP00O00 1 -
, , Fc 1 -
Cultura cultura NP00O00 1 08287844-n:0.00388424/05984936-n:0.0038574/06194409-n:0.0038078/05751794-n:0.00375959/00920510-n:0.00370179
, , Fc 1 -
Esporte esporte NP00O00 1 00523513-n:0.0106026/00463246-n:0.00903137
e e CC 0.999951 -
Juventude juventude NP00O00 1 04928585-n:0.00307854/04928416-n:0.00294847/15266034-n:0.00270357/14425853-n:0.00267493/15147713-n:0.00263582/09622049-n:0.0026295/07944050-n:0.00258291
. . Fp 1 -
    Fz 1 -
Em em SP 1 -
2005 2005 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00221573/02051694-v:0.00124568/01955984-v:0.00121451/01995549-v:0.00113335/02072849-v:0.00112136/01904930-v:0.00107417/02009433-v:0.00104966/01957529-v:0.00102275/01935233-v:0.00101675/02102398-v:0.00100276/00341560-v:0.000965667/01882814-v:0.000910456/02058994-v:0.000908036/02685951-v:0.000903662/01846916-v:0.000899737/02102002-v:0.000896269/01849221-v:0.000890494/01841079-v:0.000855956/02686471-v:0.000829452/01839538-v:0.000809581/00343898-v:0.000797261
eleita eleito AQ0FS00 0.463795 00846052-a:0.010747/01294857-a:0.00919105
presidente presidente NCMS000 0.998938 10467395-n:0.00378003/10468962-n:0.00373803/10467179-n:0.00352529/10469346-n:0.00330767/10468750-n:0.0032661/10468559-n:0.00315579
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
UJS_do_Rio_Grande_do_Sul ujs_do_rio_grande_do_sul NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0239365
de de SP 1 -
outubro_de_2006 [??:??/10/2006:??.??:??] W 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
deputada deputado NCFS000 0.652137 09830400-n:0.0113247/10005934-n:0.0111954
federal federal AQ0CS00 1 01606214-a:0.00574037/01107206-a:0.00558984/02725829-a:0.00555821/01106129-a:0.00542791
por por SP 1 -
o o DA0MS0 1 -
Rio_Grande_do_Sul rio_grande_do_sul NP00G00 1 -
em em SP 1 -
a o DA0FS0 1 -
