<OUTPUT SRCFILE="11270.raw">
** ** Fz 1 -
estado estado NCMS000 0.924757 00024720-n:0.00331284/13920835-n:0.00257119/13920429-n:0.00238531/13945919-n:0.00237417/14418395-n:0.00231259
. . Fp 1 -

Tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
pecuarista pecuarista AQ0CS00 0.5 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
e e CC 0.999951 -
deu dar VMIS3S0 1 02230772-v:0.000784395/02327200-v:0.000772799/02200686-v:0.000731666/00056930-v:0.000700616/02199590-v:0.000656924/02339413-v:0.000643095/02358327-v:0.00058627/02229055-v:0.000584129/02235229-v:0.000582499/02262278-v:0.000578573/02296153-v:0.000531344/02308741-v:0.000528135/02293321-v:0.000527981/02263027-v:0.000506345/02255462-v:0.000503576/02316649-v:0.000493228/02357873-v:0.000473652/02310328-v:0.00046908/01180351-v:0.000465043/02310007-v:0.000463596/02316868-v:0.000456474/02336483-v:0.000454548/02200498-v:0.000451137/01233027-v:0.000440931
início início NCMS000 1 07325190-n:0.00233054/00235435-n:0.00201232/15265518-n:0.00190137/00240184-n:0.00189852/07325990-n:0.00189848/07290905-n:0.00184991
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
carreira carreira NCFS000 1 00294452-n:0.00379299/00449295-n:0.00376051/00440039-n:0.00354452
política político AQ0FS00 0.42812 02857407-a:0.00534505/02857587-a:0.00521109
em em SP 1 -
o o DA0MS0 1 -
final final NCFS000 0.422733 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
década década NCFS000 1 15204983-n:0.0150958
de de SP 1 -
1980 1980 Z 1 -
, , Fc 1 -
filiando filiar VMG0000 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PMDB pmdb NP00O00 1 -
e e CC 0.999951 -
sendo ser VMG0000 1 02604760-v:0.0127445
eleito eleito AQ0MS00 0.5 00846052-a:0.00646201/01294857-a:0.00551881
deputado deputado NCMS000 0.993827 09830400-n:0.0052912/10005934-n:0.00522664
estadual estadual AQ0CS00 1 -
em em SP 1 -
1990 1990 Z 1 -
por por SP 1 -
esse esse DD0MS0 0.946429 -
partido partido NCMS000 0.98773 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00106022/02051694-v:0.000535589/01955984-v:0.000508317/01995549-v:0.000500408/01904930-v:0.000496415/02072849-v:0.000482229/02009433-v:0.000457321/01957529-v:0.000442938/01935233-v:0.000437734/02102398-v:0.00042536/00341560-v:0.000416262/02685951-v:0.000403011/02058994-v:0.000394025/01882814-v:0.000392228/02102002-v:0.000389498/01846916-v:0.000387762/01849221-v:0.000385779/01841079-v:0.000369135/02686471-v:0.000361916/01839538-v:0.00034804/00343898-v:0.000342669
reeleito reeleito AQ0MS00 0.392366 -
em em SP 1 -
1994 1994 Z 1 -
e e CC 0.999951 -
em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mandato mandato NCMS000 0.98913 06556481-n:0.00205523/06552984-n:0.00200363/01140658-n:0.00194196/06530789-n:0.00187644
ocupou ocupar VMIS3S0 1 00600370-v:0.00288623/01126360-v:0.00264378/02649042-v:0.00257602
a o DA0FS0 0.675415 -
Presidência_da_Comissão_de_Educação presidência_da_comissão_de_educação NP00O00 1 -
, , Fc 1 -
Cultura cultura NP00O00 1 08287844-n:0.00168757/05984936-n:0.00167423/06194409-n:0.0016352/05751794-n:0.00161939/00920510-n:0.0015885
e e CC 0.999951 -
Desporto desporto NCMS000 1 -
, , Fc 1 -
tendo ter VMG0000 0.996894 00065639-v:0.00306459/00065370-v:0.00213679/02204692-v:0.00211899/02632167-v:0.00204065
atuado atuar VMP00SM 1 00010435-v:0.00902162
, , Fc 1 -
também também RG 0.998533 00047534-r:0.00782514
, , Fc 1 -
como como CS 0.751351 -
membro membro NCMS000 1 10307234-n:0.00218498/05559908-n:0.00207863/05560244-n:0.001991/13810615-n:0.00187864
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_de_Constituição comissão_de_constituição NP00O00 1 -
, , Fc 1 -
Justiça_e_Redação justiça_e_redação NP00O00 1 -
, , Fc 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
Mais_uma_vez mais_uma_vez RG 1 -
reeleito reeleito AQ0MS00 0.392366 -
, , Fc 1 -
em em SP 1 -
1998 1998 Z 1 -
, , Fc 1 -
conquistou conquistar VMIS3S0 1 01114303-v:0.0040028/00012267-v:0.00383021
o o DA0MS0 0.950254 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.0073251
lugar lugar NCMS000 1 00027167-n:0.00186782/08621598-n:0.00105884/00582388-n:0.00105293/08620061-n:0.000879846/13947415-n:0.000815316/08500433-n:0.000789558/08622950-n:0.000761762/08624385-n:0.000730546/08653706-n:0.000721003/08490039-n:0.000674513/08683383-n:0.000660373
entre entre SP 0.987856 -
os o DA0MP0 0.958022 -
mais mais RG 0.999721 00029367-r:0.00575698/00099712-r:0.00485695
votados votar VMP00PM 0.992518 02461314-v:0.00368155/02400637-v:0.00257257/02462201-v:0.0025093
e e CC 0.999951 -
ocupou ocupar VMIS3S0 1 00600370-v:0.00288623/01126360-v:0.00264378/02649042-v:0.00257602
a o DA0FS0 0.675415 -
presidência presidência NCFS000 1 00596807-n:0.00393023/15266265-n:0.00391527
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Assembléia_Legislativa assembléia_legislativa NP00O00 1 -
/ / Fh 1 -
TE te PP2CS00 1 -
O o PP3MSA0 1 -
. . Fp 1 -

Integrou integrar VMIS3S0 1 00466651-v:0.00741132/00642980-v:0.00698914/00467451-v:0.00680095
também também RG 0.998533 00047534-r:0.0204911
a o DA0FS0 0.675415 -
União_Nacional_dos_Legislativos_Estaduais união_nacional_dos_legislativos_estaduais NP00O00 1 -
( ( Fpa 1 -
UNALE unale NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
articulou articular VMIS3S0 1 00978369-v:0.0213654
a o DA0FS0 0.675415 -
criação criação NCFS000 1 00914929-n:0.00332763/09466280-n:0.00321083/00908492-n:0.00300174/03129123-n:0.00292598/00240184-n:0.00290818/07328942-n:0.00283463/03574004-n:0.00281536
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
chamado chamar VMP00SM 0.983871 01028748-v:0.00458172/00792471-v:0.00431755/01030132-v:0.0043085/02508245-v:0.00417823/01916555-a:0.00395021
Parlamento_Amazônico parlamento_amazônico NP00O00 1 -
. . Fp 1 -

    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
Em em SP 1 -
2000 2000 Z 1 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.0113253/00524682-v:0.0112791/02381726-v:0.0111457
interinamente interino RG 1 -
o o DA0MS0 0.950254 -
Governo_do_Estado_do_Tocantins governo_do_estado_do_tocantins NP00O00 1 -
por por SP 1 -
duas 2 Z 1 -
vezes vez NCFP000 0.99449 14485064-n:0.0324615
, , Fc 1 -
em em SP 1 -
os o DA0MP0 1 -
períodos período NCMP000 1 15113229-n:0.00496581/15248564-n:0.00302362/15247518-n:0.00296004/15254028-n:0.0027646/15144371-n:0.00276113/15248020-n:0.00262716/15122231-n:0.00260082/15290337-n:0.00257773/15248269-n:0.00251182/15236475-n:0.0024897/15249236-n:0.0024219/15224486-n:0.00241248/15120346-n:0.00230216/15134490-n:0.00224259
de de SP 1 -
29_de_abril [??:29/4/??:??.??:??] W 1 -
a o DA0FS0 0.675415 -
7_de_maio [??:7/5/??:??.??:??] W 1 -
e e CC 0.999951 -
de de SP 1 -
24_de_junho [??:24/6/??:??.??:??] W 1 -
a a SP 0.313151 -
1º 1º Z 1 -
de de SP 1 -
julho [??:??/7/??:??.??:??] W 1 -
. . Fp 1 -

Em em SP 1 -
2002 2002 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.0024369/02051694-v:0.00140043/01955984-v:0.00130262/01995549-v:0.00126772/02072849-v:0.0012549/01904930-v:0.00117844/02009433-v:0.00117688/01935233-v:0.00114175/01957529-v:0.00112837/02102398-v:0.00110231/00341560-v:0.00108509/01882814-v:0.00102343/02058994-v:0.0010202/02685951-v:0.0010156/01846916-v:0.00101208/02102002-v:0.00100635/01849221-v:0.00100024/01841079-v:0.000960964/02686471-v:0.000933017/01839538-v:0.000910391/00343898-v:0.000897353
eleito eleito AQ0MS00 0.5 00846052-a:0.012079/01294857-a:0.0103406
governador governador NCMS000 0.980769 10140314-n:0.011077/10541229-n:0.0108173
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Estado_do_Tocantins estado_do_tocantins NP00O00 1 -
, , Fc 1 -
de de SP 1 -
essa esse DD0FS0 1 -
vez vez NCFS000 1 14485064-n:0.0202889
filiado filiar VMP00SM 0.992518 01973311-a:0.019155
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Frente_Liberal partido_da_frente_liberal NP00O00 1 -
( ( Fpa 1 -
PFL pfl NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Teve ter VMIS3S0 1 00065639-v:0.00189368/00065370-v:0.00132006/02204692-v:0.00130126/02632167-v:0.00125968
como como RG 0.205121 00159040-r:0.00499884
aliados aliar VMP00PM 0.571954 02476485-a:0.00159339/00731955-a:0.00154174/00396880-v:0.00152941
uma um DI0FS0 0.903495 -
extensa extenso AQ0FS00 1 00525453-a:0.00182299/00527870-a:0.001209/01387319-a:0.00119323/01386883-a:0.00113485
coligação coligação NCFS000 1 08293982-n:0.00248723/14418662-n:0.00234864
, , Fc 1 -
que que PR0CN00 0.584265 -
além além RG 0.776243 00082308-r:0.0047004
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PFL pfl NP00O00 1 -
, , Fc 1 -
contou contar VMIS3S0 1 00948071-v:0.00134138/00952524-v:0.00128166/00953216-v:0.00127022/00947857-v:0.00121203
com com SP 1 -
o o DA0MS0 0.950254 -
Partido_Progressista_Brasileiro partido_progressista_brasileiro NP00O00 1 -
( ( Fpa 1 -
PPB ppb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
