<OUTPUT SRCFILE="11028.raw">
** ** Fz 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00196392/02051694-v:0.00112079/01955984-v:0.00104626/01995549-v:0.00101964/02072849-v:0.0010045/01904930-v:0.000948111/02009433-v:0.000943388/01935233-v:0.000914657/01957529-v:0.000906857/02102398-v:0.000883863/00341560-v:0.00086815/01882814-v:0.00081971/02058994-v:0.000816976/02685951-v:0.000813888/01846916-v:0.000809053/02102002-v:0.000805782/01849221-v:0.000801362/01841079-v:0.00076941/02686471-v:0.000746478/01839538-v:0.00072853/00343898-v:0.000717487
eleito eleito AQ0MS00 0.5 00846052-a:0.00969108/01294857-a:0.00827554
[ [ Fca 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00793479/10005934-n:0.0078395
federal federal AQ0CS00 1 01606214-a:0.00401866/01107206-a:0.00391487/02725829-a:0.00389404/01106129-a:0.00380018
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Deputado_Federal http://pt.wikipedia.org/wiki/deputado_federal AQ0CS00 1 -
" " Fe 1 -
Deputado_Federal deputado_federal NP00V00 1 -
" " Fe 1 -
) ) Fpt 1 -
por por SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0088323/06347588-n:0.00819173
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Social_Democracia_Brasileira partido_da_social_democracia_brasileira NP00O00 1 -
( ( Fpa 1 -
PSDB psdb NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Obteve obter VMIS3S0 1 02210855-v:0.00358949/02238085-v:0.00330396/02526085-v:0.0030603/02288295-v:0.00267285/02207206-v:0.00264733/02289295-v:0.00262044/02238770-v:0.00258098/02239261-v:0.00249957/02290461-v:0.00244433/00522751-v:0.00244169/02236124-v:0.00243706/00597915-v:0.00238918/02359340-v:0.00233234/02527431-v:0.00232986
75.241 75241 Z 1 -
votos voto NCMP000 0.987805 -
, , Fc 1 -
a o DA0FS0 0.675415 -
