<OUTPUT SRCFILE="8873.raw">
princípios princípio NCMP000 1 07325190-n:0.00392966/05872477-n:0.00379677/07290905-n:0.00360761/06655388-n:0.00336348/15265518-n:0.00336319
de de SP 1 -
solidariedade solidariedade NCFS000 1 04765038-n:0.0155449
social social AQ0CS00 1 02248349-a:0.00306227/02798370-a:0.00290639/02258360-a:0.0028885/01076634-a:0.00283655/02798597-a:0.00272632/02252877-a:0.00264875
que que PR0CN00 0.584265 -
nortearam nortear VMIS3P0 0.65 -
a o DA0FS0 0.675415 -
criação criação NCFS000 1 00914929-n:0.00266027/09466280-n:0.00259441/07328942-n:0.00251333/00908492-n:0.00238474/00240184-n:0.00236579/03129123-n:0.00234084/03574004-n:0.00225216
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
SESI sesi NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
maio_de_1946 [??:??/5/1946:??.??:??] W 1 -
, , Fc 1 -
reuniram reunir VMIM3P0 1 -
se se PP3CN00 1 -
em em SP 1 -
a o DA0FS0 1 -
sede sede NCFS000 0.974194 14039534-n:0.0066971/14040660-n:0.00637922/04945254-n:0.00595004
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
CNI cni NP00O00 1 -
representantes representante NCCP000 0.986111 10522035-n:0.00349243/09774783-n:0.00308138/10638385-n:0.00294336/10000787-n:0.00280162/10052694-n:0.00270401/10002982-n:0.00246129/10486909-n:0.00244382
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
federações federação NCFP000 1 08303275-n:0.00955327/01153305-n:0.00882965
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
, , Fc 1 -
São_Paulo são_paulo NP00G00 1 -
, , Fc 1 -
Minas_Gerais minas_gerais NP00G00 1 -
e e CC 0.999951 -
Rio_Grande_do_Sul rio_grande_do_sul NP00G00 1 -
. . Fp 1 -

Esse esse DD0MS0 0.946429 -
encontro encontro NCMS000 0.995868 01230965-n:0.00193456/01231548-n:0.00182009/08385717-n:0.0017025/08310389-n:0.00159604/07414922-n:0.00151166
foi ir VMIS3S0 0.5 01835496-v:0.000961684/02051694-v:0.000508525/01955984-v:0.000487849/01995549-v:0.000484739/02072849-v:0.000476284/01904930-v:0.000470308/02009433-v:0.000440179/01957529-v:0.00043029/01935233-v:0.00041691/02102398-v:0.000408794/00341560-v:0.000398031/02102002-v:0.000382203/02685951-v:0.000378094/02058994-v:0.000375648/01882814-v:0.0003747/01849221-v:0.000370457/01846916-v:0.000370391/01841079-v:0.000351929/02686471-v:0.000340267/01839538-v:0.000332387/00343898-v:0.000326843
presidido presidir VMP00SM 0.992511 02443609-v:0.00751905
por por SP 1 -
Euvaldo_Lodi euvaldo_lodi NP00SP0 1 -
e e CC 0.999951 -
em em SP 1 -
ele ele PP3MS00 1 -
se se PP3CN00 0.861659 -
expôs expor VMIS3S0 1 02140033-v:0.00773924
a o DA0FS0 0.675415 -
necessidade necessidade NCFS000 1 09367203-n:0.0017626/14449126-n:0.00169528/09367991-n:0.00158133/14450691-n:0.00155228/00023773-n:0.00154511
– – Fz 1 -
e e CC 0.999951 -
conveniência conveniência NCFS000 1 04715487-n:0.0076771
– – Fz 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
criação criação NCFS000 1 00914929-n:0.00122781/09466280-n:0.00119868/00908492-n:0.00109933/03129123-n:0.00108238/00240184-n:0.00107252/03574004-n:0.0010356/07328942-n:0.00103355
de de SP 1 -
um um DI0MS0 0.877848 -
serviço serviço NCMS000 1 00577525-n:0.000996074/00582388-n:0.000749087/03315023-n:0.000710048/01032040-n:0.000667288/00719705-n:0.000657823/00584891-n:0.000630364/01209576-n:0.000630032/01032368-n:0.000620288/04175380-n:0.000611766/00098625-n:0.000592349/08186047-n:0.000590321/00568430-n:0.000580745/13325847-n:0.000552188
social social AQ0CS00 1 02248349-a:0.00159002/02798370-a:0.0014134/02258360-a:0.0013228/01076634-a:0.00129424/02798597-a:0.00124653/02252877-a:0.00120476
dedicado dedicar VMP00SM 0.983871 00887463-v:0.00263623/00519211-a:0.00209097/00887142-v:0.00189921/00573225-a:0.00189851
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
defesa defesa NCFS000 0.99569 00823750-n:0.00381708/00954311-n:0.00374873
e e CC 0.999951 -
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
