<OUTPUT SRCFILE="11474.raw">
Partido_da_Social-Democracia_Brasileira partido_da_social-democracia_brasileira NP00O00 1 -
( ( Fpa 1 -
PSDB psdb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
sendo ser VMG0000 1 02604760-v:0.0211736
candidato candidato NCMS000 0.962264 09889691-n:0.00488273/09607280-n:0.00486927/09890749-n:0.00459455/10001647-n:0.00439759
por por SP 1 -
a o DA0FS0 1 -
segunda segundo AO0FS00 0.944444 -
vez vez NCFS000 1 14485064-n:0.0180347
a a SP 0.313151 -
deputado deputado NCMS000 0.993827 09830400-n:0.00880665/10005934-n:0.0087056
estadual estadual AQ0CS00 1 -
. . Fp 1 -

Reeleito reeleito NCMS000 0.607634 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00148666/02051694-v:0.00080182/01955984-v:0.000779371/01995549-v:0.000734435/02072849-v:0.000720843/01904930-v:0.000692623/02009433-v:0.000678038/01841079-v:0.000667899/01935233-v:0.000657647/01957529-v:0.000654184/02102398-v:0.000634861/00341560-v:0.000623301/01849221-v:0.000591851/02685951-v:0.00058756/01882814-v:0.000586745/02058994-v:0.000585592/02102002-v:0.000585169/01846916-v:0.000580148/02686471-v:0.000533358/01839538-v:0.000521181/00343898-v:0.000512764
líder líder NCCS000 0.996454 09623038-n:0.0122558
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PSDB psdb NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
ALPB alpb NP00O00 1 -
entre entre SP 0.987856 -
1999 1999 Z 1 -
e e CC 0.999951 -
2001 2001 Z 1 -
, , Fc 1 -
período período NCMS000 1 15113229-n:0.00187078/15248564-n:0.00109269/15247518-n:0.00106078/15254028-n:0.00100419/15144371-n:0.000992888/15290337-n:0.000971003/15248020-n:0.000941546/15122231-n:0.000934071/15248269-n:0.000899934/15236475-n:0.000896322/15249236-n:0.000866465/15224486-n:0.000864818/15120346-n:0.000823457/15134490-n:0.000802004
em em SP 1 -
que que PR0CN00 0.584265 -
presidiu presidir VMIS3S0 1 02443609-v:0.0118222
três 3 Z 1 -
comissões comissão NCFP000 1 08324514-n:0.00259376/08402442-n:0.00234797/00773235-n:0.00227365/13320860-n:0.00222814/06478988-n:0.0022019
especiais especial AQ0CP00 1 01104026-a:0.00249696/01853228-a:0.00243171/02278011-a:0.0023918/00488187-a:0.00235512/01678729-a:0.00235272
— — Fz 1 -
Redistribuição_do_ICMS redistribuição_do_icms NP00O00 1 -
, , Fc 1 -
Refis_Estadual refis_estadual NP00SP0 1 -
e e CC 0.999951 -
Transportes transporte NCMP000 0.9832 00315986-n:0.00615807/01105259-n:0.00609286
— — Fz 1 -
e e CC 0.999951 -
integrou integrar VMIS3S0 1 00466651-v:0.00423448/00642980-v:0.00399495/00467451-v:0.00388697
a o PP3FSA0 0.00613742 -
de de SP 1 -
Interiorização_das_Indústrias interiorização_das_indústrias NP00G00 1 -
. . Fp 1 -

Também também RG 0.998533 00047534-r:0.032771
foi ir VMIS3S0 0.5 01835496-v:0.00387522/02051694-v:0.00223925/01955984-v:0.00207573/01995549-v:0.00201947/02072849-v:0.0020037/01904930-v:0.00187698/02009433-v:0.00187395/01935233-v:0.0018246/01957529-v:0.00180021/02102398-v:0.00176004/00341560-v:0.00173318/01882814-v:0.00163589/02058994-v:0.00162982/02685951-v:0.00162174/01846916-v:0.00161454/02102002-v:0.00160605/01849221-v:0.00159674/01841079-v:0.0015363/02686471-v:0.00149829/01839538-v:0.00145614/00343898-v:0.00143422
membro membro NCMS000 1 10307234-n:0.00899433/05559908-n:0.00869918/05560244-n:0.00834655/13810615-n:0.00788123
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_Estadual_do_Cooperativismo comissão_estadual_do_cooperativismo NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_Permanente_do_Semiárido comissão_permanente_do_semiárido NP00O00 1 -
. . Fp 1 -

    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
Em em SP 1 -
2001 2001 Z 1 -
, , Fc 1 -
voltou voltar VMIS3S0 1 00959714-v:0.0887586
para para SP 0.999444 -
o o DA0MS0 0.950254 -
PMDB pmdb NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
outubro [??:??/10/??:??.??:??] W 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
