<OUTPUT SRCFILE="11517.raw">
** ** Fz 1 -
comerciais comercial AQ0CP00 0.987805 00483146-a:0.00441436/02346878-a:0.00390014/03137558-a:0.00387946
, , Fc 1 -
além_de além_de SP 1 -
cursos curso NCMP000 1 08679972-n:0.00146109/09387222-n:0.00144355/13827426-n:0.00141311/08377085-n:0.00140361/00884466-n:0.00138429/08238660-n:0.00130845/08680888-n:0.00128876/08238463-n:0.00128769/00038262-n:0.00122719/08681222-n:0.00119869/08461595-n:0.00113115
em em SP 1 -
a o DA0FS0 1 -
Escola_Superior_de_Guerra escola_superior_de_guerra NP00O00 1 -
( ( Fpa 1 -
ESG esg NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
. . Fp 1 -

Iniciou iniciar VMIS3S0 1 00348746-v:0.00547402/02608347-v:0.00524649/00345761-v:0.00523537/01650610-v:0.00486457/00964911-v:0.00443034
sua seu DP3FSS 0.929764 -
militância militância NCFS000 1 -
política político AQ0FS00 0.42812 02857407-a:0.0114504/02857587-a:0.0111604
em em SP 1 -
1983 1983 Z 1 -
, , Fc 1 -
quando quando RG 0.998992 -
se se PP3CN00 0.861659 -
filiou filiar VMIS3S0 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Democrático_Social partido_democrático_social NP00O00 1 -
( ( Fpa 1 -
PDS pds NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
novembro_de_1986 [??:??/11/1986:??.??:??] W 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00322923/02051694-v:0.00186643/01955984-v:0.0017333/01995549-v:0.00168668/02072849-v:0.00167118/02009433-v:0.00156522/01904930-v:0.00155535/01935233-v:0.00152258/01957529-v:0.00150195/02102398-v:0.00146877/00341560-v:0.00144495/01882814-v:0.0013637/02058994-v:0.00135877/02685951-v:0.00135146/01846916-v:0.00134641/02102002-v:0.00134019/01849221-v:0.00133166/01841079-v:0.00128084/02686471-v:0.0012433/01839538-v:0.00121354/00343898-v:0.00119537
eleito eleito AQ0MS00 0.5 00846052-a:0.0161391/01294857-a:0.013786
deputado deputado NCMS000 0.993827 09830400-n:0.0132216/10005934-n:0.0130627
estadual estadual AQ0CS00 1 -
constituinte constituinte NCCS000 0.243133 -
em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
legenda legenda NCFS000 0.8193 06346891-n:0.014719/06347588-n:0.0136507
. . Fp 1 -

Já já RG 0.999011 00033922-r:0.0108265/00031798-r:0.0106345
filiado filiar VMP00SM 0.992518 01973311-a:0.019155
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Frente_Liberal partido_da_frente_liberal NP00O00 1 -
( ( Fpa 1 -
PFL pfl NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.0024634/02051694-v:0.00140049/01955984-v:0.00130348/01995549-v:0.00126859/02072849-v:0.00125455/01904930-v:0.0011773/02009433-v:0.00117555/01935233-v:0.00114209/01957529-v:0.00113406/02102398-v:0.0011032/00341560-v:0.00108487/01882814-v:0.00102345/02058994-v:0.0010226/02685951-v:0.00101554/01846916-v:0.00101027/02102002-v:0.00100519/01849221-v:0.000999638/01841079-v:0.000961228/02686471-v:0.000932606/01839538-v:0.000910543/00343898-v:0.000897134
reeleito reeleito AQ0MS00 0.392366 -
deputado deputado NCMS000 0.993827 09830400-n:0.00990497/10005934-n:0.00979351
estadual estadual AQ0CS00 1 -
em em SP 1 -
1990 1990 Z 1 -
e e CC 0.999951 -
1994 1994 Z 1 -
. . Fp 1 -

Com com SP 1 -
a o DA0FS0 0.675415 -
posse posse NCFS000 1 00032613-n:0.00839121/00809702-n:0.00800965
de de SP 1 -
seu seu DP3MSS 0.957305 -
irmão irmão NCMS000 0.97619 09876454-n:0.00331673/10595164-n:0.00327456/09877951-n:0.00292819/10602985-n:0.00279846/10286084-n:0.00251672/09876892-n:0.00226334/09877124-n:0.00222883
em em SP 1 -
o o DA0MS0 1 -
governo governo NCMS000 0.914011 08050678-n:0.005942/01124794-n:0.00572273/00815173-n:0.00530707
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
estado estado NCMS000 0.924757 00024720-n:0.00473888/13920835-n:0.00365213/13920429-n:0.00357029/13945919-n:0.0035377/14418395-n:0.00346718
em em SP 1 -
1995 1995 Z 1 -
, , Fc 1 -
ocupou ocupar VMIS3S0 1 00600370-v:0.00604288/01126360-v:0.00546557/02649042-v:0.00535329
a o DA0FS0 0.675415 -
pasta pasta NCFS000 0.81917 02900705-n:0.00819308/03986355-n:0.00760785
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Indústria_e_Comércio_do_Estado_do_Piauí indústria_e_comércio_do_estado_do_piauí NP00O00 1 -
e e CC 0.999951 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
* * Fz 1 -
Partido_do_Movimento_Democrático_Brasileiro partido_do_movimento_democrático_brasileiro NP00O00 1 -
*** *** Fz 1 -
( ( Fpa 1 -
*** *** Fz 1 -
PMDB pmdb NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00181987/02051694-v:0.00101927/01955984-v:0.00095267/01995549-v:0.000926894/02072849-v:0.000913681/01904930-v:0.000865932/02009433-v:0.000860364/01935233-v:0.000831805/01957529-v:0.000825814/02102398-v:0.000804306/00341560-v:0.000789211/01882814-v:0.000745566/02058994-v:0.000743292/02685951-v:0.000740809/01846916-v:0.000736005/02102002-v:0.000733466/01849221-v:0.000729305/01841079-v:0.000699786/02686471-v:0.000678672/01839538-v:0.000662492/00343898-v:0.00065234
mais_uma_vez mais_uma_vez RG 1 -
* * Fz 1 -
eleito eleito AQ0MS00 0.5 00846052-a:0.00891411/01294857-a:0.0075279
deputado deputado NCMS000 0.993827 09830400-n:0.00721489/10005934-n:0.00712712
estadual estadual AQ0CS00 1 -
em em SP 1 -
outubro_de_1998 [??:??/10/1998:??.??:??] W 1 -
* * Fz 1 -
. . Fp 1 -
* * Fz 1 -
Em em SP 1 -
as o DA0FP0 1 -
eleições eleição NCFP000 1 00181781-n:0.00497356/05790944-n:0.00421426/00183505-n:0.0039331/00180962-n:0.00376504
de de SP 1 -
outubro_de_2002 [??:??/10/2002:??.??:??] W 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00721489/10005934-n:0.00712712
federal federal AQ0CS00 1 01606214-a:0.00365361/01107206-a:0.0035592/02725829-a:0.00354011/01106129-a:0.00345505
por por SP 1 -
o o DA0MS0 1 -
Piauí piauí NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00802952/06347588-n:0.00744745
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PMDB pmdb NP00O00 1 -
. . Fp 1 -

Tomou tomar VMIS3S0 1 01170052-v:0.00163873/01171183-v:0.00147753/01156834-v:0.00127856/01202068-v:0.00122396/02205272-v:0.00117223/01172275-v:0.00115864/02248299-v:0.00103984
posse posse NCFS000 1 00032613-n:0.00401426/00809702-n:0.00380028
em em SP 1 -
fevereiro_de_2003 [??:??/2/2003:??.??:??] W 1 -
, , Fc 1 -
mas mas CC 0.999313 -
em em SP 1 -
setembro [??:??/9/??:??.??:??] W 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mesmo mesmo PI0MS00 0.176901 -
ano ano NCMS000 1 15203791-n:0.00103838/15202634-n:0.00100597/15203565-n:0.00098566/15153787-n:0.00087753/15204297-n:0.000868677/15201505-n:0.000868414/08238660-n:0.000865613/15202806-n:0.000854044/15203229-n:0.000823108/15273626-n:0.000815595
o o DA0MS0 0.950254 -
Ministério_Público ministério_público NP00O00 1 -
estadual estadual AQ0CS00 1 -
entrou entrar VMIS3S0 1 02016523-v:0.00416806/00307568-v:0.00404893
com com SP 1 -
uma um DI0FS0 0.903495 -
ação ação NCFS000 1 01080366-n:0.00238914/00037396-n:0.00215206/14006945-n:0.00180665/00030358-n:0.00169881/01168369-n:0.001506
pedindo pedir VMG0000 1 00752764-v:0.00148971/00752493-v:0.00130483/02498320-v:0.000942381/00782057-v:0.000911712/00753734-v:0.000864135/00795632-v:0.000835188/00745499-v:0.000820841/02270815-v:0.000764372/00753428-v:0.000753421/01018065-v:0.000741745/02359061-v:0.000730742
a o DA0FS0 0.675415 -
impugnação impugnação NCFS000 1 -
de de SP 1 -
seu seu DP3MSS 0.957305 -
mandato mandato NCMS000 0.98913 01140658-n:0.0024627/06556481-n:0.00208071/06552984-n:0.00201341/06530789-n:0.00187792
, , Fc 1 -
acusando acusar VMG0000 1 00842989-v:0.00303557/00843468-v:0.00288687/00842772-v:0.00255534
seu seu DP3MSS 0.957305 -
comitê comitê NCMS000 1 08324514-n:0.00256258/08322981-n:0.00217761/08325686-n:0.00214009/08402442-n:0.0019674
eleitoral eleitoral AQ0CS00 1 02717538-a:0.0043462/00846219-a:0.0036678
de de SP 1 -
