<OUTPUT SRCFILE="11519.raw">
resultado resultado NCMS000 0.936047 07292694-n:0.00163771/11410625-n:0.00162788/11416988-n:0.00103498/07295507-n:0.0010327/07291312-n:0.00101796/06746005-n:0.00100702/07293546-n:0.000928449/11411610-n:0.000913157
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
fusão fusão NCFS000 1 13566535-n:0.00120535/01238424-n:0.00119659/00380568-n:0.00119227/07373602-n:0.00114892/13485525-n:0.00113504/14418662-n:0.00109162/13485767-n:0.00106527
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Prona prono AQ0FS00 1 -
com com SP 1 -
o o DA0MS0 0.950254 -
Partido_Liberal partido_liberal NP00O00 1 -
( ( Fpa 1 -
[ [ Fca 1 -
PL pl NP00O00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Partido_Liberal_(Brasil) http://pt.wikipedia.org/wiki/partido_liberal_(brasil) VMN0000 0.0592876 -
" " Fe 1 -
Partido_Liberal partido_liberal NP00SP0 1 -
( ( Fpa 1 -
Brasil brasil NP00G00 1 12489524-n:0.00817702
) ) Fpt 1 -
" " Fe 1 -
) ) Fpt 1 -
) ) Fpt 1 -
. . Fp 1 -

Assumiu assumir VMIS3S0 1 00632236-v:0.00708427/00524682-v:0.00705835/02381726-v:0.00698005
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00538519/06552984-n:0.00523091/01140658-n:0.00508549/06530789-n:0.00491535
em em SP 1 -
fevereiro_de_2007 [??:??/2/2007:??.??:??] W 1 -
, , Fc 1 -
e e CC 0.999951 -
durante durante SP 0.99651 -
a o DA0FS0 0.675415 -
legislatura legislatura NCFS000 1 15291498-n:0.0219387
foi ir VMIS3S0 0.5 01835496-v:0.00243312/02051694-v:0.00140084/01955984-v:0.00130205/01995549-v:0.00127195/02072849-v:0.00126123/02009433-v:0.00118628/01904930-v:0.00117824/01935233-v:0.00114148/01957529-v:0.0011272/02102398-v:0.00110229/00341560-v:0.00108641/01882814-v:0.00102331/02058994-v:0.00102018/02685951-v:0.00101764/02102002-v:0.00101064/01846916-v:0.00101022/01849221-v:0.00100032/01841079-v:0.000960979/02686471-v:0.000932794/01839538-v:0.000910343/00343898-v:0.000896675
titular titular AQ0CS00 0.655827 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_de_Direitos_Humanos_e_Minorias comissão_de_direitos_humanos_e_minorias NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_de_Legislação_Participativa comissão_de_legislação_participativa NP00O00 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
. . Fp 1 -

Solteira solteira NCFS000 0.354061 10739512-n:0.0459633
, , Fc 1 -
não não RN 0.99985 00118531-r:0.0427089
teve ter VMIS3S0 1 00065639-v:0.0160735/00065370-v:0.0112153/02204692-v:0.010845/02632167-v:0.0105177
filhos filho NCMP000 0.983871 10624074-n:0.00790985/09992837-n:0.00765098/10373998-n:0.00744155/09918248-n:0.00724093/09871229-n:0.00697917/09918762-n:0.00640284
. . Fp 1 -

    Fz 1 -

</OUTPUT>
