<OUTPUT SRCFILE="11563.raw">
foi ir VMIS3S0 0.5 01835496-v:0.00276249/02051694-v:0.00159995/01955984-v:0.00148698/01995549-v:0.0014463/02072849-v:0.00143207/02009433-v:0.00134109/01904930-v:0.00133601/01935233-v:0.00130526/01957529-v:0.00128825/02102398-v:0.00125944/00341560-v:0.00123864/01882814-v:0.001169/02058994-v:0.00116502/02685951-v:0.00115889/01846916-v:0.00115426/02102002-v:0.00114809/01849221-v:0.0011411/01841079-v:0.00109793/02686471-v:0.00106563/01839538-v:0.00104023/00343898-v:0.00102459
reeleito reeleito AQ0MS00 0.392366 -
deputado deputado NCMS000 0.993827 09830400-n:0.0113197/10005934-n:0.0111922
estadual estadual AQ0CS00 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0126162/06347588-n:0.0117007
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Democrático_Social partido_democrático_social NP00O00 1 -
( ( Fpa 1 -
PDS pds NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Quatro 4 Z 1 -
anos ano NCMP000 1 15202634-n:0.001506/15203565-n:0.00147936/15203791-n:0.00145222/15153787-n:0.00130833/15204297-n:0.0013037/15201505-n:0.00129935/08238660-n:0.00129503/15202806-n:0.00127776/15203229-n:0.00123318/15273626-n:0.00122197
mais mais RG 0.999721 00029367-r:0.00862926/00099712-r:0.00727399
tarde tarde RG 0.248768 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00143024/02051694-v:0.000801416/01955984-v:0.000751791/01995549-v:0.000733278/02072849-v:0.000721079/01904930-v:0.000691374/02009433-v:0.000676666/01935233-v:0.000654253/01957529-v:0.000653277/02102398-v:0.000633163/00341560-v:0.000622463/01882814-v:0.000586119/02058994-v:0.000584935/02685951-v:0.000583911/01846916-v:0.000578946/02102002-v:0.000576801/01849221-v:0.000574025/01841079-v:0.000550268/02686471-v:0.000533447/01839538-v:0.000520741/00343898-v:0.000513222
novamente novamente RG 0.5 00040365-r:0.00478078/00112843-r:0.00466319/00112601-r:0.00421556
eleito eleito AQ0MS00 0.5 00846052-a:0.00692351/01294857-a:0.00591016
deputado deputado NCMS000 0.993827 09830400-n:0.00566798/10005934-n:0.00559931
estadual estadual AQ0CS00 1 -
, , Fc 1 -
agora agora RG 1 00049220-r:0.0124574
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00630951/06347588-n:0.00585264
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Frente_Liberal partido_da_frente_liberal NP00O00 1 -
( ( Fpa 1 -
PFL pfl NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
de de SP 1 -
que que PR0CN00 0.584265 -
foi ir VMIS3S0 0.5 01835496-v:0.00143024/02051694-v:0.000801416/01955984-v:0.000751791/01995549-v:0.000733278/02072849-v:0.000721079/01904930-v:0.000691374/02009433-v:0.000676666/01935233-v:0.000654253/01957529-v:0.000653277/02102398-v:0.000633163/00341560-v:0.000622463/01882814-v:0.000586119/02058994-v:0.000584935/02685951-v:0.000583911/01846916-v:0.000578946/02102002-v:0.000576801/01849221-v:0.000574025/01841079-v:0.000550268/02686471-v:0.000533447/01839538-v:0.000520741/00343898-v:0.000513222
um um DI0MS0 0.877848 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
fundadores fundador NCMP000 0.613737 10107303-n:0.0121592
em em SP 1 -
Santa_Catarina santa_catarina NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0186139
de de SP 1 -
1988 1988 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00217136/02051694-v:0.00124505/01955984-v:0.00116263/01995549-v:0.00113061/02072849-v:0.00111554/01904930-v:0.00104932/02009433-v:0.00104593/01935233-v:0.00101672/01957529-v:0.00100407/02102398-v:0.000980987/00341560-v:0.0009641/01882814-v:0.000909997/02058994-v:0.000907795/02685951-v:0.000903692/01846916-v:0.000898279/02102002-v:0.00089422/01849221-v:0.000889871/01841079-v:0.000854584/02686471-v:0.000829262/01839538-v:0.000809351/00343898-v:0.000797063
eleito eleito AQ0MS00 0.5 00846052-a:0.0107259/01294857-a:0.00918909
vice vice AQ0CN00 1 -
prefeito prefeito NCMS000 1 -
de de SP 1 -
Florianópolis florianópolis NP00SP0 1 -
em em SP 1 -
a o DA0FS0 1 -
chapa chapa NCFS000 0.819323 04188643-n:0.00512003/04314216-n:0.00467031/04233405-n:0.00451553/03661180-n:0.00430091
liderada liderar VMP00SF 0.721918 -
por por SP 1 -
Esperidião_Amin esperidião_amin NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
1990 1990 Z 1 -
, , Fc 1 -
com com SP 1 -
o o DA0MS0 0.950254 -
afastamento afastamento NCMS000 1 07505871-n:0.0425988
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
titular titular NCCS000 0.344173 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.0141495/00524682-v:0.0140954/02381726-v:0.0139307
prefeitura prefeitura NCFS000 1 03036022-n:0.0397918
. . Fp 1 -

Durante durante SP 0.99651 -
sua seu DP3FSS 0.929764 -
gestão gestão NCFS000 1 01133281-n:0.0117655/01135952-n:0.00986361/01144876-n:0.00937413
, , Fc 1 -
Florianópolis florianópolis NP00SP0 1 -
recebeu receber VMIS3S0 1 02210855-v:0.00646176/02288295-v:0.00590504/00522751-v:0.00566159/02290461-v:0.00560308/02108377-v:0.00552567
a o DA0FS0 0.675415 -
visita visita NCFS000 0.980583 10757193-n:0.0101684/01233156-n:0.00827241/00652069-n:0.00747164/09887850-n:0.00688257
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
papa papa NCFS000 0.570854 10453533-n:0.0286373
João_Paulo_II joão_paulo_ii NP00SP0 1 -
em em SP 1 -
1992 1992 Z 1 -
. . Fp 1 -

Entre entre SP 0.987856 -
suas seu DP3FSP 0.994048 -
iniciativas iniciativa NCFP000 0.980769 00239230-n:0.00953036/04836074-n:0.00925831
destacam destacar VMIP3P0 1 -
se se PP3CN00 1 -
a o DA0FS0 0.675415 -
lei lei NCFS000 1 08441203-n:0.00665124/06532330-n:0.00562136/05872982-n:0.00464894/08456347-n:0.00436118
de de SP 1 -
incentivo incentivo NCMS000 0.460061 09179776-n:0.0204059
fiscal fiscal AQ0CS00 0.97619 02847894-a:0.0191946
para para SP 0.999444 -
a o DA0FS0 0.675415 -
realização realização NCFS000 1 00035189-n:0.00264994/00036762-n:0.00221947/00097504-n:0.00219663/00062451-n:0.00212925/00044150-n:0.00212739/00061917-n:0.00204954/00062806-n:0.00204573/01127379-n:0.00198154/00931847-n:0.00195566
de de SP 1 -
projetos projeto NCMP000 1 05898568-n:0.00509915/00795720-n:0.00445025/05902327-n:0.00380497/05891572-n:0.00378084/05910453-n:0.0037233
culturais cultural AQ0CP00 1 02872501-a:0.00470845/02898922-a:0.00462834/02248693-a:0.00440968/02872362-a:0.004277
e e CC 0.999951 -
o o DA0MS0 0.950254 -
“ “ Fra 1 -
Projeto_Siloé projeto_siloé NP00SP0 1 -
” ” Frc 1 -
. . Fp 1 -

Em em SP 1 -
1993 1993 Z 1 -
, , Fc 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
final final NCFS000 0.422733 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mandato mandato NCMS000 0.98913 06556481-n:0.00861915/06552984-n:0.00837663/01140658-n:0.00813962/06530789-n:0.00786712
, , Fc 1 -
deixou deixar VMIS3S0 1 00120316-v:0.00764662/00800930-v:0.00726547/00802318-v:0.00686354/02310007-v:0.00644238/00771490-v:0.00619703
a o DA0FS0 0.675415 -
prefeitura prefeitura NCFS000 1 03036022-n:0.0318351
de de SP 1 -
Florianópolis florianópolis NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mesmo mesmo RG 0.820175 -
ano ano NCMS000 1 15202634-n:0.00300464/15203565-n:0.00294623/15203791-n:0.00279374/15204297-n:0.00260294/15153787-n:0.00260054/15201505-n:0.00258737/08238660-n:0.00258487/15202806-n:0.00255256/15203229-n:0.00246182/15273626-n:0.00243482
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
sócio sócio AQ0MS00 0.367372 -
    Fz 1 -
benemérito benemérito NCMS000 0.632636 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Instituto_Histórico instituto_histórico NP00O00 1 -
e e CC 0.999951 -
Geográfico_de_Santa_Catarina geográfico_de_santa_catarina NP00O00 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.0021642/02051694-v:0.00124496/01955984-v:0.00115896/01995549-v:0.00112701/02072849-v:0.00111482/01904930-v:0.00104916/02009433-v:0.00104704/01935233-v:0.0010151/01957529-v:0.00100441/02102398-v:0.000980411/00341560-v:0.000963892/01882814-v:0.000909845/02058994-v:0.00090746/02685951-v:0.000903221/01846916-v:0.000898136/02102002-v:0.000897102/01849221-v:0.000889511/01841079-v:0.000854324/02686471-v:0.000829388/01839538-v:0.000809305/00343898-v:0.000797052
também também RG 0.998533 00047534-r:0.0182189
presidente presidente NCMS000 0.998938 10467395-n:0.00395531/10468962-n:0.00372719/10467179-n:0.00344301/10469346-n:0.00330413/10468750-n:0.00326455/10468559-n:0.00315505
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Companhia_de_Águas_e_Saneamento_de_Santa_Catarina companhia_de_águas_e_saneamento_de_santa_catarina NP00O00 1 -
( ( Fpa 1 -
Casan casan NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
assessor assessor NCMS000 0.632636 09774266-n:0.0191285
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
vice vice AQ0CN00 1 -
presidente presidente NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
República_Marco_Maciel república_marco_maciel NP00O00 1 -
e e CC 0.999951 -
presidente presidente NCMS000 0.998938 10467395-n:0.00395531/10468962-n:0.00372719/10467179-n:0.00344301/10469346-n:0.00330413/10468750-n:0.00326455/10468559-n:0.00315505
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Junta_Comercial_do_Estado_de_Santa_Catarina junta_comercial_do_estado_de_santa_catarina NP00O00 1 -
. . Fp 1 -

Casado casar VMP00SM 0.688 01481612-a:0.0128202/01292885-v:0.00907643/01482140-a:0.00850142/02489456-v:0.00824688/02852920-a:0.00821909
com com SP 1 -
Jane_Costa_Bulcão_Viana jane_costa_bulcão_viana NP00SP0 1 -
, , Fc 1 -
teve ter VMIS3S0 1 00065639-v:0.0160709/00065370-v:0.0112151/02204692-v:0.0108537/02632167-v:0.0105337
um um DI0MS0 0.877848 -
filho filho NCMS000 0.986928 10624074-n:0.00792673/09992837-n:0.00765071/10373998-n:0.00747013/09918248-n:0.00724677/09871229-n:0.00697717/09918762-n:0.00640903
. . Fp 1 -

Faleceu falecer VMIS3S0 1 00358431-v:0.0854844/00354845-v:0.0798657
em em SP 1 -
o o DA0MS0 1 -
dia_1 [??:1/??/??:??.??:??] W 1 -
° ° Fz 1 -
de de SP 1 -
fevereiro_de_2007 [??:??/2/2007:??.??:??] W 1 -
. . Fp 1 -

* * Fz 1 -
Bruno_Marques bruno_marques NP00SP0 1 -
* * Fz 1 -

</OUTPUT>
