<OUTPUT SRCFILE="11218.raw">
Rodrigo_Felinto_Ibarra_Epitácio_Maia rodrigo_felinto_ibarra_epitácio_maia NP00SP0 1 -
municipal municipal AQ0CS00 0.983871 02697452-a:0.0111957/01038580-a:0.00963793
de de SP 1 -
Governo governo NP00V00 1 08050678-n:0.00749052/01124794-n:0.00718904/00815173-n:0.00663516
. . Fp 1 -

Filiado filiar VMP00SM 0.992518 01973311-a:0.0139457
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Frente_Liberal partido_da_frente_liberal NP00O00 1 -
( ( Fpa 1 -
PFL pfl NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
desincompatilizou-se desincompatilizou-se NCFS000 0.357616 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
cargo cargo NCMS000 1 00586262-n:0.00942094/13945102-n:0.00737873
em em SP 1 -
abril_de_1998 [??:??/4/1998:??.??:??] W 1 -
para para SP 0.999444 -
se se PP3CN00 0.861659 -
candidatar candidatar VMN0000 0.529581 00869596-v:0.0148965
a o DA0FS0 0.675415 -
deputado deputado NCMS000 0.993827 09830400-n:0.00720709/10005934-n:0.0071257
federal federal AQ0CS00 1 01606214-a:0.00365376/01107206-a:0.00357337/02725829-a:0.00355488/01106129-a:0.00345594
por por SP 1 -
o o DA0MS0 1 -
estado estado NCMS000 0.924757 00024720-n:0.00501081/13920835-n:0.00334846/13945919-n:0.00333966/14418395-n:0.00331085/13920429-n:0.00324602
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
pleito pleito NCMS000 1 01182654-n:0.0152854
de de SP 1 -
outubro [??:??/10/??:??.??:??] W 1 -
. . Fp 1 -

Eleito eleito NCMS000 0.5 -
com com SP 1 -
96.385 96385 Z 1 -
votos voto NCMP000 0.987805 -
, , Fc 1 -
a o DA0FS0 0.675415 -
segunda segundo AO0FS00 0.944444 -
maior maior AQ0CS00 0.979323 01395330-a:0.00478337/01471002-a:0.00476225/01511520-a:0.00456647/01383756-a:0.00416832
votação votação NCFS000 1 00183505-n:0.00966447/00182213-n:0.00910378
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
partido partido NCMS000 0.98773 -
em em SP 1 -
o o DA0MS0 1 -
estado estado NCMS000 0.924757 00024720-n:0.00528738/13920835-n:0.00405612/13920429-n:0.00396429/13945919-n:0.00392794/14418395-n:0.00385234
, , Fc 1 -
iniciou iniciar VMIS3S0 1 00348746-v:0.00425941/02608347-v:0.0040839/00345761-v:0.00407973/01650610-v:0.00378436/00964911-v:0.00344534
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00478767/06552984-n:0.0046543/01140658-n:0.00452541/06530789-n:0.00436839
em em SP 1 -
fevereiro_de_1999 [??:??/2/1999:??.??:??] W 1 -
. . Fp 1 -

Pouco pouco RG 0.690283 -
depois depois RG 1 00146281-r:0.0133823/00061203-r:0.0116386
deixou deixar VMIS3S0 1 00120316-v:0.0054904/00800930-v:0.00519077/00802318-v:0.00488325/02310007-v:0.0046555/00771490-v:0.00443921
o o DA0MS0 0.950254 -
PFL pfl NP00O00 1 -
e e CC 0.999951 -
ingressou ingressar VMIS3S0 1 02310855-v:0.0234006
em em SP 1 -
o o DA0MS0 1 -
Partido_Trabalhista_Brasileiro partido_trabalhista_brasileiro NP00O00 1 -
( ( Fpa 1 -
PTB ptb NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Retornou retornar VMIS3S0 1 02004874-v:0.0297539/02004528-v:0.0230975
, , Fc 1 -
no_entanto no_entanto RG 1 -
, , Fc 1 -
a a SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
fileiras fileira NCFP000 1 08431437-n:0.039902
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PFL pfl NP00O00 1 -
em em SP 1 -
2001 2001 Z 1 -
. . Fp 1 -

Durante durante SP 0.99651 -
a o DA0FS0 0.675415 -
legislatura legislatura NCFS000 1 15291498-n:0.0160637
presidiu presidir VMIS3S0 1 02443609-v:0.0158782
a o DA0FS0 0.675415 -
Comissão_de_Trabalho_,_Administração comissão_de_trabalho_,_administração NP00O00 1 -
e e CC 0.999951 -
Serviço_Público serviço_público NP00SP0 1 -
e e CC 0.999951 -
integrou integrar VMIS3S0 1 00466651-v:0.00538491/00642980-v:0.00508327/00467451-v:0.00494716
a o DA0FS0 0.675415 -
base base NCFS000 1 04360501-n:0.0036599/03387016-n:0.00320337/03903868-n:0.00318172/13790912-n:0.00303387/14618253-n:0.00299077
de de SP 1 -
apoio apoio NCMS000 0.995495 01212519-n:0.0151131
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
segundo segundo AO0MS00 0.19746 -
governo governo NCMS000 0.914011 08050678-n:0.00545706/01124794-n:0.00521256/00815173-n:0.00480454
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
